项目名称,项目类别,申报地区或单位,详情链接,官网描述,传承人信息,相关文章
中医生命与疾病认知方法,传统医药,中国中医科学院,https://www.ihchina.cn/project_details/14767.html,"中医对生命与疾病的认知是基于中华民族传统文化产生的认识人体生命现象和疾病规律的一种医学知识。中医生命与疾病的知识起源于传说中的远古黄帝、岐伯时代，以《黄帝内经》为标志的中医生命与疾病知识体系的形成至今已有两千多年的历史。中医生命与疾病知识主要包括阴阳、五行、脏象、经络、疾病与证候、病因病机、辨证、治则治法、五运六气等内容。
中医学运用阴阳对立统一的观念来阐述人体生命活动，以及人与自然、社会等外界环境之间相互依存的关系。阴阳平衡是维持和保证人体生命活动的基础，阴阳失调则导致疾病的发生变化。中医学运用五行学说阐述人体与自然界、人体各部分之间的联系以及疾病发生发展的机理，并用以指导疾病的治疗。脏象是人体重要的生命现象，主要包括五脏、六腑、奇恒之腑以及精、气、血、津液的生理功能和病理变化。经络是人体气血运行的通道，有联络全身的作用。经络系统包括十二经脉、奇经八脉以及络脉等，是中医诊断和治疗疾病的基础，也是针灸、推拿等疗法的重要理论依据。病因是研究疾病发生原因和条件的学说，包括外感六淫、内伤七情和饮食劳倦等。病机学说是研究疾病发生发展规律的学说。辨证论治是运用望、闻、问、切等方法诊察疾病，将诊察结果加以分析、综合得出结论，确立治疗的原则。治则治法是治疗疾病必须遵守的基本原则与方法，是中医在长期临床实践中总结出的治疗规律，主要有调整阴阳、扶正祛邪、标本缓急，以及因人、因时、因地制宜等。五运六气是研究、探索自然界天文、气象、物候变化对人体健康和疾病影响的系统知识。
对疾病、证候的认识，中医学有着独特的理论与方法。中医学认为，疾病的发生是正邪消长的表现。《黄帝内经》提出“正气存内，邪不可干”，“邪之所凑，其气必虚”的疾病观。《伤寒杂病论》等早期文献中记载了大量对疾病的认识，隋代的《诸病源候论》中记载了67门1720种病证。
中医生命与疾病的认知是构成中医学知识的核心，对中医养生、诊法、疗法、方剂、中药、针灸及临床实践的各个环节发挥指导作用。但是，受西方医学的影响，能够理解和传承这一知识的人日渐减少，面临保存与发展的困境，亟待得到尊重保护和发展。","[{'name': '唐旭东', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '陈可冀', 'gender': '男', 'birth_date': '1930.10', 'ethnicity': '汉族'}, {'name': '吴咸中', 'gender': '男', 'birth_date': '1925.08', 'ethnicity': '满族'}, {'name': '曹洪欣', 'gender': '男', 'birth_date': '1958.02', 'ethnicity': '汉族'}, {'name': '颜德馨', 'gender': '男', 'birth_date': '1920.11', 'ethnicity': '汉族'}, {'name': '王绵之', 'gender': '男', 'birth_date': '1923.11', 'ethnicity': '汉族'}, {'name': '路志正', 'gender': '男', 'birth_date': '1921.12', 'ethnicity': '汉族'}]",[]
中医诊法,传统医药,中国中医科学院,https://www.ihchina.cn/project_details/14768.html,"中医诊法是中医学的组成部分。中医诊法是以中医理论为指导，主要运用“四诊”的方法诊察疾病，探求病因、病位、病性及病势，辨别证候，对疾病作出诊断，为治疗提供依据。中医学在长期医疗实践中形成了一套完备的诊断疾病的理论、方法、技术以及实物，体现了鲜明的中国传统文化和地域特征。
中医诊法有着悠久的历史。战国时期名医秦越人（扁鹊）擅长“切脉、望色、听声、写形，言病之所在”。《黄帝内经》根据阴阳五行、脏象经络理论，对诸多诊法作了具体描述，并阐述其综合运用的原则，在方法上奠定了“四诊”基础。西晋王叔和撰集《脉经》，承前启后，确立中医脉诊的方法，历代医家在临床实践中不断继承完善着中医的诊法，形成了大量有关诊法的典籍，如宋代的《三因极一病证方论》、明代《敖氏伤寒金镜录》、清代的《望诊遵经》等，累积存世的诊法著作有近百种。
望诊是医生运用视觉，观察病人身体有关部位及其分泌和排泄物等以了解病情的诊断方法。包括望舌、望神、望色、望五官、望形态、望络脉等。其中望舌即舌诊，指观察病人舌质和舌苔变化，以判定病情、推测预后，是望诊的重要内容。
闻诊是医生通过听病人声音、嗅其气味以了解病情的诊断方法。听声音指通过声音了解病人语言、呼吸、咳嗽、呕吐、呃逆等声音变化；嗅气味则是凭嗅觉嗅病人口气、体气和排泄物等异常气味。
问诊是医生对病人或陪诊人进行系统而有针对性询问，是全面了解病情的一种诊断方法。
切诊是医生运用手的触觉，对病人寸口脉及体表特定的部位进行触摸、按压、体验，从而了解病情的一种诊断方法。主要包括切寸口脉和按诊两部分。寸口是人体脏腑气血交会之处，独取寸口的方法，在汉代成书的《八十一难经》中就已经形成。
中医诊法是中医学独具特色的诊断疾病的方法，其潜在的科技与人文文化内涵，随着医学科学的发展和中外文化的广泛交流，发挥着越来越大的作用。但是，受西方医学的影响，中医诊法的应用日渐萎缩。","[{'name': '周超凡', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '周仲瑛', 'gender': '男', 'birth_date': '1928.08', 'ethnicity': '汉族'}, {'name': '邓铁涛', 'gender': '男', 'birth_date': '1916.10', 'ethnicity': '汉族'}]",[]
中医诊法（葛氏捏筋拍打疗法）,传统医药,北京市海淀区,https://www.ihchina.cn/project_details/14770.html,"葛氏捏筋拍打疗法以手指捏揉和用拍子拍打身体特定部位的经脉筋腱，以行气活血、调理脏腑，而达到强筋健骨、调和气血、防病治病的目的。其理论源自我国传统医学的经筋学说，治疗技术则滥觞于我国古代的“导引按跷”之术。此疗法发端于清末，五代相传，至今已有一百五十余年的历史。葛氏家族原籍山东蓬莱，祖辈因闯关东定居于辽宁锦州，第一代创始人葛献宝在山东悬壶济世，始创“葛氏捏筋拍打疗法”，传至第三代葛长海，总结形成一套完整的理论和手法技术，后调入北京工作。北京市海淀区成为“葛氏捏筋拍打疗法”的主要传承地区。
葛氏捏筋拍打疗法继承中医文化传统，形成了独特的脉位理论和捏筋拍打技术。该疗法手法多样，简便易行，适应症广泛，疗效确切，传承方式具有开放性、多样化的特点。
该疗法也面临着医疗文化氛围改变、部分传承人无执业医师资格、理论与技术仍待进一步整理总结、培训传承受到限制等问题，需要采取保护措施，以使其更好地传承发展。","[{'name': '葛凤麟', 'gender': '男', 'birth_date': '1955.06.24', 'ethnicity': '汉族'}]",[]
中医诊法（王氏脊椎疗法）,传统医药,北京市西城区,https://www.ihchina.cn/project_details/14769.html,"王氏脊椎疗法是清代皇宫御医治疗脊椎、脑疾的一种传统中医保健疗法。它综合了传统中医内病外治、祛邪扶正的方法，调动人体自身修复机能的作用，是防、治一体化的中医保健疗法。
王氏脊椎疗法起源于清代顺治（1644—1661）年间。当时民间中医王汝清从军医治箭伤，由于其疗效高而留在宫中成为御医。乾隆年间，王汝清的后代王昭恩又被召入宫中成为御医。清末时该疗法散落民间。民国后，王氏传人继续行医，其疗法始终未断传承，目前王兴治已是第十三代传人了。
王氏脊椎疗法的治疗原理主要是循经取穴、药物渗透和推拿按摩。根据中医“经脉所通，主治所及”原理，以人体阳经为主，阴经为辅，辨证施治。通过穴位弹刺，达到“药入邪出”的目的。该疗法将竹子制成竹罐作为给药工具，利用竹子本身清热解毒、散风除湿的功效，与配方药物合力以达到最佳疗效。并通过高温、高压使药液充分注入、贮于竹罐体；利用拔罐时产生的负压，使药液有效渗入人体。
王氏脊椎疗法历经三百多年的传承与发展，其文化内涵、制作工艺与治疗技术积淀深厚，亟待得到更好地保护与传承。","[{'name': '王兴治', 'gender': '男', 'birth_date': '1953.06', 'ethnicity': '汉族'}]",[]
中医诊法（道虎壁王氏中医妇科）,传统医药,山西省平遥县,https://www.ihchina.cn/project_details/14771.html,"道虎壁王氏妇科起源于宋金、元时期，相传29代延续八百余年。现位于山西省平遥古城道虎壁村，距离古城2.5公里。王氏妇科主治妇女胎前产后，月经不调，久婚不孕，崩漏带下，卵巢囊肿，子宫肌瘤，上环后引起的腰困、出血淋漓不断等妇科疑难杂症。
对中药材的选用、加工炮制，丸、散、膏、丹的制作均采用日晒、露炼上糖、酒制、醋泡、盐泡、蒸、晒、蜜制等技艺，技术操作全凭经验掌握。王氏妇科家族中铭刻史册的著名医生有：始祖王厚，第四代传人王时亨，第八代传人王士能，第十一代传人王景刚，第十二代王伯辉，第十九代王聘宇，第二十代王笃生，第二十五代王集一。第二十六代王裕普为近代名医。现代名医第二十七代传人王培章，王裕普之子，主任医师。近代王集一、王裕普，《平遥县志》均有记载。1952年王裕普携子王培章、王培尧等创建中西医联合诊疗所，而后成立平遥县妇科医院。1962年平遥县妇科医院与平遥县人民医院合并。
王氏妇科经过一代又一代人的医学实践，积累了大量的临床经验和祖传秘方、脉诀歌赋以及独特的中药炮制方法，为广大患者治愈疾病，深受老百姓的赞誉。当地媳妇患病去世，娘家人要问是否请道虎壁王家诊治过，否则娘家人必追究责任。这种疗效和信誉是王氏妇科代代相传的根本原因。
第二十八代传人王温行医四十余年，与父亲王培章合著《傅山女科家传应用》一书并获奖。1998年创办“太原市道虎壁妇科门诊”。第二十八代传人王恭，中医师。1990年创办“平遥县道虎壁王恭诊所”。行医三十余年，在王氏妇科基础上，对男子阳痿早泄、遗精、肝肾不足引起的不育症的诊治有独特疗效。","[{'name': '王培章', 'gender': '男', 'birth_date': '1932.11', 'ethnicity': '汉族'}]",[]
中医诊法（朱氏推拿疗法）,传统医药,上海市,https://www.ihchina.cn/project_details/14772.html,"朱氏一指禅推拿疗法由上海嘉定黄墙中医世家六世医朱春霆先生创立，其子朱鼎成先生衣钵相传。
朱氏一指禅推拿是近代中医推拿最著名的流派之一。其根基为中医巨著《黄帝内经》和达摩所创“一指禅推拿”，其手法有推、拿、按、摩及推摩等十余种，一指禅推法为其精华；“以指代针”、“内病外治”为其特色；其“万法归一”、“经络诊治”、“柔和舒适”的理念和疗法在诊治脾胃病、小儿麻痹症、头痛、月经不调、小儿发育不良、颈椎病、骨关节炎等内外疾病方面独树一帜。
新中国成立后，朱春霆受聘华东医院，首创中医推拿专科。经半个多世纪的临床积累，朱氏一指禅推拿在全面继承总结朱春霆学术思想的基础上，不断拓展推拿医疗、保健、康复领域，融入了“治未病”等新的治疗理念和方法。力求以人为本，提供个性化服务，相继推出了失眠、颈性眩晕等专病门诊和中医工作室。朱春霆、朱鼎成父子竭力服务于大众医疗和“高干保健”，解除了患者病痛，名声鹊起。朱氏一指禅推拿为大众养生健康事业奉献了中华医学的智慧。
朱氏一指禅推拿对中国推拿教育事业贡献巨大，朱春霆著书授业，创办了中国第一所推拿专业教育学校，突破了千年来中医家传或师带徒模式，开创推拿课堂教学之先河，桃李满天下。
朱春霆是《大辞海》（2003年版）记载的唯一的推拿医学家。《上海卫生志》（1998年版）将“朱氏推拿”列入中医流派之一。一指禅推拿是《辞海》（1936年版）唯一收载的推拿学派。","[{'name': '朱鼎成', 'gender': '男', 'birth_date': '1951.02', 'ethnicity': '汉族'}]",[]
中医诊法（张一帖内科疗法）,传统医药,安徽省黄山市,https://www.ihchina.cn/project_details/14773.html,"在安徽新安医学的世医家族链中，以内科为主的“张一帖”家族被认为是历史最悠久、当代影响最大的家族之一。“张一帖”世医根基于歙县定潭。
从明朝嘉靖年间“张一帖”得名算起，代代为医，传承至今已有四百五十多年的历史。“张一帖”以其精湛的医技，治疗内科疑难杂症和急性热病屡获佳效而享誉皖、浙、赣数省。
“张一帖”的得名，就是因为急危重症常常一帖（剂）药而愈，民间还有“仙人拐”等神奇传说。著名经学家吴承仕之痼疾经“张一帖内科”第十三代传人张根桂诊治痊愈后，由衷地赞叹：“术著岐黄三世业，心涵雨露万家春。”
具有四百五十多年历史的“张一帖内科”家族流传至今，说明新安医学的事业正得到传承与弘扬。","[{'name': '李艳', 'gender': '女', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '张舜华', 'gender': '女', 'birth_date': '1932.1', 'ethnicity': '汉族'}, {'name': '李济仁', 'gender': '男', 'birth_date': '1931.1', 'ethnicity': '汉族'}]",[]
中医诊疗法（清华池传统修脚术）,传统医药,北京市西城区,https://www.ihchina.cn/project_details/14774.html,,"[{'name': '王建生', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}]",[]
中医诊疗法（中医络病诊疗方法）,传统医药,河北省石家庄市,https://www.ihchina.cn/project_details/14775.html,,"[{'name': '吴以岭', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}]",[]
中医诊疗法（脏腑推拿疗法）,传统医药,河北省保定市,https://www.ihchina.cn/project_details/14776.html,,"[{'name': '王红星', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}]",[]
