项目名称,项目类别,申报地区或单位,详情链接,官网描述,传承人信息,相关文章
杨柳青木版年画,传统美术,天津市,https://www.ihchina.cn/project_details/13899.html,"在天津众多的民间艺术中，最具代表性的就是杨柳青木版年画。
杨柳青木版年画发源于千年古镇杨柳青。明代永乐年间，京杭大运河的开通及天津漕运的兴起使杨柳青成为南北商品交易的重要集散地，经济日益繁荣。周边地区的木版年画艺人先后迁居杨柳青镇，发展业务。而杨柳青镇外盛产的杜梨木非常适宜雕版，有了这种可用的工艺材料，杨柳青木版年画随即兴起，并日益走向兴盛，出现了全镇及周边村庄“家家会点染，户户善丹青”的盛况。
由于历史原因，杨柳青年画曾一度衰落，抗日战争时期全部停业，损失最为惨重。1949年后，经过人民政府的多次抢救、搜集、挖掘、整理，杨柳青年画又获得了新生。
杨柳青木版年画题材广泛，内容丰富，构图饱满，寓意吉祥，雅俗共赏。它采用刻绘结合的手法，刻工精美，绘制细腻，人物生动，色彩典雅，成为我国著名的年画品种之一。杨柳青年画是中国年画艺术的代表，在中国民间文化和天津文化发展史上占有重要地位。挖掘、抢救、保护杨柳青木版年画，对天津地区民俗文化及北方年画乃至中国美术发展状况的研究具有重要意义。","[{'name': '王文达', 'gender': '男', 'birth_date': '1944.12', 'ethnicity': '汉族'}, {'name': '冯庆矩', 'gender': '男', 'birth_date': '1944.06', 'ethnicity': '汉族'}, {'name': '霍庆有', 'gender': '男', 'birth_date': '1954', 'ethnicity': '汉族'}, {'name': '霍庆顺', 'gender': '男', 'birth_date': '1952.11', 'ethnicity': '汉族'}]",[]
武强木版年画,传统美术,河北省武强县,https://www.ihchina.cn/project_details/13901.html,"武强县是著名的民间年画之乡，地处冀中平原，位于河北省东南部，属衡水市管辖。武强木版年画具有浓郁的乡土气息和地方特色，其丰富的内容是中国民间社会生活的“百科全书”。
据现存资料考证，武强木版年画产生于宋末元初，明、清两代最为鼎盛。后因地理交通状况的变化而逐渐衰微，民国时期的战乱导致武强木版年画业迅速萎缩，仅有四十余家画坊开门经营。20世纪40年代初，武强木版年画艺人与晋察冀边区的美术工作者一同创办“冀中年画研究社”，1947年又在此基础上成立了“石家庄大众美术社”，武强木版年画由此得以复兴并有所创新。1949年后，武强县40家画业作坊合并为武强画厂。1985年，武强木版年画博物馆建立。1993年，武强县被文化部命名为“中国木版年画之乡”。
武强木版年画制作采用传统手工木版套印而成。在题材方面，既有传统的人物、山水、花鸟，亦有当代现实生活及时事新闻，其中对传统美德的宣扬表现得尤为突出。武强木版年画有门画、灶画、中堂、对联、窗花、灯方、斗方、条屏、历画、炕围画等几十种形式，充分表达了下层平民百姓的思想感情，它在辞旧迎新的欢乐气氛中散入千家万户，吉利红火，深受广大群众喜爱。
随着社会的变迁和人们生活观念的转变，目前武强木版年画已面临着人去艺绝的严峻形势，抢救、保护工作迫在眉睫。","[{'name': '马习钦', 'gender': '男', 'birth_date': '1959.12', 'ethnicity': '汉族'}]",[]
桃花坞木版年画,传统美术,江苏省苏州市,https://www.ihchina.cn/project_details/13902.html,"桃花坞木版年画产生于明代，当时在苏州七里山塘和阊门内桃花坞一带有数十家画铺，年产量多达数百万张，故以桃花坞为名。
桃花坞木版年画盛于清代雍正、乾隆年间，最繁盛时期有张星聚、张文聚、魏宏泰、吕云林、陆福顺、陆嘉顺、墨香斋、张在、泰源、张临、季祥吉等画铺，稍后出现的王荣兴、陈同盛、陈同兴、吴锦增、吴太元、鸿云阁等画铺在当时亦有不小的影响。桃花坞木版年画曾流行江苏、上海、浙江等处，远销湖北、河南、山东各地，并流传到国外，日本的浮士绘等版画艺术受其影响甚大，英国、法国、俄罗斯、德国等亦有桃花坞木版年画作品收藏。
桃花坞木版年画的画、刻、印分为三大谱系,在长期的创作、生产实践中，身怀绝技的老艺人各自摸索出了独特的经验，形成了一整套特殊的工艺制作程序。
桃花坞木版年画制作一般分为画稿、刻版、印刷、装裱和开相五道工序，其中刻版工序又分上样、刻版、敲底和修改四部分，其主要工具为“拳刀”，同时以弯凿（剔空）、扁凿、韭菜边、针凿、修根凿、扦凿、水钵、铁尺、小棕帚等工具配合使用。套色印刷亦有一套程序，主要包括看版、冲色配胶、选纸上料（夹纸）、摸版、扦纸、印刷、夹水等步骤。
桃花坞木版年画继承了宋代的雕版印刷工艺，兼用人工着色和彩色套版，以门画、中堂、条屏为主要形式，题材多为祈福迎祥、驱凶避邪、时事风俗、戏曲故事等。
近三十年来，随着人们生活方式的改变，桃花坞木版年画的实用功能大大减弱，而纯粹的观赏功能反倒有所提高。市场的变化影响到桃花坞木版年画中传统技艺的留存，现代印刷技术的发展给传统木版年画的手工制版和印刷技巧造成巨大冲击。在此情势下，桃花坞木版年画的画铺越来越少，传统雕版技艺和染色印刷技术的传承也越来越困难，急需抢救、保护。","[{'name': '叶保芬（叶宝芬）', 'gender': '女', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '王祖德', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '房志达', 'gender': '男', 'birth_date': '1935', 'ethnicity': ''}]",[]
漳州木版年画,传统美术,福建省漳州市,https://www.ihchina.cn/project_details/13903.html,"漳州木版年画主要流传于漳州的芗城区和闽南、岭南一带，并远销台湾、香港和东南亚等地。
宋代福建的刻书业开始兴盛，迅速带动了民间版画刻印技术的发展。明清两代，漳州木版年画开始流行，漳州月港的兴起给木版年画的外销带来了有利条件。20世纪初，漳州联子街、香港路、台湾路一带集中了大批年画店，直至50年代尚有八九家存在。
繁多的民间民俗活动是漳州木版年画业生存和发展的基础。漳州民间木版年画的主要题材有辟邪消灾、祈求吉祥、历史戏文故事及装饰图案等。漳州年画中以门画居多，门画又分粗、幼神及文、武神等种类。粗神指以大红或朱红纸为底印制的门画；幼神指直接以本色纸印制，而人物背景上自行调色套印淡红色的年画；文神指画面人物没有骑马或插旗的年画；武神年画与文神相反，画面上人物一般要骑马或插旗。
漳州木版年画先在木质平板上镌刻画稿（分色版和墨线版），而后以短版法套印于纸上。雕版分阳版和阴版两种，印制“幼神”人物背景色（红）的版为阴版，这种阴版的刻法和用法为全国所独有。雕版上所有线条和色块的边缘都是向外倾斜的，这便于印制时调节水分。印制时采用版套印，先色版后黑线条版，画面效果十分明朗。版材多选梨木，也采用相思木、红柯木、石榴木等，纸张全部采用闽西纸，如龙岩的福书纸，长汀、上杭、古田的玉叩纸，清流的锡皮纸等。漳州木版年画作坊有“红房”和“黑房”之分，“黑房”专指印制文字书籍的作坊，“红房”则专指印制年画的作坊。作坊老板一般兼任画稿和刻版工作，或二者居一，也用雇工干杂活。清末的颜氏作坊在兼并小作坊的过程中聚集了一大批前代旧版和同代新版，各种版本比较齐全。1957年，颜氏后代颜镜明将作坊和店产全部捐给政府，自己改业行医。
随着社会变革的深入，传统意识逐渐消除，民间民俗活动因之而发生变化，依托于地方民俗的漳州木板年画观赏性增强，而趋吉避邪的实用性减弱，由此造成年画市场的萧条。随着原来民间年画市场的萎缩，从事漳州木板年画生产的人员大大减少。若不尽快制订具体措施加以抢救、保护，漳州木板年画的制作技艺难免要走向消亡。","[{'name': '颜仕国', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}]",[]
杨家埠木版年画,传统美术,山东省潍坊市,https://www.ihchina.cn/project_details/13904.html,"杨家埠木版年画是流传于山东省潍坊市杨家埠的一种民间版画。明代隆庆二年后，杨家埠年画艺人创立了“恒顺”、“同顺堂”、“万曾城”、“天和永”等四家画店。清代乾嘉年间，杨家埠木版年画开始兴盛，至咸丰年间达到鼎盛，一时间，当地出现了画店百家、画种上千的盛况，年画人才辈出，杨家埠木版年画曾行销大半个中国。1949年后，因战乱而一度萧条的杨家埠木版年画枯木逢春，重新焕发了生机。1952年，杨家埠木版年画印制780万张。1979年，原潍县政府成立了杨家埠木版年画研究所，专门对杨家埠木版年画进行挖掘整理、研究创新。
杨家埠木版年画制作方法简便，工艺精湛，色彩鲜艳，内容丰富。每年春节年画题材都会更换一次，许多新思想、新事物出现之后，马上就能够在年画中反映出来，对社会的进步起到一定的促进作用。另外，杨家埠木版年画还间接地记录下了中国民居和民间社会生活的情况，对于中国古代文化的研究有一定的参考价值。","[{'name': '杨乃东', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '杨洛书', 'gender': '男', 'birth_date': '1927.12', 'ethnicity': '汉族'}]",[]
高密扑灰年画,传统美术,山东省高密市,https://www.ihchina.cn/project_details/13905.html,"山东省高密市姜庄的扑灰年画亦称“民间写意画”，作画时先用柳枝烧制的炭条打好草稿，然后用毛笔勾描，再用白纸拓印，一稿可拓扑多张，“扑灰”由此得名。扑灰后的画稿还要加以手绘，经多道工序后才能成画。
扑灰年画相传形成于明代成化年间，初时一些民间画工临摹庙宇壁画出售，因为临摹需要大量底稿，故在传统民间壁画底稿“扑粉”拓印法的基础上形成了“扑灰”拓印法。“扑粉”和“扑灰”最大的差别并不在于材料的运用，而在于“扑粉”是使用现成的粉本（即样本），而“扑灰”则需要先对原作加以临摹。“扑粉”是直接印制，用一次印一次，“扑灰”是一次摹仿多次印制。因为有了临摹这一程序，故扑灰年画在发展过程中极善于吸收各种绘画因素和造型风格，以适应人们的审美趣味。清初扑灰年画吸收了文人画的艺术因素，嘉庆年间又对天津杨柳青、潍县杨家埠两种木版年画的技术进行了吸收与改造，逐渐形成具有浓郁地方风格的年画派系。咸丰年间高密涌现出一大批年画制手，出现了“老抹画”、“红货”两个主要流派。
扑灰年画的制作特点使其无法脱离传统的手工扑拓、绘制技艺，由此造成制作周期长、工艺讲究、产量有限的特点，这样扑灰年画便无法与制版印刷的新年画技术竞争市场，至光绪年间整个行业开始衰落。时至今日，扑灰年画技艺在高密地区的传承已是后继无人。作为一个独特的年画品种，反映了社会文化和风土人情，保存了中国民间绘画的传统技能，有必要对之进行抢救和挖掘。","[{'name': '王树花', 'gender': '女', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '吕臻立', 'gender': '男', 'birth_date': '1953.10.26', 'ethnicity': '汉族'}]",[]
朱仙镇木版年画,传统美术,河南省开封市,https://www.ihchina.cn/project_details/13906.html,"河南省开封市位于豫东平原。据《东京梦华录》记载，北宋时距开封城南二十多公里的朱仙镇就已有了木版年画。明清两代，朱仙镇的木版年画十分兴盛，作坊最多时达三百余家。清末民初朱仙镇木版年画开始衰落，大多数作坊迁回开封市内，于是开封又成为朱仙镇木版年画的生产与销售中心，城内出现了“天成”、“云记”、“汇川”等名噪一时的老字号年画作坊。1949年后，开封市先后成立了开封年画社、河南朱仙镇木版年画社等团体机构，对木版年画的传统工艺进行挖掘、整理。
朱仙镇木版年画十分讲究用色，以矿物、植物作原料，自行手工磨制颜料，磨出的颜料色彩十分纯净，以之印制的年画明快鲜艳，久不褪色，构图饱满匀称，线条简练粗犷，造型古朴夸张，艺术风格独特。年画题材多源于脍炙人口的民间故事、神话传说和戏曲等，种类繁多，形象生动。
现在开封已挖掘、整理出年画老版二百二十余块，重新印制历史老版年画三百多套，并编印了《开封朱仙镇木版年画精选》、《朱仙镇木版年画珍藏本》、《朱仙镇木版年画故事集》等，为保护传统木版年画做了大量有益的工作。但是，目前大多数老艺人年事已高，其技艺无人传承，特别是传统的矿、植物颜色磨制方法已鲜为人知，如不及时加以保护，朱仙镇木版年画制作技艺很可能会彻底消亡。","[{'name': '张廷旭', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '任鹤林', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '郭泰运', 'gender': '男', 'birth_date': '1926.01', 'ethnicity': '汉族'}]",[]
滩头木版年画,传统美术,湖南省隆回县,https://www.ihchina.cn/project_details/13907.html,"滩头木版年画是湖南省惟一的手工木版水印年画，以浓郁的楚南地方特色自成一派。滩头镇地处湖南省隆回县东南部，此地民风古朴淳厚，习俗独特，历史上曾出现过造纸村，雕刻村，色纸、花纸、香粉纸巷和年画街，手工业十分发达，且分工明确，相互配套。滩头自古巫风炽盛，民间祭祀活动甚为流行，用于祭祀的纸马品种繁多，其制作工艺与后来的滩头木版年画有着内在的传承关系。据《隆回县志》载，滩头木版年画有三百多年的历史，而据民间口传历史资料，滩头最初的木版年画作坊是明末清初时绰号“王猴子”的王东元所办，曾印制过《秦叔宝》、《尉迟恭》等十余种年画。道光年间，胡奇甫开办“和顺昌”年画作坊，增加了《桃园结义》等新品种。同治年间，滩头木版年画已行销全国。20世纪初，滩头木版年画生产达到全盛，有年画作坊108家，年产年画三千多万份，销往江南各省及东南亚一带。1949年后，滩头木版年画被当作封建迷信品加以禁止，1958年恢复生产，1966年后再次受到摧毁，1979年重新恢复生产。1984年，滩头镇被文化部命名为“中国现代民间绘画之乡”。1994年，滩头木版年画被文化部授予“中国民间美术一绝银奖”。2003年，在中国首届文物仿制品暨民间工艺品大展中，滩头木版年画获中国传统工艺品金奖。
滩头木版年画从造纸到成品所有工序都在滩头当地完成，形成了一个完善的生产系列，这在全国年画制作中较为鲜见。传统的滩头木版年画有四十多个品种，分为门神画像、寓意吉祥、戏文故事三大类，在滩头木版年画的工艺中，蒸纸、托胶、刷粉等传统工序均为滩头所独有，“开脸”也是有别于他处年画的独特技艺。滩头木版年画的制版难度在于线板雕刻，在这方面“高福昌”年画作坊的“陡刀立线”技术很有名，其行刀角度一致，使用均匀的暗劲，转折、交叉处稳当不乱，完全靠感觉和技巧把握。
如今，历经三百多年风采依然的滩头木版年画已经远涉重洋，成为英、美、日等多国大型博物馆的珍藏。但近年来滩头木版年画市场急剧萎缩，作坊入不敷出，艺人纷纷改行，只剩两家年画作坊还保留着门面，其中“金玉美”也基本停产，“高腊玫”只能勉强支撑，年产量不足五万张，作坊主人的子女无一继承祖业。滩头木版年画或毁坏或流失，有不少技艺已经失传，亟待抢救、保护。","[{'name': '刘国利', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '钟建桐', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '高腊梅', 'gender': '女', 'birth_date': '1933.12', 'ethnicity': '汉族'}, {'name': '李咸陆', 'gender': '男', 'birth_date': '1934.12', 'ethnicity': '汉族'}, {'name': '钟海仙', 'gender': '男', 'birth_date': '1928.10', 'ethnicity': '汉族'}]",[]
佛山木版年画,传统美术,广东省佛山市,https://www.ihchina.cn/project_details/13908.html,"佛山市位于广东省中南部、珠江三角洲腹地，东倚广州，毗邻港澳，地理位置十分优越。早在宋元时期，广州、佛山一带已流行刻绘门神的习俗。这类门神早期直接在门板上手绘刻画，后来另置木板绘刻，大量复印，制成木版年画行销于市，供人张贴。
佛山木版年画的生产兴盛于清代乾嘉年间，20世纪30年代后渐次萧条。以技艺划分，佛山木版年画包括原画、木印、木印工笔三种类型；以题材划分，则有门画、神像画和岁时风俗画三种类型，其主要功用为祭祀、祈福和装饰环境，体现了人们驱邪纳福的愿望。
佛山木版年画为当地活动中的一种特殊的形式，反映着佛山本地文化的历史根源以及佛山传统民间绘画和印刷工艺的一些基本情况。
目前佛山木版年画的传承人仅剩冯氏一家，现急需采取有力的保护措施让这一富有价值的年画制作工艺继续延续下去。","[{'name': '冯炳棠', 'gender': '男', 'birth_date': '1936.11.15', 'ethnicity': '汉族'}]",[]
梁平木版年画,传统美术,重庆市梁平县,https://www.ihchina.cn/project_details/13909.html,"重庆市梁平县的梁平木版年画属于民间美术梁平“三绝”（竹帘、年画、灯戏）之一，至今约有三百年的历史。
梁平木版年画的内容大体可分三类，一是门神，主要有《将帅图》、《立刀顿斧》、《加官晋爵》、《扬鞭》、《五子登科》等作品；二是神话传说，主要有《老鼠嫁女》、《麒麟送子》等作品；三是戏曲故事，主要有《四郎探母》、《踏伞》、《钟馗嫁妹》等作品。梁平县也生产各种类型的花笺、花纸和门画。在年画等的绘制技法上不仅继承了传统水印木板年画的工艺流程和川派雕刻技术，也吸取了徽派、金陵派的雕版套色技术，还运用西洋绘画中的焦点透视，巧施阴阳（明暗画法），区分远近；其构图饱满简洁，人物夸张变形，色彩对比强烈，动静处理得当，造型古朴粗犷，使人过目难忘。
清代，梁平木版年画便已“驰名京省处”，畅销东南亚。20世纪三四十年代，又被苏联、美国和法国等地的博物馆收藏，由此蜚声中外。20世纪末，《中国美术全集》、《中国民间美术全集》、《三峡民间艺术》和《民间年画》等大型画册中都收录了传统的梁平木版年画。随着现代社会环境的转变，民间习俗也发生了很大的变化。在此背景下，梁平木版年画逐渐淡出人们的生活，部分年画和雕版珍品散落民间，一些传承人先后去世，年画技艺后继乏人，濒临灭绝，急需进行抢救和保护。","[{'name': '徐家辉', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}]",[]
