项目名称,项目类别,申报地区或单位,详情链接,官网描述,传承人信息,相关文章
京西太平鼓,传统舞蹈,北京市门头沟区,https://www.ihchina.cn/project_details/12809.html,"太平鼓是老百姓自娱自乐、集体传承、集体发展的民间舞蹈，具有广泛的群众基础和深厚的历史渊源，在当地的民俗活动中发挥着重要的作用。
太平鼓自明代起在北京流传，清初，京城内外太平鼓极为盛行。清末，太平鼓传入门头沟地区。历史上门头沟很多村落家家户户、男女老少几乎都会击打太平鼓，清代宫廷中旧历除夕也要击打太平鼓，取其“太平”之意，所以北京也称太平鼓为“迎年鼓”。太平鼓在每年的腊月和正月最为活跃，在当地的岁时民俗活动中很吸引人，百姓们击打太平鼓更是对太平盛世国泰民安的期盼。打太平鼓不仅可以烘托节日气氛，在某种程度上也可以折射出北京地区的节庆习俗。
太平鼓具有一套完整的民间肢体语言，如：因过去妇女缠足形成的韵律特征“扭劲”、“颤劲”，男性舞者特有的“劲”、“艮劲”，以及你追我赶、男追女逐的情趣。在耍鼓、步伐、队形变化方面均体现出了中国传统审美理念，这些都具有鲜明的地方色彩。作为这一舞蹈品种的标志性舞具——太平鼓，从制作工艺到与舞蹈动作的有机结合，已经超脱了作为乐器音响载体的单纯功能，而成为这一地区具有强烈地域文化象征的器物，是当地老百姓文化认同的标志。
太平鼓植根于民间、成长于民间、繁茂于民间，老百姓对太平鼓的喜爱、老艺人对太平鼓的执着使太平鼓得以延续，而民间太平鼓的发扬与创新将使民间艺人们的生命充满活力。","[{'name': '高洪伟', 'gender': '男', 'birth_date': '1969.07', 'ethnicity': '汉族'}]",[]
京西太平鼓（石景山太平鼓）,传统舞蹈,北京市石景山区,https://www.ihchina.cn/project_details/12811.html,"太平鼓又称“扇鼓”、“单鼓”、“羊皮鼓”，是北京地区独特的一种民间节庆舞蹈。它明代即出现于北京地区，清代以后日渐盛行，具有广泛的群众基础。京西太平鼓早期是一种来自满族妇女的集体歌舞，至20世纪初才有男子加入。太平鼓活动在每年农历的腊月初一至来年二月初举行，所以北京地区也称之为“迎年鼓”。击打太平鼓象征着天下太平安乐，具有特殊的祈福迎新之意。
石景山太平鼓至今已有两百多年的历史，以北京市石景山区的五里坨、模式口、北辛安、古城村、衙门口等村最为盛行，每年正月和腊月是它的活跃期。太平鼓大如蒲扇，下安鼓柄，有正圆、扁圆、梯形、八角形等多种鼓形。它以三种方式在民间传承，其中最主要的是家族传承，其次是村民自发学习传承。
石景山太平鼓风趣幽默，生活气息浓郁，可以通过节奏变化表现出不同情绪。鼓既是乐器，又是道具，表演时和舞有机配合，可边打边舞，也可间打间唱。舞者左手摇环，右手击鼓，发出清脆的音响，随着鼓点的节奏翩翩起舞，女性舞者的基本动律是“扭劲”和“颤劲”，男性舞者的基本动律是“搧劲”和“艮劲”。太平鼓音乐主要由鼓点和曲调两部分组成，鼓点有十几种之多，击打太平鼓手法多种多样，包括正面击、反面击、敲鼓心、打鼓沿、上下左右震颤铁环等一系列的技艺。
石景山太平鼓是京西太平鼓的组成部分，它历史悠久，流传广泛，内容丰富，风格独特，地域色彩浓厚，带有很强的自娱性，深受群众喜爱，具有较高的民俗学研究价值，是京西百姓文化认同的标志和村民间情感沟通的重要手段。近年来，石景山太平鼓逐渐丧失表演空间，后继乏人，急需抢救保护。",[],[]
京西太平鼓（怪村太平鼓）,传统舞蹈,北京市丰台区,https://www.ihchina.cn/project_details/12810.html,"太平鼓又称“扇鼓”、“单鼓”、“羊皮鼓”，是北京地区独特的一种民间节庆舞蹈。它明代即出现于北京地区，清代以后日渐盛行，具有广泛的群众基础。京西太平鼓早期是一种来自满族妇女的集体歌舞，至20世纪初才有男子加入。太平鼓活动在每年农历的腊月初一至来年二月初举行，所以北京地区也称之为“迎年鼓”。击打太平鼓象征着天下太平安乐，具有特殊的祈福迎新之意。
太平鼓自明代起即在北京流传，入清以后在京城内外极度盛行。清代宫廷逢农历除夕也会击打太平鼓，以取太平安定之意，所以太平鼓在北京又有“迎年鼓”之称。丰台区王佐镇怪村的太平鼓来源于清代宫廷，至今已有两百多年的历史。据怪村老人讲，太平鼓在当地十分盛行，家家有鼓，人人能打，村中人早年曾应邀到北京的良乡、通县及河北等地进行表演，具有较高的知名度。
怪村太平鼓动作小巧，感情含蓄，节奏明快，具有较高的技术水准和艺术价值。其内容多取自村民日常生活，表演中散发着浓郁的生活气息；表演动作简单易学，队形变化丰富多样，是当地居民喜闻乐见的表演形式。
怪村太平鼓中用作舞蹈道具的鼓系以桑皮纸加工而成，制作工艺独特，结实耐用，声音清脆悦耳。怪村太平鼓套路众多，最多时可达几十种，目前仍保留有“圆鼓”、“圆鼓代推磨”、“四方斗”、“六方斗”、“八方斗”、“卧娃娃”、“三人两头忙”等13套，而以“三人两头忙”和“卧娃娃”最具特色。怪村太平鼓音乐由曲牌和歌词两部分组成，曲牌又叫“鼓点”，既是套路名称，又是音乐曲牌。太平鼓曲牌以2/4拍居多；歌词在表演时打一段鼓唱一段，它主要包括“绳歌”、“十二月古人名”、“太平歌词”等内容，目前能收集到的只有“十二月古人名”和“绳歌”。
怪村太平鼓是中国北方传统鼓文化的当代遗存，可以为北京地方历史文化的研究提供参考。近年来，由于生存环境的改变，怪村太平鼓后继乏人，急需抢救保护。目前，怪村村民正致力于培养太平鼓表演的后备力量，挖掘整理即将失传的珍贵资料，绘制动作图谱，将太平鼓这种深受群众喜爱的民间艺术形式完整传承下去。","[{'name': '吕翠琴', 'gender': '女', 'birth_date': '1950.09.25', 'ethnicity': '汉族'}]",[]
秧歌（昌黎地秧歌）,传统舞蹈,河北省昌黎县,https://www.ihchina.cn/project_details/12812.html,"秧歌是中国（主要在北方地区）广泛流传的一种极具群众性和代表性的民间舞蹈的类称，不同地区有不同称谓和风格样式。在民间，对秧歌的称谓分为两种：踩跷表演的称为“高跷秧歌”，不踩跷表演的称为“地秧歌”。近代所称的“秧歌”大多指“地秧歌”。秧歌历史悠久，南宋周密在《武林旧事》中介绍的民间舞队中就有“村田乐”的记载，清代吴锡麟的《新年杂咏抄》中明文记载了现存秧歌与宋代“村田乐”的源流关系。现各地的秧歌一般以秧歌舞队为主要形态，舞队人数少则十数人，多时达上百人，既有集体舞，也有双人舞、三人舞等多种表演形式，根据角色的需要手持相应的手绢、伞、棒、鼓、钱鞭等道具，在锣鼓、唢呐等吹打乐器的伴奏下尽情舞蹈。各地秧歌的舞法、动作和风格各不相同，有的威武雄浑，有的柔美俏丽，千姿百态，美不胜收。
秧歌是中国北方最具代表性的民间舞种之一，既有表演性的，也有自娱性的，自娱娱人，深受老百姓的喜爱。各地均出现过一些有代表性的民间秧歌艺人，很多民间艺人对新中国舞蹈事业的建设发挥过重要作用。在农村经济快速发展，文化环境随之发生变化的今天，能够掌握传统秧歌技艺和纯正舞蹈风格的民间艺人已寥若晨星，保护和传承工作亟待进行。
昌黎地秧歌是河北省最具代表性的民间舞种之一，分布在河北省昌黎、卢龙、抚宁、乐亭、滦县等地。它最早产生于元代，一直流传至今。
昌黎地秧歌从形式到内容都有鲜明的个性。它形式上分为排街秧歌和场子秧歌两种，内容上除“平秧歌”无固定情节外，大多是“秧歌出子”。昌黎地秧歌的行当分为“妞”、“丑”、“”、“公子”几种，表演各具特色。昌黎地秧歌产生之初，各行当均由男性扮演。在角色、结构、服饰上受蒙古族文化影响，现在地秧歌中“丑”角所戴的“缨子帽”就是从蒙古族服饰发展而来的。昌黎地秧歌与当地的民间歌舞、小戏有密切联系，表现形式活泼、内容丰富，呈现出角色化、行当化的艺术特征，能深刻地表现人物的性格和情感，丰富细腻地表达动作意图，这在民间舞蹈中显得十分突出。昌黎地秧歌中著名的秧歌小戏有《扑蝴蝶》、《锯缸》、《王二小赶脚》、《傻柱子接媳妇》、《跑驴》等。昌黎地秧歌的舞蹈强调身体各部位的相互配合，肩、胯、膝、腕扭动灵活，表现诙谐有趣。以著名民间艺人周国宝为代表的周派、张谦为代表的张派、卢凤春为代表的卢派等几种地秧歌的风格流派各具魅力，家喻户晓。中华人民共和国成立后，昌黎地秧歌节目《跑驴》参加了世界青年联欢节，获得银奖。1996年，昌黎县被文化部命名为“中国民间艺术之乡”。
昌黎地秧歌是一种体现农民生活情趣、舞蹈风格鲜明独特的秧歌形式，它反映了农业社会、农村生活的部分特征和农民乐观诙谐的精神风貌。但由于社会经济的迅速发展、艺人高龄化等原因，昌黎地秧歌的传承面临着严峻形势，亟待抢救和保护。","[{'name': '宋建亮', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '秦梦雨', 'gender': '男', 'birth_date': '1938.10', 'ethnicity': '汉族'}, {'name': '于振江', 'gender': '男', 'birth_date': '1944.08', 'ethnicity': '汉族'}, {'name': '周贺华', 'gender': '男', 'birth_date': '1938.09', 'ethnicity': '汉族'}]",[]
秧歌（抚顺地秧歌）,传统舞蹈,辽宁省抚顺市,https://www.ihchina.cn/project_details/12813.html,"秧歌是中国（主要在北方地区）广泛流传的一种极具群众性和代表性的民间舞蹈的类称，不同地区有不同称谓和风格样式。在民间，对秧歌的称谓分为两种：踩跷表演的称为“高跷秧歌”，不踩跷表演的称为“地秧歌”。近代所称的“秧歌”大多指“地秧歌”。秧歌历史悠久，南宋周密在《武林旧事》中介绍的民间舞队中就有“村田乐”的记载，清代吴锡麟的《新年杂咏抄》中明文记载了现存秧歌与宋代“村田乐”的源流关系。现各地的秧歌一般以秧歌舞队为主要形态，舞队人数少则十数人，多时达上百人，既有集体舞，也有双人舞、三人舞等多种表演形式，根据角色的需要手持相应的手绢、伞、棒、鼓、钱鞭等道具，在锣鼓、唢呐等吹打乐器的伴奏下尽情舞蹈。各地秧歌的舞法、动作和风格各不相同，有的威武雄浑，有的柔美俏丽，千姿百态，美不胜收。
秧歌是中国北方最具代表性的民间舞种之一，既有表演性的，也有自娱性的，自娱娱人，深受老百姓的喜爱。各地均出现过一些有代表性的民间秧歌艺人，很多民间艺人对新中国舞蹈事业的建设发挥过重要作用。在农村经济快速发展，文化环境随之发生变化的今天，能够掌握传统秧歌技艺和纯正舞蹈风格的民间艺人已寥若晨星，保护和传承工作亟待进行。
抚顺地秧歌，有时也被称为“鞑子秧歌”，是一种形成年代久远，民族性、民间性及地域特色都极为浓厚的民间舞蹈形式，主要流传在今辽宁省抚顺满族发祥地一带。抚顺地秧歌形成于清初，一直流传至今。它与满族先世的民间舞蹈有着直接的渊源关系。据史书记载，唐代已有名为“踏锤”的舞蹈，明代有被称为“莽式”的歌舞，它们对抚顺地秧歌的形成有一定的影响作用。
抚顺地秧歌中最具代表性的人物是旗装打扮的“鞑子官”和仅穿皮袄、斜挎串铃及各种生活和狩猎器具的“克里吐”（俗称“外鞑子”）。其表演动作多源自跃马、射箭、战斗之类满族原始状态的生产生活，也有的系模仿鹰、虎、熊等动作，其中多有传统舞蹈的元素。秧歌动作中的蹲、跺、盘、摆、颤等姿态丰富、刚劲豪放，具有鲜明的渔猎生活和八旗战斗生活的特色。其伴奏音乐借用了满族萨满跳神的打击乐形式，有“老三点”、“七棒”、“快鼓点”等演奏方式，与汉族秧歌有较大区别。抚顺地秧歌自清代以来一直在抚顺地区流传，深得群众喜爱。据1986年调查，当时尚有50个秧歌队在活动，然而目前渊源和传承人谱系较为清楚的只有4个秧歌队。
抚顺地秧歌在民间流传久远。由于环境变化、老艺人数量减少等原因，经常性的抚顺地秧歌活动已难于开展，表演的走阵、动作也有逐渐被简化的趋势，正濒临消亡，需要大力扶持。","[{'name': '袁贵林', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '巴恒金', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}]",[]
秧歌（鼓子秧歌）,传统舞蹈,山东省商河县,https://www.ihchina.cn/project_details/12814.html,"秧歌是中国（主要在北方地区）广泛流传的一种极具群众性和代表性的民间舞蹈的类称，不同地区有不同称谓和风格样式。在民间，对秧歌的称谓分为两种：踩跷表演的称为“高跷秧歌”，不踩跷表演的称为“地秧歌”。近代所称的“秧歌”大多指“地秧歌”。秧歌历史悠久，南宋周密在《武林旧事》中介绍的民间舞队中就有“村田乐”的记载，清代吴锡麟的《新年杂咏抄》中明文记载了现存秧歌与宋代“村田乐”的源流关系。现各地的秧歌一般以秧歌舞队为主要形态，舞队人数少则十数人，多时达上百人，既有集体舞，也有双人舞、三人舞等多种表演形式，根据角色的需要手持相应的手绢、伞、棒、鼓、钱鞭等道具，在锣鼓、唢呐等吹打乐器的伴奏下尽情舞蹈。各地秧歌的舞法、动作和风格各不相同，有的威武雄浑，有的柔美俏丽，千姿百态，美不胜收。
秧歌是中国北方最具代表性的民间舞种之一，既有表演性的，也有自娱性的，自娱娱人，深受老百姓的喜爱。各地均出现过一些有代表性的民间秧歌艺人，很多民间艺人对新中国舞蹈事业的建设发挥过重要作用。在农村经济快速发展，文化环境随之发生变化的今天，能够掌握传统秧歌技艺和纯正舞蹈风格的民间艺人已寥若晨星，保护和传承工作亟待进行。
鼓子秧歌分布在今山东鲁北平原的商河地区，是山东三大秧歌之一。鼓子秧歌源于北宋，成于明，盛于清。据当地著名老艺人说，北宋年间，商河一带连年受灾，包公从河南到此放粮，赈济灾民，并由他的属下把鼓子秧歌传授给当地百姓。后来每逢新春佳节人们就跑起秧歌，以示对包公的感激之情，流传至今，相沿成俗。
鼓子秧歌在商河民间上至老者下至少儿都爱学会跳。全县21个乡镇，八百多个村都能组织秧歌队。秧歌队伍中有伞头、鼓子、棒槌、腊花、丑角五种角色，表演风格迥异，韵味独特。现存鼓子秧歌主要分为“行程”和“跑场”两部分，“行程”是舞队在行进或进入场地前的舞蹈；“跑场”是表演的主体，又分不同角色表演的“文场”和“武场”。鼓子秧歌表演所跑的场子队形极为丰富，有“牛鼻钳”、“勾心梅”、“一街二门”、“六六大顺”、“里四外八”、“八条街”、“四门斗”等百余种。“伞头”动作圆润，“鼓子”动作粗犷豪放，“棒槌”动作轻巧敏捷，“腊花”动作泼辣大方，而颠颤、划圆、蹲扑、跳窜等动作为各角色所共有。
鼓子秧歌舞者众多，组织严密，形式完整，舞技健美，气势磅礴，蕴藏深厚的历史文化内涵，富有浓郁的时代气息和鲜明的地方特色。新中国成立后，鼓子秧歌多次参加全国民间艺术大赛，屡获大奖。1996年，商河县被文化部授予“中国民间艺术之乡”称号。鼓子秧歌的继承与发展，丰富了群众文化生活，传承了中华民族的优秀文化，具有较高的审美价值和研究价值。","[{'name': '杨克胜', 'gender': '男', 'birth_date': '1946.08', 'ethnicity': '汉族'}]",[]
秧歌（胶州秧歌）,传统舞蹈,山东省胶州市,https://www.ihchina.cn/project_details/12815.html,"秧歌是中国（主要在北方地区）广泛流传的一种极具群众性和代表性的民间舞蹈的类称，不同地区有不同称谓和风格样式。在民间，对秧歌的称谓分为两种：踩跷表演的称为“高跷秧歌”，不踩跷表演的称为“地秧歌”。近代所称的“秧歌”大多指“地秧歌”。秧歌历史悠久，南宋周密在《武林旧事》中介绍的民间舞队中就有“村田乐”的记载，清代吴锡麟的《新年杂咏抄》中明文记载了现存秧歌与宋代“村田乐”的源流关系。现各地的秧歌一般以秧歌舞队为主要形态，舞队人数少则十数人，多时达上百人，既有集体舞，也有双人舞、三人舞等多种表演形式，根据角色的需要手持相应的手绢、伞、棒、鼓、钱鞭等道具，在锣鼓、唢呐等吹打乐器的伴奏下尽情舞蹈。各地秧歌的舞法、动作和风格各不相同，有的威武雄浑，有的柔美俏丽，千姿百态，美不胜收。
秧歌是中国北方最具代表性的民间舞种之一，既有表演性的，也有自娱性的，自娱娱人，深受老百姓的喜爱。各地均出现过一些有代表性的民间秧歌艺人，很多民间艺人对新中国舞蹈事业的建设发挥过重要作用。在农村经济快速发展，文化环境随之发生变化的今天，能够掌握传统秧歌技艺和纯正舞蹈风格的民间艺人已寥若晨星，保护和传承工作亟待进行。
胶州秧歌是山东三大秧歌之一，又称“地秧歌”、“耍秧歌”、“跷秧歌”、“扭断腰”、“三道弯”等，流行于山东省胶州市东小屯村一带。胶州秧歌起源于清咸丰年间，据清代宋观炜所作《秧歌词》的描述推测，当时的胶州秧歌舞蹈动作、行当名称、服装道具等与现在基本相同。
胶州秧歌有膏药客、翠花、扇女、小、棒槌、鼓子等角色，基本动作主要有“翠花扭三步”、“撇扇”、“小扭”、“棒花”、“丑鼓八态”等，表演程序有“开场白”、“跑场”、“小戏”三部分，跑场队形有“十字梅”、“四门斗”、“两扇门”、“正反挖心”、“大摆队”、“绳子头”等，还有《送闺女》、《三贤》、《小姑贤》、《双推磨》等小戏。胶州秧歌中，女性舞蹈动作抬重踩轻腰身飘，行走如同风摆柳，富有韧性和曲线美，“扭断腰”、“三道弯”为其代表动作；“棒槌”的动作轻脆洒脱；“鼓子”的动作有“丑鼓八态”，韵味奇特。其音乐由打击乐、唢呐牌子、民间小调三大部分组成。小戏秧歌原有72个剧目，现存135个。胶州全市现有秧歌队一百多支。中华人民共和国成立后，有关人员曾先后七次对胶州秧歌进行挖掘整理，现已将其编列为汉民族舞蹈的教材之一。1996年，小屯村被文化部授予“中国民间艺术之乡”的称号。
胶州秧歌萌生于乡土，活跃于民间，在发展中自行流变，是群众自发参与、自由宣泄、自娱自乐的广场民间艺术，展现了胶东农村女性特有的健美体态和情性魅力，具有较高的审美价值和艺术研究价值。","[{'name': '吴英民', 'gender': '男', 'birth_date': '1955.07.20', 'ethnicity': '汉族'}]",[]
秧歌（海阳大秧歌）,传统舞蹈,"山东省海阳市
",https://www.ihchina.cn/project_details/12816.html,"秧歌是中国（主要在北方地区）广泛流传的一种极具群众性和代表性的民间舞蹈的类称，不同地区有不同称谓和风格样式。在民间，对秧歌的称谓分为两种：踩跷表演的称为“高跷秧歌”，不踩跷表演的称为“地秧歌”。近代所称的“秧歌”大多指“地秧歌”。秧歌历史悠久，南宋周密在《武林旧事》中介绍的民间舞队中就有“村田乐”的记载，清代吴锡麟的《新年杂咏抄》中明文记载了现存秧歌与宋代“村田乐”的源流关系。现各地的秧歌一般以秧歌舞队为主要形态，舞队人数少则十数人，多时达上百人，既有集体舞，也有双人舞、三人舞等多种表演形式，根据角色的需要手持相应的手绢、伞、棒、鼓、钱鞭等道具，在锣鼓、唢呐等吹打乐器的伴奏下尽情舞蹈。各地秧歌的舞法、动作和风格各不相同，有的威武雄浑，有的柔美俏丽，千姿百态，美不胜收。
秧歌是中国北方最具代表性的民间舞种之一，既有表演性的，也有自娱性的，自娱娱人，深受老百姓的喜爱。各地均出现过一些有代表性的民间秧歌艺人，很多民间艺人对新中国舞蹈事业的建设发挥过重要作用。在农村经济快速发展，文化环境随之发生变化的今天，能够掌握传统秧歌技艺和纯正舞蹈风格的民间艺人已寥若晨星，保护和传承工作亟待进行。
海阳大秧歌是山东三大秧歌之一，系民间社火中的舞蹈部分，流行于山东半岛南翼、黄海之滨的海阳市一带。
海阳大秧歌是一种集歌、舞、戏于一体的民间艺术形式，它遍布海阳的十余处乡镇，并辐射至周边地区。据海阳赵家庄《赵氏谱书》记载：“二世祖（赵）通，世袭（大嵩卫）指挥、镇抚，诰封武略将军。洪熙元年，欣逢五世同堂，上赐‘七叶衍祥'金额，悬匾谷旦，诸位指挥偕缙绅光临赐贺。乐舞生闻《韶》，率其创练之秧歌，舞唱于庭，其乐融融。”据此可知，海阳秧歌实创于明代。
海阳大秧歌表演内容丰富，队伍结构严谨，主要由三部分组成。出行时排在最前列的是执事部分，其次是乐队，随后是舞队。舞队有各类角色几十人，其中包括指挥者——药大夫，集体表演者——花鼓、小、霸王鞭，双人表演者——货郎与翠花、箍漏与王大娘、丑婆与傻小子、老头与老婆、相公与媳妇等，排在最后的是秧歌剧人物或戏曲杂扮者。秧歌队常用阵式有“二龙吐须”、“八卦斗”、“龙摆尾”、“龙盘尾”、“二龙绞柱”、“三鱼争头”、“众星捧月”等。海阳秧歌舞蹈动作的突出特点是跑扭结合，舞者在奔跑中扭动，女性扭腰挽扇、上步抖肩，活泼大方；男性颤步晃头、挥臂换肩，爽朗风趣。
海阳大秧歌是海阳人民集体智慧和创造精神的体现，在现实中，海阳秧歌鲜明地展现了海阳农村百姓的精神风貌和性格特征，是一方地域文化的重要组成部分，具有审美价值和历史价值，对于丰富群众的文化生活、构建和谐社会起到了重要的促进作用。海阳大秧歌现已被编列为汉民族舞蹈教材之一。1996年，海阳市被文化部命名为“中国民间艺术之乡”。","[{'name': '修建国', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '于信', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '盛玉宾', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '鞠洪钧', 'gender': '男', 'birth_date': '1926.03', 'ethnicity': '汉族'}, {'name': '王发', 'gender': '男', 'birth_date': '1919.03', 'ethnicity': '汉族'}]",[]
秧歌（陕北秧歌）,传统舞蹈,陕西省绥德县,https://www.ihchina.cn/project_details/12817.html,"秧歌是中国（主要在北方地区）广泛流传的一种极具群众性和代表性的民间舞蹈的类称，不同地区有不同称谓和风格样式。在民间，对秧歌的称谓分为两种：踩跷表演的称为“高跷秧歌”，不踩跷表演的称为“地秧歌”。近代所称的“秧歌”大多指“地秧歌”。秧歌历史悠久，南宋周密在《武林旧事》中介绍的民间舞队中就有“村田乐”的记载，清代吴锡麟的《新年杂咏抄》中明文记载了现存秧歌与宋代“村田乐”的源流关系。现各地的秧歌一般以秧歌舞队为主要形态，舞队人数少则十数人，多时达上百人，既有集体舞，也有双人舞、三人舞等多种表演形式，根据角色的需要手持相应的手绢、伞、棒、鼓、钱鞭等道具，在锣鼓、唢呐等吹打乐器的伴奏下尽情舞蹈。各地秧歌的舞法、动作和风格各不相同，有的威武雄浑，有的柔美俏丽，千姿百态，美不胜收。
秧歌是中国北方最具代表性的民间舞种之一，既有表演性的，也有自娱性的，自娱娱人，深受老百姓的喜爱。各地均出现过一些有代表性的民间秧歌艺人，很多民间艺人对新中国舞蹈事业的建设发挥过重要作用。在农村经济快速发展，文化环境随之发生变化的今天，能够掌握传统秧歌技艺和纯正舞蹈风格的民间艺人已寥若晨星，保护和传承工作亟待进行。
陕北秧歌是流传于陕北高原的一种具有广泛群众性和代表性的传统舞蹈，又称“闹红火”、“闹秧歌”、“闹社火”、“闹阳歌”等。它主要分布在陕西榆林、延安、绥德、米脂等地，历史悠久，内容丰富，形式多样。其中绥德秧歌最具代表性。
绥德可谓陕北秧歌的中心，那里的农村至今仍保留传统的秧歌表演程式、礼俗和风格特色，其中既有古代乡人驱傩的“神会秧歌”、“二十八宿老秧歌”，也有1942年之后才兴起的新秧歌。秧歌表演者常有数十人，有的多达近百人，在伞头的率领下，踏着铿锵的锣鼓，和着嘹亮的唢呐，作出扭、摆、走、跳、转的动作尽情欢舞。沉浸在欢乐愉快的喜庆气氛中的陕北高原秧歌表演十分红火。秧歌吸收当地流传的水船、跑驴、高跷、狮子、踢场子等形式中的艺术元素，组成浩浩荡荡的秧歌队。传统的老秧歌、神会秧歌中保存着“起场”、“谒庙”、“敬神”等祭祀礼俗，表演中还有拜门（又称沿门子）、搭彩门、踩大场、转九曲等活动。一个秧歌队从数十人到上百人不等，表演中有“原地扭”、“走十字步”、“三步一跳”、“斜身步”、“抖肩步”等，陕北秧歌分为“大场”和“小场”两种，大场队形变化丰富，有“龙摆尾”、“卷白菜”、“十字梅花”、“二龙吐水”、“十二莲灯”等数百种排列法；小场表演包括“水船”、“跑驴”、“高跷”、“霸王鞭”等。也可根据动作风格和内容划分为“文场子”、“武场子”、“踢场子”、“丑场子”等；其中“踢场子”为表现男女爱情生活的双人舞，有较高难度的舞蹈动作，需展示“软腰”、“二起脚”、“三脚不落地”、“龙爪穿云”、“金鸡独立”、“金钩倒挂”等高难技巧。陕北秧歌在1942年的延安新秧歌运动中成为主角，被赋予了新的精神风貌和时代内容，并随着革命形势的发展而传遍全国。
陕北秧歌表现了陕北群众质朴、憨厚、乐观的性格，具有突出的历史文化价值。","[{'name': '魏建明', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '贺俊义', 'gender': '男', 'birth_date': '1939.11.21', 'ethnicity': ''}, {'name': '李增恒', 'gender': '男', 'birth_date': '1928.11', 'ethnicity': '汉族'}]",[]
秧歌（济阳鼓子秧歌）,传统舞蹈,山东省济阳县,https://www.ihchina.cn/project_details/12821.html,"秧歌又称“扭秧歌”，是我国汉民族具有代表性的民间舞蹈形式。它起源于插秧耕田的劳动生活，同时又和古代祭祀农神祈求丰收、祈福禳灾时所唱的颂歌、禳歌有关。在长期发展过程中，秧歌不断吸收民歌、民间武术、杂技、戏曲等民间艺术的形式技巧，逐渐由一般的演唱发展成为集体性的歌舞表演。秧歌动作丰富，形式多样，生动活泼，奔放热烈，为普通百姓所喜闻乐见，清代以后在全国各地流传广泛，成为一种深入人心的民间舞蹈样式。
济阳县位于鲁北平原南部，北界商河，西北与临邑相连，徒骇河、黄河横穿东西，具有鲁北特色的济阳鼓子秧歌就产生和流传在这里。济阳鼓子秧歌历史悠久，相传兴起于明朝永乐年间，清朝年间就已普及，是黄河文化的优秀遗产。
济阳鼓子秧歌的表演形式有两种：“街筒子”和“跑场子”。街筒子是秧歌队走街串巷在行进中表演，前面是鼓队，后面是秧歌队。秧歌队分为三路和五路纵队，伞在中间成一单行纵队，两侧为鼓、棒、花相间的二纵队或四纵队。在街筒子的表演中既有集体舞，又有交叉于其中的对舞，所有变化都以伞为中心。“跑场子”是秧歌队到达场地后的表演。秧歌队根据锣鼓队的位置，面向大鼓，以一伞、四鼓、二棒、二花为一组，成单行依次排列进行表演。从两侧进场到场后左右分开，沿场地边缘行进，两队在场地前场中心相遇成一大圆圈。然后听从领伞人摇动拨槌发令，开始按预定的场图跑场。秧歌队跑场图不下几十种，场图套路分“文场”、“武场”、“文武场”。“武场”节奏欢快、热烈红火、舞姿雄伟，进出皆用舞蹈动作表现。“文场”场图变化明快流畅，舞者各自保持上身姿态，按所跑的场图路线快速穿行。也就是秧歌传人们常说的“武场看打、文场看走”。“文武场”则是半文半武的场图和动作变化，在表演中经常交替使用，进时多用“武场”，出时则多用“文场”。济阳鼓子秧歌锣鼓铿锵有力，舞姿粗犷豪放，气势恢弘磅礴，情感纯朴热烈，具有旺盛的生命力和鲜明的地方风格。这种秧歌的主要角色包括伞、鼓、棒、花几类，其中伞又有丑伞和小伞之分。稳健的丑伞、俊丽的小伞、明快的手鼓、柔美的拉花组成一支特殊的演出队伍，以自由奔放的舞蹈反映出鲁北人民豪爽乐观、大方热情的性格。
济阳鼓子秧歌是济阳人民智慧的结晶，也是济阳人民淳朴善良、热情好客特点的形象体现。作为民间广场舞蹈的经典，济阳鼓子秧歌在艺术上达到了很高成就，在艺术学和民俗学等方面的研究中显示出一定的价值。目前，随着时代发展和社会人文环境的变迁，济阳鼓子秧歌的生态环境日渐恶化，生存出现危机，急需抢救。","[{'name': '姚大新', 'gender': '男', 'birth_date': '1967.07', 'ethnicity': ''}]",[]
