项目名称,项目类别,申报地区或单位,详情链接,官网描述,传承人信息,相关文章
左权开花调,传统音乐,山西省左权县 ,https://www.ihchina.cn/project_details/12408.html,"左权县位于太行山主脉西侧、山西省东部边缘，古称辽州、辽县，后因纪念牺牲在此的抗日名将而改为左权。左权民歌蕴藏丰富，据《辽州志》载，宋元以来，当地就有“闹元宵”、“闹社火”、“闹红火”的传统风俗。历代民众不断创造、传承，陆续产生了多种民间音乐体裁，如山歌、小调、号子、套曲、小花戏和吹打等，其中以开花调最具代表性。该类民歌属“山歌体”，因所有唱词一律以“花”为中心，以“开花”为比兴，故称开花调。更为独特的是，所谓“花”，不仅有植物之“花”，更有各类日常用具、物品之“花”，如“门搭搭开花扑来来，门外走进哥哥来”、“玻璃开花里外明，远远照见俺咯旦儿亲”、“油灯灯开花一点明，小酒盅挖米不嫌你穷”等等。这些民歌构思精巧，语词新颖，为广大民众所喜闻乐见。此外，歌中用本地方言所构成的衬词衬句都堪称一绝，如“啊咯呀呀呆”、“亲咯旦儿”、“亲呀咯亲呀么呆呀咯呆”等，都极好地凸显了浓厚的地方色彩。
开花调音调简洁，深情感人，绝大多数由相互呼应的上下两个乐句组成，旋律进行以级进七声性音阶为主，间或出现大跳音型，用于表现情绪、情感的起伏跌宕，大大增加了音乐的感染力。
自20世纪40年代起，音乐工作者就开始在左权收集记录民歌，前后历经半个多世纪，仅收集到的开花调就有百首以上，代表曲目包括《桃花红，杏花白》、《有了心思慢慢来》、《会哥哥》、《格旦亲》、《想亲哥》、《土地还家》等。刘改鱼、冀爱芳、石占明等都是开花调的优秀传人。
以开花调为代表的左权民歌在20世纪七八十年代曾一度衰微，生态失衡。近期在广大民众和政府主管部门的共同努力下，传统歌风日渐恢复，新的传人相继出现，为民歌遗产的保护和传承提供了较好的基础。","[{'name': '冀爱芳', 'gender': '女', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '刘改鱼', 'gender': '女', 'birth_date': '1939.12', 'ethnicity': '汉族'}]","[{'title': '开民族之“花” 唱发展之“调”左权开花调为民歌传承赋予时代活力', 'content': '左权民歌汇现场（摄影：杨洋）\n“门搭搭开花卜来来，门外走进哥哥来。”“山药蛋开花结疙瘩，圪蛋亲是俺心肝瓣。”“玻璃开花里外明，远远照见俺圪蛋儿亲。”“油灯灯开花一点明，小酒盅挖米不嫌你穷。”左权人张口唱歌不离“花”，不仅有植物之“花”，更有各类日常用具、物品之“花”，他们以“花”为中心，以“开花”为比兴，因此，这种传唱的民歌被称为“开花调”。\n作为国家级非物质文化遗产，左权开花调不仅唱出了人们对美好生活的向往和憧憬，更承载着太行山悠久的人文历史和红色文化。\n在众多地方小戏、民歌式微的当下，左权开花调却历久弥新、创新不断，从左权民歌汇到中国民歌盛典，从《太行奶娘》到《烽火家书》，开花调逐渐成为大众欣赏的“宠儿”，并登上中央音乐学院、中国国家大剧院等艺术殿堂。\n桃花红杏花白\n唱响大江南北\n开花调的缘起，可以追溯到宋元时期。在漫长的岁月中，辽州人以山歌、小调、号子、套曲、小花戏和吹打等民间音乐形式，丰富和滋养着乡民。当地因此赢得了“万首民歌千出戏”的美誉，其中被誉为“太行歌后”的刘改鱼功不可没。\n刘改鱼是听着民歌入眠、唱着民歌长大的。“桃花花你就红来，杏花花你就白，爬山越岭寻你来呀，啊格呀呀呆……”这首亲切朴实的旋律，成为左权开花调的经典曲目。1953 年，14 岁的刘改鱼从左权民间艺人程计年那里搜集到这首民歌《桃花红杏花白》，经她演唱后流传开来，广为传唱，成为开花调的重要曲目。\n15 岁那年元宵节，刘改鱼演唱《土地还家》《红都炮台》等民歌后，被左权县文化馆看中，和另外两位民歌手一起到晋中行署进行选拔，没想到，反响特别好，被选送到太原比赛，一嗓子“啊呀呀呆”，震惊四座，一夜爆红。\n初生牛犊不怕虎。刘改鱼赴京参加了全国第二届群众民间音乐舞蹈汇演，并获得最高奖——优秀节目奖。她的照片登在《人民日报》上，她的歌声备受关注和喜爱，她的人生就此改变。次年，刘改鱼受中央音乐学院邀请，到中国音乐的最高学府教授民歌课。1957 年，被调入中央歌舞团民歌合唱队。合唱队被撤销后，她调回山西，进入省歌舞剧团，担任独唱演员。刘改鱼演唱的《土地还家》《桃花红杏花白》《亲圪蛋下河洗衣裳》等民歌，成为省歌舞剧院的代表曲目。\n开花调成就了刘改鱼，而她也将左权民歌推向台前，使其跻身山西民歌的一大流派。退休以后，刘改鱼从未放弃自己的事业，而是更加勤奋地为民歌艺术传承奔忙。2006 年，左权开花调被列入国家级非物质文化遗产名录。2009 年，刘改鱼被推选为山西省十大杰出非物质文化遗产传承人，后经文化和旅游部评定为国家级非物质文化遗产代表性传承人。\n为了传承开花调，2016 年，刘改鱼与山西戏剧职业学院合作，成立了刘改鱼工作室，把教学和演出结合起来，培养更多的民歌人才。她先后针对大专院校学生和青年教师、演员授课近千人次。在她的培养下，许多青年歌手爱上了开花调。山西戏剧职业学院青年教师高鹤、常璇等多次举办师生音乐会，韩晓霞举办个人演唱会，学生张红丽等人作为主要演员参加大型歌舞节目《解放》排演，高昆峰、崔瑞宁获央视《星光大道》2019 年第一季月冠军……\n左权从来不缺喜欢开花调的人，在刘改鱼的影响带动下，一代代开花调歌手成长起来，王建英、郝利宏、王熙等，就是其中的佼佼者。\n弘扬太行精神\n传唱烽火家书\n左权是革命老区，红色基因浸润着这片土地。对抗战题材的演绎，成为左权人的一种使命和担当。1992 年组建的左权县开花调艺术团，汇聚了一大批热爱开花调和小花戏的人才。他们在艺术创作中充分汲取红色热土上的特色文化资源，创作出了舞蹈《做军鞋》、歌舞剧《再见了，麻田》以及大型红色歌剧《太行奶娘》等精品节目，曾多次参加国家、省、市演出，并屡获殊荣。\n近年来，左权县开花调艺术团坚持深入基层，开展文化惠民、送文化下乡等活动，为群众送上了丰富的红色文化大餐，成为左权一张亮丽的文化名片。\n2023 年初，继《太行奶娘》之后，左权县又推出了一部以开花调为主的红色文化大戏——廉政歌舞剧《烽火家书》。郝利宏在剧中担纲男一号，饰演左权将军。他成功塑造了一个有情有义、有血有肉、驰骋疆场的八路军将军形象，再现了左权将军的报国情、母子情、夫妻情、父女情。\n郝利宏自幼受家庭影响，耳濡目染，爱上了唱民歌。作为开花调非遗传承人，即便生活艰难，他也从未放弃对开花调的热爱。步入不惑之年的他，已是左权民歌具有代表性的唱将。\n《太行奶娘》和《烽火家书》等有高度、有温度、有厚度的开花调艺术精品的创排，是左权开花调艺术团体的发展机遇，也是开花调传承保护的尝试和方向。市场和观众给出了答案：作为国家级非遗项目，开花调人才辈出，前景广阔，硕果累累，值得赞叹和期待！\n元宵节、民歌盛典等节庆时节，左权无处不飞歌，每个人都是左权民歌的歌者、小花戏的舞者，他们将生活与艺术融入血液，用歌声传递对美好生活的歌颂。\n民间艺术之乡\n传承后继有人\n左权县是“中国民间文化艺术之乡”。2006 年，代表左权民歌、小花戏精髓的开花调被国务院确定为首批国家级非物质文化遗产，使左权挖掘保护、传承发展这一文化艺术瑰宝进入新阶段。\n江山代有才人出。2012 年 5 月，左权民歌传承新秀王熙应邀参加央视《中华情》晚会录制，与歌手阎维文、高保利、石占明等同台演出。这位 6 岁就参与民间社火表演的年轻歌者，拜“开花调皇后”刘改鱼为师，跟随老师参与了《烂漫开花调》《民歌中国·花开左权》《第 29 届世界音乐教育大会》等晚会和节目录制。\n作为左权开花调市级非遗项目传承人，王熙从 2008 年起，在晋中学院、晋中职业技术学院、山西大学商务学院、晋中市特殊教育学校等院校的民歌鉴赏课中演唱、传播、教授左权民歌。2022 年至今，她在晋中学院音乐系担任左权民歌课外聘教师。\n近年来，晋中市将非遗引入中小学校课堂，同时与高校合作，开展非遗保护、传承研究，使非遗传承活力大增。\n在基础教育阶段，左权县将小花戏引入当地中小学课间活动。2008 年，本着“保护为主、抢救第一、合理利用、传承发展”的原则，成立了民歌小花戏研究协会，实施民歌、小花戏进课堂工程。\n左权盲人宣传队也是开花调传承保护的一支生力军。多年来，他们上北京、下江南，先后到中国音乐学院、中国传媒大学等高校演唱和授课，并与太原师范学院、山西艺术职业学院师生同台演出，进行多种形式的艺术交流。\n2023年仲夏，中国民歌传承发展专题研讨会在左权举行，来自中国音乐学院、武汉音乐学院、星海音乐学院等8所音乐院校的专家，深入探讨了民歌传承新路径，为开花调传承保护提出了建议和意见。扎根于左权，醉心于开花调的非遗传承人，仍坚持不懈，在太行山的乡野山峦间，飘荡着他们的歌声，令人陶醉，催人奋进。'}]"
河曲民歌,传统音乐,山西省河曲县 ,https://www.ihchina.cn/project_details/12409.html,"河曲位于山西省西北部，东界偏关、五寨，南界岢岚、保德，西、北隔黄河分别与陕西、内蒙相邻，是一个“一鸡鸣三省”的特殊地区。由于地处黄河弯道，河曲历史上交通阻隔，土地贫瘠，旱涝无定，老百姓灾难深重。这一特殊的人文地理环境形成了当地老百姓每年春去冬回，到内蒙古大青山、河套一带打短工、拉长工的“走西口”生活生产方式。由这种年复一年的离妻别子的痛苦人生中自然产生了咏叹人间离苦、别绪、思念、期盼的“走西口”民歌，当地人称之为“山曲”。山曲属山歌体裁，它形成于何时尚无确定，但在山曲基础上形成的“二人台”，据考已有二百年左右的历史。方志中就有明代河曲“户有弦歌新治谱，儿童妇老尽歌讴”的记载，足见其歌唱传统的久远。
山曲唱词内容深刻，曲调丰富。1953年冬，中央音乐学院民族音乐研究所（现中国艺术研究院音乐研究所）首次到当地采录民歌，短短三个月即记录了一千五百多首唱词和一百五十多种曲调，其中的《三天路程两天到》、《人家都在你不在》、《割莜麦》、《提起哥哥走西口》、《真魂魂跟在你身左右》、《哥哥在东妹在西，天河隔在两头起》等都是词曲皆佳的传世精品。它们在词曲结构方面采用上下句体式，上句起兴，下句表情，往往一个上下句就揭示出一种深邃的感情状态或描绘出一种逼真的生活画面，像“山在水在石头在，人家都在你不在”、“听见哥哥唱上来，热身子扑在冷窗台”等都是典型的例子。山曲的曲调则运用并置、呼应、对比等两句体，蕴含有丰富的美学意味。在反映民歌发展历史与民间社会生活状况方面，也具有典型的意义。","[{'name': '王永茂', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '韩运德', 'gender': '男', 'birth_date': '1941.02', 'ethnicity': '汉族'}, {'name': '吕桂英', 'gender': '女', 'birth_date': '1941.10', 'ethnicity': '汉族'}, {'name': '辛里生', 'gender': '男', 'birth_date': '1938.10.28', 'ethnicity': '汉族'}]","[{'title': '山西：河曲民歌唱响中华优秀传统文化故事', 'content': '“我从事河曲民歌二人台整整52个年头了，河曲民歌和我形影不离，可以说它已融入了我的生命。有一天让我不听、不唱河曲民歌，我的心就会空落落的。”9月10日晚，在太原市工人文化宫音乐厅举办的纪念《保护非物质文化遗产公约》通过20周年活动暨2023年中国非物质文化遗产（河曲民歌）传承人研修培训班结业说唱音乐会上，国家一级演员王掌良动情表示。\n此次音乐会由山西省文化和旅游厅主办，为纪念《保护非物质文化遗产公约》通过20周年，回顾非物质文化遗产保护取得的成果。音乐会以语言讲述的形式，将非物质文化遗产活态衍化中所保留的珍贵特质与新时代文化价值导向相融合，形成了独具特色的“说唱”音乐主题。由国家级非遗代表性传承人张美兰、杜焕荣，国家一级演员王掌良，市级非遗传承人张混良、张晓霞、胡秀珍及研修培训班全体学员共同演绎《夸土产》《走西口》等19首经典河曲民歌。\n记者了解到，2023年8月，由文化和旅游部、教育部、人力资源和社会保障部主办，山西省文化和旅游厅、中北大学承办的2023年中国非物质文化遗产（河曲民歌）传承人研修培训班开班。培训期间，共邀请到国内30余位知名专家、学者为学员讲授理论课、拓展课、实践课，培训总学时达220课时，参与培训的非遗传承人、技艺从业者、项目持有者共计110余人，挖掘、整理河曲传统民歌近50余首，排演河曲民歌30余首，整理非遗传承人口述材料近12万字（拟录专著），带队交流、研讨及走访30余次。培训班的举办达到了帮助“河曲民歌”非遗传承人强基础、拓眼界、增学养、增强文化自信的目的，提升了保护传承水平，凸显了非遗传承人研修培训的价值。\n本次结业说唱音乐会充分发挥优秀舞台艺术的示范引领作用，努力打造更多接地气、传得开、留得下的优秀作品，多角度、多维度地推动中华优秀传统文化创造性转化、创新性发展，不断讲好中华优秀传统文化故事。（拍摄：王文华）'}]"
蒙古族长调民歌,传统音乐,内蒙古自治区,https://www.ihchina.cn/project_details/12410.html,"长调是蒙古语“乌日汀哆”的意译。“乌日汀”为“长久”、“永恒”之意，“哆”为“歌”之意。在相关著作和论文中，也将其直译为“长歌”、“长调歌”或“草原牧歌”等。
根据蒙古族音乐文化的历史渊源和音乐形态的现状，长调可界定为由北方草原游牧民族在畜牧业生产劳动中创造的，在野外放牧和传统节庆时演唱的一种民歌。长调旋律悠长舒缓、意境开阔、声多词少、气息绵长，旋律极富装饰性（如前倚音、后倚音、滑音、回音等），尤以“诺古拉”（蒙古语音译，波折音或装饰音）演唱方式所形成的华彩唱法最具特色。
早在一千多年前，蒙古族的祖先走出额尔古纳河两岸山林地带向蒙古高原迁徙，生产方式也随之从狩猎业转变为畜牧业，长调这一新的民歌形式便产生、发展了起来。在相当长的历史时期内，它逐渐取代结构方整的狩猎歌曲，占据了蒙古民歌的主导地位，最终形成了蒙古族音乐的典型风格，并对蒙古族音乐的其他形式均产生了深刻的影响。可以说，长调集中体现了蒙古游牧文化的特色与特征，并与蒙古民族的语言、文学、历史、宗教、心理、世界观、生态观、人生观、风俗习惯等紧密联系在一起，贯穿于蒙古民族的全部历史和社会生活中。长调的基本题材包括牧歌、思乡曲、赞歌、婚礼歌和宴歌（也称酒歌）等。
长调民歌所包含的题材与蒙古族社会生活紧密相联，它是蒙古族全部节日庆典、婚礼宴会、亲朋相聚、“那达慕”等活动中必唱的歌曲，全面反映了蒙古族人民的心灵历史和文化品位。代表曲目有《走马》、《小黄马》、《辽阔的草原》、《辽阔富饶的阿拉善》等。长调民歌的研究涉及到音乐学的诸多分支学科，对它的研究与保护实际上就是对历史悠久的草原文明与草原文化类型最强有力的传承与保护。","[{'name': '达瓦桑布', 'gender': '男', 'birth_date': '', 'ethnicity': '蒙古族'}, {'name': '赛音毕力格', 'gender': '男', 'birth_date': '1954.03.13', 'ethnicity': '蒙古族'}, {'name': '淖尔吉玛', 'gender': '女', 'birth_date': '1931.11.05', 'ethnicity': '蒙古族'}, {'name': '阿拉坦其其格', 'gender': '女', 'birth_date': '1955.12', 'ethnicity': '蒙古族'}, {'name': '扎格达苏荣', 'gender': '男', 'birth_date': '1954.12.19', 'ethnicity': '蒙古族'}, {'name': '宝音德力格尔', 'gender': '女', 'birth_date': '1934.02', 'ethnicity': '蒙古族'}, {'name': '莫德格', 'gender': '女', 'birth_date': '1932', 'ethnicity': '蒙古族'}, {'name': '额日格吉德玛', 'gender': '女', 'birth_date': '1932.12.12', 'ethnicity': '蒙古族'}, {'name': '巴德玛', 'gender': '女', 'birth_date': '1940', 'ethnicity': '藏族'}]",[]
蒙古族长调民歌,传统音乐,新疆维吾尔自治区巴音郭楞蒙古自治州,https://www.ihchina.cn/project_details/12411.html,"长调系蒙古语“乌日汀哆”的意译，它是北方草原游牧民族在畜牧业生产劳动中创造的一种民歌，在野外放牧和传统节庆时演唱。长调在蒙古族社会生活中占有重要地位，那达慕大会、婚礼、乔迁和婴儿降生庆典等传统社交与宗教节庆活动中都能听到长调的演唱。新疆地区的蒙古族长调民歌主要分布在巴音郭楞蒙古自治州及和布克赛尔蒙古自治县等地区。
长调历史久远，一千多年前，蒙古族祖先向蒙古高原迁徙，生产方式随之从狩猎转变为畜牧，长调民歌即在这一过程中产生和发展起来。这一艺术样式集中体现了蒙古游牧文化的特色，与蒙古民族的语言、文学、历史、宗教、风俗习惯及世界观、生态观、人生观等紧密联系在一起，贯穿于蒙古民族的社会生活之中。
长调歌腔舒展，意境开阔，声多词少，气息绵长，旋律极富装饰性（如前倚音、后倚音、滑音、回音等），尤以“诺古拉”（蒙古语音译，波折音或装饰音）演唱方式最具特色。长调民歌一般为上下两句，参差不齐的长短乐句以其特有的律动保持动态平衡，蕴含着丰富的音调与节奏变化。按内容分，长调的基本类型包括牧歌、思乡曲、赞歌、劳动歌、仪式歌、历史歌、时政歌、宴歌（也称“酒歌”）等。
长调民歌具有极高的研究价值，是人类学、民族学、音乐学等学科重要的研究对象。保护蒙古族长调民歌，对于蒙古草原文明的传承具有重要意义。现代化、城市化的进程使蒙古族长调民歌受到强烈冲击，目前能够演唱的艺人已屈指可数，其中许多人年事已高，长调的传承发扬面临危机，抢救、保护这一文化遗产已成为一项刻不容缓的工作。","[{'name': '闹尔再', 'gender': '女', 'birth_date': '', 'ethnicity': '蒙古族'}]",[]
蒙古族长调民歌,传统音乐,新疆维吾尔自治区和布克赛尔蒙古自治县,https://www.ihchina.cn/project_details/12412.html,"长调系蒙古语“乌日汀哆”的意译，它是北方草原游牧民族在畜牧业生产劳动中创造的一种民歌，在野外放牧和传统节庆时演唱。长调在蒙古族社会生活中占有重要地位，那达慕大会、婚礼、乔迁和婴儿降生庆典等传统社交与宗教节庆活动中都能听到长调的演唱。新疆地区的蒙古族长调民歌主要分布在巴音郭楞蒙古自治州及和布克赛尔蒙古自治县等地区。
长调历史久远，一千多年前，蒙古族祖先向蒙古高原迁徙，生产方式随之从狩猎转变为畜牧，长调民歌即在这一过程中产生和发展起来。这一艺术样式集中体现了蒙古游牧文化的特色，与蒙古民族的语言、文学、历史、宗教、风俗习惯及世界观、生态观、人生观等紧密联系在一起，贯穿于蒙古民族的社会生活之中。
长调歌腔舒展，意境开阔，声多词少，气息绵长，旋律极富装饰性（如前倚音、后倚音、滑音、回音等），尤以“诺古拉”（蒙古语音译，波折音或装饰音）演唱方式最具特色。长调民歌一般为上下两句，参差不齐的长短乐句以其特有的律动保持动态平衡，蕴含着丰富的音调与节奏变化。按内容分，长调的基本类型包括牧歌、思乡曲、赞歌、劳动歌、仪式歌、历史歌、时政歌、宴歌（也称“酒歌”）等。
长调民歌具有极高的研究价值，是人类学、民族学、音乐学等学科重要的研究对象。保护蒙古族长调民歌，对于蒙古草原文明的传承具有重要意义。现代化、城市化的进程使蒙古族长调民歌受到强烈冲击，目前能够演唱的艺人已屈指可数，其中许多人年事已高，长调的传承发扬面临危机，抢救、保护这一文化遗产已成为一项刻不容缓的工作。","[{'name': '道·乌图那生', 'gender': '男', 'birth_date': '', 'ethnicity': '蒙古族'}, {'name': '加·道尔吉', 'gender': '男', 'birth_date': '1942.10.11', 'ethnicity': '蒙古族'}]",[]
蒙古族长调民歌（巴尔虎长调）,传统音乐,内蒙古自治区新巴尔虎左旗,https://www.ihchina.cn/project_details/12413.html,,"[{'name': '都古尔苏荣', 'gender': '男', 'birth_date': '', 'ethnicity': '蒙古族'}]",[]
蒙古族长调民歌（乌珠穆沁长调）,传统音乐,内蒙古自治区锡林郭勒盟西乌珠穆沁旗,https://www.ihchina.cn/project_details/23641.html,,"[{'name': '斯琴格日乐', 'gender': '男', 'birth_date': '', 'ethnicity': '蒙古族'}]",[]
蒙古族呼麦,传统音乐,内蒙古自治区,https://www.ihchina.cn/project_details/12414.html,"呼麦是蒙古族人创造的一种神奇的歌唱艺术：一个歌手纯粹用自己的发声器官，在同一时间里唱出两个声部。呼麦声部关系的基本结构为一个持续低音和它上面流动的旋律相结合。又可以分为“泛音呼麦”、“震音呼麦”、“复合呼麦”等。在中国各民族民歌中,它是独一无二的。
呼麦主要分布在内蒙古自治区的锡林郭勒、呼伦贝尔草原及呼和浩特市等地区，新疆维吾尔自治区阿尔泰山一带的蒙古族居住地以及蒙古、俄罗斯图瓦地区也能听到这种歌唱方式。
据考证，呼麦的历史可以远溯至匈奴时期，至迟在蒙古族形成前后就已经产生。
作为一种特殊的民间歌唱形式，呼麦是蒙古族杰出的创造。它传达着蒙古族人民对自然宇宙和世界万物深层的哲学思考和体悟，表达了蒙古民族追求和谐生存发展的理念和健康向上的审美情趣。
呼麦是蒙古民族最古老的艺术形式之一，它更多地保留了原始歌唱的某些因素，是一种来自民族记忆深处的久远回音，与蒙古族的历史、文化息息相关，对于人类学、民族学、民俗学研究均有重要的价值。
抢救和保护“呼麦”这种神奇的歌唱艺术，使它免遭灭绝之灾，是一项重要而紧迫的任务。","[{'name': '胡格吉勒图', 'gender': '男', 'birth_date': '1961.07', 'ethnicity': '蒙古族'}]","[{'title': '内蒙古自治区艺术研究院（非遗保护中心）召开蒙古族呼麦调研阶段成果专家评审会', 'content': '为深入开展学习贯彻习近平新时代中国特色社会主义思想主题教育和“听党话、感党恩、跟党走”群众教育实践活动，按照自治区文化和旅游厅大兴调查研究工作部署，6月21日全天，内蒙古自治区艺术研究院（非遗保护中心）召开人类非物质文化遗产代表作蒙古族呼麦专项普查调研阶段成果专家评审会。\n普查工作开展以来，普查组已经开展锡林郭勒盟、乌兰察布市的实地普查工作，走访相关人员100余人次，采访普查对象50余人次，行程达3000多公里。初步了解了蒙古族呼麦在本地区的存续情况、人员结构、传承发展现状等基础信息，并结合线上全区呼麦调查问卷完成普查报告初稿。与会专家对普查组实地访谈资料和普查报告初稿进行评审论证，提出针对性的意见与建议，为最终完成普查工作提供智力支持和学术指导。'}]"
蒙古族呼麦,传统音乐,新疆维吾尔自治区阿勒泰地区,https://www.ihchina.cn/project_details/12415.html,"呼麦是新疆蒙古族楚吾尔音乐的一种，又称“霍林楚吾尔”，可分为“泛音呼麦”、“震音呼麦”、“复合呼麦”等类型，主要分布在内蒙古自治区的锡林郭勒、呼伦贝尔草原及呼和浩特市等地区，新疆维吾尔自治区阿尔泰山一带的蒙古族居住地也能听到这种歌唱方式。除此之外，呼麦还远播蒙古和俄罗斯的图瓦地区。
呼麦是蒙古族人创造的一种神奇的歌唱艺术，演唱时歌手运用特殊的声音技巧，在同一时间唱出两个声部，表现为一个持续低音和它上面流动旋律的结合，形成罕见的多声部演唱形态。据有关学者考证，我国诸多古籍中记载的北方草原民族的歌唱艺术“啸”可能即是呼麦的原始形态。相传早在13世纪蒙古草原流行英雄史诗说唱艺术时，呼麦就已十分盛行。
因受特殊演唱技巧限制，呼麦的曲目并不十分丰富，大体可分为三种类型。一是咏唱美丽的自然风光，如《阿尔泰山颂》、《额布河流水》等；二是表现和模拟野生动物的可爱形态，如《布谷鸟》、《黑走熊》等；三是赞美骏马和草原，如《四岁的海骝马》等。从风格特点上来看，蒙古族呼麦以短调音乐为主，但也能演唱一些简短的长调歌曲。
呼麦是蒙古民族杰出的艺术创造，它是一种来自民族记忆深处的久远回音，较多地保留了原始歌唱的某些因素，借以表达出蒙古人民对自然宇宙和世界万物深入的哲学思考。呼麦与蒙古族的历史、文化息息相关，对于人类学、民族学、民俗学的研究均有重要参考价值。目前，呼麦仅流传于极少数蒙古族农牧民中，有着深厚艺术造诣的艺人相继去世，传承乏人，已处于严重濒危状态，亟待抢救保护。",[],"[{'title': '内蒙古自治区艺术研究院（非遗保护中心）召开蒙古族呼麦调研阶段成果专家评审会', 'content': '为深入开展学习贯彻习近平新时代中国特色社会主义思想主题教育和“听党话、感党恩、跟党走”群众教育实践活动，按照自治区文化和旅游厅大兴调查研究工作部署，6月21日全天，内蒙古自治区艺术研究院（非遗保护中心）召开人类非物质文化遗产代表作蒙古族呼麦专项普查调研阶段成果专家评审会。\n普查工作开展以来，普查组已经开展锡林郭勒盟、乌兰察布市的实地普查工作，走访相关人员100余人次，采访普查对象50余人次，行程达3000多公里。初步了解了蒙古族呼麦在本地区的存续情况、人员结构、传承发展现状等基础信息，并结合线上全区呼麦调查问卷完成普查报告初稿。与会专家对普查组实地访谈资料和普查报告初稿进行评审论证，提出针对性的意见与建议，为最终完成普查工作提供智力支持和学术指导。'}]"
当涂民歌 ,传统音乐,安徽省马鞍山市,https://www.ihchina.cn/project_details/12416.html,"当涂民歌是流行于皖东长江两岸的各类民歌的统称。早在六朝时期（220－589）就有当涂民歌的记载，刘宋皇帝刘裕主持的著名的“白歌舞”即是当涂民歌演唱之一脉。长期生活在当涂的北宋词人李之仪的二十多首《田夫踏歌》和“我住长江头，君住长江尾”的吟唱都属于民歌范畴。清代当涂人黄钺以当地风俗民情为主要内容的五十多首《于湖竹枝词》代表了当时当涂民歌的最高艺术水平。1949年以后，当涂人民创作民歌、传唱民歌形成了热潮，到20世纪50年代末期，发展至鼎盛阶段。
当涂民歌数量众多，题材广泛，内容几乎涉及到社会生活的各个方面。同时，平原、圩区、丘陵山区的民歌异彩纷呈，形成多种体裁。流行于当涂大公圩一带的是号子、牛歌、舞调，流行于博望、湖阳、新市一带的是船歌、渔歌、灯歌，流行于沿江采石、霍里、新桥一带的是秧歌、对歌、门歌等。当涂民歌语言丰富，结构完整，曲调多样，唱法独特，显示出鲜明的地方性民间音乐和语言艺术的魅力。代表曲目有《打麦歌》、《放牛歌》和《姐在田里薅豆棵》等。
当涂民歌是当涂人民智慧的结晶，是劳动人民口头创作、口头演唱、口耳相传的文化表现形式的典型代表，经过历代文化人的艺术加工后，更具有了高度的历史价值和文化价值、艺术价值，是不可多得的音乐和语言艺术珍品。","[{'name': '陈跃兰（陈月兰）', 'gender': '女', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '陶小妹', 'gender': '女', 'birth_date': '', 'ethnicity': '汉族'}]",[]
