项目名称,项目类别,申报地区或单位,详情链接,官网描述,传承人信息,相关文章
苏州评弹（苏州评话、苏州弹词）,曲艺,江苏省苏州市,https://www.ihchina.cn/project_details/13581.html,"苏州评话是采用以苏州话为代表的吴语方言徒口讲说表演的曲艺说书形式，流行于江苏南部和浙江北部，包括上海大部的吴语地区，通常与苏州弹词合称“苏州评弹”。在流行地区，苏州评话俗称“大书”，苏州弹词俗称“小书”，总称“说书”。
苏州评话至迟在明末清初就已形成，清代中叶进入鼎盛时期，成立有行会组织光裕社。至咸丰、同治年间，出现了说演《水浒》的姚士章等名家。
苏州评话的艺术传统非常深厚。表演以第三人称即说书人的口吻来统领叙述，中间插入第一人称即故事中人物的语言进行摹学。摹学故事中人物的语言举止叫做“起角色”，第三人称的说演称“表”，第一人称的说演称“白”，表和白以散文为主，也有用作念诵表演的部分韵文，包括赋赞、挂口、引子和韵白等。表演注重制造喜剧性的噱头，有“噱乃书中之宝”的说法。又因演员在语言运用和“起角色”等方面的不同特色，形成有不同的风格流派。如说演严谨，语言表达基本固定，叫做“方口”；随机应变，舌底生花，善于即兴发挥，为适应不同的听众而随时变化，叫做“活口”；说表语如联珠，铿锵有力，叫做“快口”，相反则为“慢口”；以说表见长，少起角色，称为“平说”。其艺术上的发达为同类说书形式所少有。
苏州评话的传统节目约有五十多部，其中包括讲史性的《西汉》、《东汉》、《三国》、《隋唐》、《金枪》、《岳传》、《英烈》等，俗称“长靠书”，又称“着甲书”；侠义性的《水浒》、《七侠五义》、《小五义》、《绿牡丹》、《金台传》等，俗称“短打书”,此外还有神怪故事和公案书如《封神榜》、《济公传》、《彭公案》、《施公案》等。
苏州评话的节目形态多属长篇故事，分回逐日连说。每天说演一回，每回约一个半小时。通常一部书能连说月余，长的可达一年半载。其艺术表现以单线顺叙为主，用“未来先说、过去重提”的方法进行前后呼应，同时用不断设置“关子”的办法来制造悬念，吸引听众。中华人民共和国成立后，苏州评话编演了一批新书目，重要的有《江南红》、《铁道游击队》、《林海雪原》、《烈火金钢》、《敌后武工队》等，还出现了一些中短篇节目。
近些年来，苏州评话听众锐减，书场萎缩，艺人大量流失，生存发展面临危机，急需加以扶持和保护。
苏州弹词是以说唱相间的方式用苏州方言表演的“小书”类曲艺说书形式，发源并流行于以苏州为中心的江苏东南部、浙江北部和上海等吴语方言区，大约形成于明末清初。由于和苏州评话同属说书行业，曾经拥有共同的行会组织，民间即习惯性地将其与苏州评话合称之为“苏州评弹”。
苏州弹词的表演通常以说为主，说中夹唱。唱时多用三弦或琵琶伴奏，说时也有采用醒木作为道具击节拢神的情形。演唱采用的音乐曲调为板腔体的说书调，即所谓“书调”。因流传中形成了诸多的音乐流派，故“书调”又被称之为“基本调”。早期演出多为一个男艺人弹拨三弦“单档”说唱，后来出现了两个人搭档的“双档”和三人搭档的“三个档”表演。
苏州弹词的艺术传统非常深厚，技艺十分发达。讲究“说噱弹唱”。“说”指叙说；“噱”指“放噱”即逗人发笑；“弹”指使用三弦或琵琶进行伴奏，既可自弹自唱，又可相互伴奏和烘托；“唱”指演唱。其中“说”的手段非常丰富，有叙述，有代言，也有说明与议论。艺人在长期的说唱表演中形成了诸如官白、私白、咕白、表白、衬白、托白等等功能各不相同的说表手法与技巧，既可表现人物的思想活动、内心独白和相互间的对话，又可以说书人的口吻进行叙述、解释和评议。艺人还借鉴昆曲和京剧等的科白手法，运用嗓音变化和形体动作及面部表情等来“说法中现身”，表情达意并塑造人物。在审美追求上，苏州弹词讲求“理、味、趣、细、技”。“理者，贯通也。味者，耐思也。趣者，解颐也。细者，典雅也。技者，工夫也”。
苏州弹词的节目以长篇为主，传统的代表性节目有《三笑》、《倭袍传》、《描金凤》、《白蛇传》、《玉蜻蜓》、《珍珠塔》等几十部。早期的著名艺人有清代的王周士、陈遇乾、毛菖佩、俞秀山、陆瑞廷、姚豫章、马如飞、赵湘舟和王石泉等。清末民初出现了大批女演员。20世纪30年代以来，随着广播电台的兴起，苏州弹词进入鼎盛期，节目丰富，流派纷呈，以演唱的音乐风格区分，就有“沈（俭安）调”、“薛(筱卿)调”、“魏（钰卿）调”、“夏（荷生）调”、“周（玉泉）调”、“徐(云志)调”、“蒋(月泉)调”等十多种。
中华人民共和国成立后，苏州弹词艺术经过艺人们自觉的整旧创新，艺术上有了很大的飞跃。新节目不断涌现，长篇有《白毛女》、《新儿女英雄传》、《李闯王》、《青春之歌》、《苦菜花》、《红岩》、《野火春风斗古城》、《红色的种子》、《江南红》、《夺印》、《李双双》等，中篇和常独立演出的“选回”有《老地保》、《厅堂夺子》、《玄都求雨》、《花厅评理》、《怒碰粮船》、《庵堂认母》和《一定要把淮河修好》、《海上英雄》、《芦苇青青》、《新琵琶行》、《白衣血冤》、《大脚皇后》等。
然20世纪末期以来，苏州弹词听众锐减，书场萎缩，艺人大量流失，生存发展面临危机，亟待抢救和扶持。","[{'name': '金声伯', 'gender': '男', 'birth_date': '1930.12.28', 'ethnicity': ''}, {'name': '张国良', 'gender': '男', 'birth_date': '1929', 'ethnicity': ''}, {'name': '杨乃珍', 'gender': '女', 'birth_date': '1937.11', 'ethnicity': ''}, {'name': '邢晏春', 'gender': '男', 'birth_date': '1944.05', 'ethnicity': ''}, {'name': '王月香', 'gender': '女', 'birth_date': '1932.09', 'ethnicity': ''}, {'name': '金丽生', 'gender': '男', 'birth_date': '1944.03', 'ethnicity': '回族'}, {'name': '邢晏芝', 'gender': '女', 'birth_date': '1948.10', 'ethnicity': '汉族'}]",[]
苏州评弹（苏州评话、苏州弹词）,曲艺,上海市书场工作者协会,https://www.ihchina.cn/project_details/13582.html,"苏州评弹是苏州评话和苏州弹词的合称。评话俗称“大书”，弹词俗称“小书”，清代乾隆、嘉庆年间兴盛于苏州地区。19世纪中叶，苏州评弹传入上海。随着上海经济和人口的快速增长，说书市场不断扩大，表演水平不断提高，涌现出一大批轰动当时、影响后世的著名演员和流派。20世纪20年代前后，评弹活动中心已经从苏州转移到上海。
苏州评弹在上海仍以苏州话演出，音乐优美，唱腔既能叙事又能抒情，带有浓厚的江南水乡韵味。其演出常常采用说、唱、弹、噱、演等艺术手段，书词中的散文部分以“说”来表现，这称之为“表”和“白”，即以说书人的口吻叙述和描写故事中人物的言行及其活动的环境；七字句为主的韵文则以“唱”来表现，且弹三弦或琵琶伴奏。评弹表演中一人演出称为“单档”，以三弦自弹自唱；两人演出称为“双档”，在场上分为上下手，各以三弦和琵琶自弹自唱，并相互伴奏。为增加趣味性，演出时在故事表白中穿插进戏剧因素，称之为“噱”。演员模仿故事中人物的言行表情，称之为“沿”，也称“做”、“学”。弹词艺人在长期演出过程中除发展了弹词演唱的“书调”外，还吸收《山歌调》、《乱鸡啼》、《费伽调》等牌子曲，丰富了唱腔音乐。评话表演以“说、噱、演”为主，长篇传统书目数量众多，约有五十余部，包括《三国》、《隋唐》等历史演义类，《施公案》、《七侠五义》等公案侠义类及《封神榜》、《济公传》等神话怪异类作品。弹词则以传奇故事类作品为多，其中蕴涵了中华民族丰富的文化心理，折射着人民群众的传统道德观念及生活理想，反映出江南地域的人文特征及价值观念。
苏州评弹书目除具有很高的艺术价值外，在语言学、历史学、民俗学、伦理学、社会学等方面的研究中也具有重要的参考价值。目前苏州评弹在上海的传承遇到一些困难，后继乏人，需加强保护。","[{'name': '高峻', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '余红仙', 'gender': '女', 'birth_date': '1939.11.28', 'ethnicity': ''}, {'name': '陈希安', 'gender': '男', 'birth_date': '1929.01', 'ethnicity': ''}, {'name': '赵开生', 'gender': '男', 'birth_date': '1936.01.26', 'ethnicity': '汉族'}, {'name': '江文兰', 'gender': '女', 'birth_date': '1932.11', 'ethnicity': '汉族'}]",[]
苏州评弹（苏州评话、苏州弹词）,曲艺,江苏省演艺集团,https://www.ihchina.cn/project_details/13583.html,"苏州弹词产生并流行于苏州及江、浙、沪一带，用苏州方言演唱。苏州评话广泛流行于江苏南部和浙江北部吴语地区，同苏州弹词合称“评弹”。苏州评话为大书，苏州弹词为小书，总称“说书”。
苏州评话源于宋代说话伎艺，是用苏州方言讲故事的口头语言艺术。其语言由第一人称即说书人的语言和第三人称即故事中人物的语言两部分组成，而以前者为主。这就和戏剧的语言有质的区别。它是讲故事，而不是演故事。第一人称语言称表，第三人称语言称白，表和白以散文为主，只说不唱。但也有用作念诵的一小部分韵文，包括赋赞、挂口、引子和韵白等。赋赞用以描景、状物，和渲染、烘托人物的心理状态及性格特征。挂口是人物的自我介绍。引子是说书人的书情介绍或点题。韵白是韵文的表或白，或铺叙情节，或总结前段书情。
苏州评话很注重噱，有“噱乃书中之宝”的说法。人物性格和情节的矛盾展开中产生的喜剧因素，叫“肉里噱”。用作比仿、衬托、借喻和解释性的穿插，叫“外插花”。与此相类似，用只言片语来引起听众的笑声，叫“小卖”。
弹词的历史悠久，清乾隆时期已颇流行。弹词一般两人说唱，上手持三弦，下手抱琵琶，自弹自唱，内容多为儿女情长的传奇小说和民间故事。评话和弹词均以说唱细腻见长，吴侬软语娓娓动听；演出中常穿插一些笑料，妙趣横生。弹词用吴音演唱，抑扬顿挫，轻清柔缓，弦琶琮铮，十分悦耳。
苏州弹词大体可分三种演出方式，即一人的单档，两人的双档，三人的三个档。演员均自弹自唱，伴奏乐器为小三弦和琵。唱腔音乐为板式变化体，主要曲调为能演唱不同风格内容的书调，同时也吸收许多曲牌及民歌小调，如费伽调、乱鸡啼等。书调是各种流派唱腔发展的基础，它通过不同艺人演唱，形成了丰富多彩的流派唱腔。大致可分三大流派，即陈（遇乾）调、马（如飞）调、俞（秀山）调。经百余年的发展，又不断出现继承这三位名家风格，且又有创造发展自成一家的新流派，如此发展繁衍形成了苏州评弹流派唱腔千姿百态的兴旺景象。","[{'name': '汪正华', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}]",[]
苏州评弹（苏州评话、苏州弹词）,曲艺,浙江曲艺杂技总团,https://www.ihchina.cn/project_details/13584.html,"自清咸丰（1851—1861）后期至今的一百五十年间，浙江一直是苏州评弹的主要活动基地之一。20世纪60年代前期，浙江城镇的苏州评弹书场有一百多家，农村茶馆书场更是多得难以统计。一百五十年来，浙江涌现了不少苏州评话、弹词名家，为苏州评弹的发展做出了很大贡献。自1959年起，浙江先后成立了浙江曲艺团、杭州市曲艺团及嘉兴、湖州、嘉善、海宁、桐乡、海盐、德清、安吉10个苏州评弹专业团体。至1984年9月，全省共有苏州评弹演员一百四十多名。其中有汪雄飞、王柏荫、邢瑞庭、胡天如、徐天翔、张雪麟等一批著名苏州评话、弹词演员。近三十年来，浙江演员创作演出的《董小宛》、《西太后》、《沈万山》等长篇苏州弹词和《新琵琶行》、《李双双》、《蔡锷与小凤仙》等中篇苏州弹词，在苏州评弹界及广大听众中享有颇高的声誉；浙江曲艺团演员徐天翔创造的“翔调”，在苏州弹词唱腔中独树一帜，很受听众喜爱。1977年以来，苏州评弹界的多次重要会议在浙江召开。1984年10月，中华人民共和国文化部发文成立“江苏、浙江、上海评弹工作领导小组”，也充分说明了浙江是苏州评弹事业不可或缺的重要基地之一，浙江的苏州评弹队伍是苏州评弹的一支重要的方面军。浙江理应成为苏州评弹的保护基地之一。
浙江曲艺团（现属浙江曲艺杂技总团）是浙江省成立最早、实力最强的苏州评弹团体，目前更是全省唯一健全的评弹团，有中、青年演员10名（其中一级演员2名、二级演员1名），每年演出苏州弹词一千多场。该团有责任也有条件作为苏州评弹的保护、传承单位。",[],[]
扬州评话,曲艺,江苏省扬州市,https://www.ihchina.cn/project_details/13585.html,"扬州评话是以扬州方言徒口讲说表演的曲艺说书形式，流行于苏北地区和镇江、南京、上海等地。兴起于清初，不久就形成了“书词到处说《隋唐》，好汉英雄各一方”的繁荣局面，独步一时的书目有《三国》、《水浒》等10部，身怀绝技的著名说书家也有20人之多。到了乾隆年间，有的艺人根据自己的生活体验加工充实传统节目，有的则创编新书。如屡试不第后成为扬州评话艺人的叶霜林把自己的遭遇和激愤心情寄寓到《岳传》中，说演《宗留守交印》“声泪俱下”，感人至深；浦琳根据自己的生活经历编说《清风闸》，塑造了以皮五辣子为代表的一批社会底层人物形象，影响深广；艺人邹必显独创新书《飞跎传》，讽刺嘲笑的矛头直指统治阶级中的显赫人物，一定程度上反映了受压迫者的心声，丰富了扬州评话的表现内容。
扬州评话在艺术上以描写细致、结构严谨、首尾呼应、头绪纷繁而井然不乱见长，表演讲求细节丰富，人物形象鲜明，语言风趣生动。艺人在创作和表演中还十分注意渲染扬州本地的风光，具有浓郁的地方色彩。扬州评话表演上善于借鉴吸纳兄弟艺术的长处，注重口技的运用。其中《三国》和《水浒》是两部深受欢迎又自成流派的长篇节目，说演《三国》者以清咸丰、同治年间的李国辉、蓝玉春最为著名且影响深广，为后世所宗法，号为“李派”和“蓝派”；李国辉所传8个弟子时称“八骏”，其中的康国华以说演孔明角色见长而有“活孔明”之誉，由他开创的《三国》说演风格人称“康派”。说演《水浒》的名家有邓光斗，以表情动作精彩而获“跳打《水浒》”之誉。后来艺人王少堂在继承前辈《水浒》书艺的同时，发展了其中的宋江、武松、石秀、卢俊义等四个“十回书”，自成一绝，人称“王派《水浒》”。
扬州评话的传统节目分为三类，其中包括讲史演义类的《东汉》、《西汉》、《三国》、《隋唐》、《水浒》、《岳传》等，公案侠义类的《绿牡丹》、《八窍珠》、《九莲灯》、《清风闸》等和属于神话灵怪类的《封神榜》、《西游记》、《济公传》等。中华人民共和国成立后，整理出版了王少堂的长篇《水浒》，即宋江、武松、石秀、卢俊义四个“十回书”，出版了《扬州评话选》和《扬州说书选》，与此同时，还出现了根据小说编演的《烈火金钢》、《林海雪原》、《红岩》和夏耘等创作的《挺进苏北》、李真创作的《广陵禁烟记》等一些长篇和中短篇书目。这一阶段的著名演员有王筱堂、王丽堂、俞又春、李信堂和惠兆龙等。
扬州评话现在面临前所未有的困境，演出队伍萎缩，听众老化，书场陈旧，后继乏人，生存与发展受到严峻挑战，亟待有效保护。","[{'name': '姜庆玲', 'gender': '女', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '杨明坤', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '惠兆龙', 'gender': '男', 'birth_date': '1945.03', 'ethnicity': ''}]",[]
扬州评话,曲艺,江苏省演艺集团,https://www.ihchina.cn/project_details/13586.html,扬州评话又叫“维扬评话”或“评词”，由一人以折扇、手帕等为道具，用扬州方言说表的曲艺表演流传于江苏北部和南京、镇江、上海、安徽等地。形式为一人坐在桌后，以折扇、手帕等为道具，用扬州方言说演。20世纪中叶以来，也有不用道具站立说演的情形。同时运用手势、身段、步伐、眼神、表情讲究演示“虚神”，对描写人物强调寓神于情，不追求形似。以描写细致入微、结构严谨、首尾呼应、头绪纷繁而井然不乱见长，讲求剧情细节丰富，人物形象个性鲜明，语言表述生动有趣。,"[{'name': '李信堂', 'gender': '男', 'birth_date': '1934.06', 'ethnicity': '汉族'}, {'name': '王丽堂', 'gender': '女', 'birth_date': '1940.05', 'ethnicity': '汉族'}]",[]
福州评话,曲艺,福建省福州市,https://www.ihchina.cn/project_details/13587.html,"福州评话是以福州方音讲述并有徒歌体唱调穿插吟唱的独特说书形式,流行于福建省的福州、闽侯、永泰、长乐、连江、福清、闽清等十几个县市及台湾省和东南亚的福州籍华侨集居地。
福州评话约形成于明末清初，相传是柳敬亭的大弟子居辅臣到福州双门楼授徒传艺而流传下来的。由存世的清代雍正、乾隆年间福州评话刻本《七星白纸马》等来看，当时福州评话已很盛行。
福州评话的唱调分为序头、吟唱和诉牌三类。序头用以演述正书之前的短篇书赞，类似古代说书的“入话”；吟唱是基本唱腔，可用于表唱，也可表现人物的内心独白和人物之间的对话，曲调包括【高山流水】、【浪淘沙】、【连珠】、【滴滴金】、【泪句】等；诉牌的音乐性较强，在人物表白身世和倾诉冤情时使用，唱时以筷子敲铜铙钹来间奏。另外，也还有一些结合故事情节采用的民谣曲调，如【贺年歌】、【真乌仔】、【三十六叫】、【五字叠】等。
福州评话的节目繁多，按题材通常分为长解书、短解书、半长短书、公案书和家庭书5种。长解书都是历史故事,有《三国》、《隋唐》、《精忠岳传》等；短解书是武侠故事，有《七侠五义》、《彭公案》、《施公案》等；半长短书有《水浒》等；公案书专讲清官为民请命和平冤决狱的故事，为福州评话独有且富于地方色彩，《王公十八判》、《珍珠被》、《长泰十八命》等为其中代表性的作品；家庭书多反映家庭伦理与悲欢离合的故事，如《甘国宝》、《双玉蝉》、《玉蝙蝠》等。中华人民共和国成立后福州评话编演了《九命沉冤》、《流水欢歌》、《小城春秋》、《保卫延安》等新节目，形成一定影响。
福州评话从伴奏乐器的形制、吟诵表演的方式、独特的曲本体裁和传统的话本题材等方面看，都具有十分重大的历史和文化价值，被称为古老曲艺的“活化石”。但是，福州评话的当代生存与发展面临着巨大的困难，需要大力扶持和保护。","[{'name': '叶兆辰', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '毛钦铭', 'gender': '男', 'birth_date': '1931.09', 'ethnicity': '汉族'}, {'name': '陈如燕', 'gender': '女', 'birth_date': '1948.12.23', 'ethnicity': '汉族'}]",[]
山东大鼓,曲艺,山东省,https://www.ihchina.cn/project_details/13588.html,"山东大鼓是我国北方现存最早的曲艺鼓书暨鼓曲形式，相传形成于明代末期，已有三百五十多年的历史。它发源于鲁西北农村，又名“犁铧大鼓”，或作“梨花大鼓”。最初只是敲击犁铧碎片伴奏，采用山东方言来演唱当地的民歌小调，后逐渐发展为有板式变化的成套唱腔、敲击矮脚鼓和特制的半月形梨花片并有三弦伴奏的说唱表演形式。
清末以前，山东大鼓一直活跃于农村，著名艺人有郭老占、何老凤、范其凤、李老凤等，以后白妞（王小玉）、黑妞进入城市演唱，女艺人大量增加。享盛名的有上半截、下半截、盖山东、白菜心、郭大妮等。20世纪30年代以后享名曲坛的是所谓的“四大玉”，即谢大玉、李大玉、赵大玉、孙大玉。之后，杜大桂、姬素英、鹿巧玲相继而起，山东大鼓流传地区由山东城乡扩展到徐州、南京、上海、郑州、洛阳、汉口、重庆，北至北京、天津和东北各地，盛极一时。
山东大鼓传统节目繁多，已知有中篇《三全镇》、《金锁镇》、《大破孟州》、《大送嫁》、《范孟亭推车》等数十部；短篇段儿书尤为丰富，以《三国》题材的唱段最多，有《东岭关》、《长坂坡》、《河北寻兄》等六十余段；其次是《红楼梦》题材的唱段，有《黛玉葬花》、《宝玉探病》等十余段；《水浒》唱段有《李逵夺鱼》、《燕青打擂》等。另外还有一些根据戏曲故事、民间传说故事编写的唱段，以及由子弟书移植过来的唱段等，共计二百余段。中华人民共和国成立后，还编演了不少新节目。
山东大鼓历史悠久，音乐唱腔独特，节目蕴藏丰富，地方色彩浓郁，它直接促发了山东快书的形成，并对“乔派”河南坠子和西河大鼓等的形成与发展产生过重大影响，具有很高的历史文化价值。20世纪后期以来，山东大鼓逐渐趋于衰落，现在仅有少数演员还能演出，亟待扶持保护。","[{'name': '左玉华', 'gender': '女', 'birth_date': '1947.07.11', 'ethnicity': '回族'}]",[]
山东大鼓（梨花大鼓）,曲艺,河北省鸡泽县,https://www.ihchina.cn/project_details/13589.html,"山东大鼓是我国北方现存最早的曲艺鼓书暨鼓曲形式，相传形成于明代末年，至今已有三四百年的历史。由于使用半月形犁铧片伴奏，又被称为“犁铧大鼓”等。它最初发源于鲁西北农村，后来流传到北京、天津、河北、东北乃至南方的上海、南京、重庆等地。
流传在河北省南部的山东大鼓称“梨花大鼓”，主要流布于邯郸的鸡泽县、邢台的威县等地。演出时多为单人站唱，也有二人对唱的形式。演员右手执鼓槌击鼓，左手操钢板敲击演唱，乐师以三弦为之伴奏。梨花大鼓的演唱风格朴实，声情并茂，曲调高昂，说唱道白兼备，叙事抒情融为一体。其唱腔属板腔体，主要包括慢板（头板）、二板（流水板）、快板等板式，丰富多变，素有“腔多字少七十二哼哼”之说；句式则分为十字韵、七字韵等。山东大鼓唱腔以板腔体的梨花腔为主，板式主要包括慢板、二性板、快板、散板、匀板等，月牙板（也叫“梨花片”）、三弦、铜板、京鼓是其主要伴奏乐器，20世纪70年代后又加入四胡、二胡、扬琴等以加强表现力，大大增进了演奏效果。
山东大鼓一人多角，形式简单，一桌一凳即可演唱，多出现在庙会、堂会、集市等场合，深受广大群众欢迎。主要传统书目有《杨金花夺印》、《刘大哥劝老婆》、《丝绒记》等。冀南的三个主要流派各具特色，其中“老北口”派唱腔粗犷豪放，速度慢，尾音长，板起板落，咬字狠，吐字真，落音重，字密声促，擅用顿音，俗称“老牛大摔缰”；“小北口”派较为巧俏，委婉细腻，擅演“文书”，唱中夹叙；“南口”派婉转悠扬，字少腔繁，节奏舒缓，娓娓道来，且在演唱中加入了一些曲牌体唱腔，分快慢两种，更显得丰富多变。
山东大鼓历史悠久，唱腔独特，书目丰富，地方色彩浓郁，具有很高的历史文化价值。目前，一些传承大鼓表演技艺的老艺人相继离世，许多珍贵资料没能及时保留下来，急需采取措施，积极开展抢救保护工作。",[],[]
山东大鼓（梨花大鼓）,曲艺,河北省威县,https://www.ihchina.cn/project_details/13590.html,"山东大鼓是我国北方现存最早的曲艺鼓书暨鼓曲形式，相传形成于明代末年，至今已有三四百年的历史。由于使用半月形犁铧片伴奏，又被称为“犁铧大鼓”等。它最初发源于鲁西北农村，后来流传到北京、天津、河北、东北乃至南方的上海、南京、重庆等地。
流传在河北省南部的山东大鼓称“梨花大鼓”，主要流布于邯郸的鸡泽县、邢台的威县等地。演出时多为单人站唱，也有二人对唱的形式。演员右手执鼓槌击鼓，左手操钢板敲击演唱，乐师以三弦为之伴奏。梨花大鼓的演唱风格朴实，声情并茂，曲调高昂，说唱道白兼备，叙事抒情融为一体。其唱腔属板腔体，主要包括慢板（头板）、二板（流水板）、快板等板式，丰富多变，素有“腔多字少七十二哼哼”之说；句式则分为十字韵、七字韵等。山东大鼓唱腔以板腔体的梨花腔为主，板式主要包括慢板、二性板、快板、散板、匀板等，月牙板（也叫“梨花片”）、三弦、铜板、京鼓是其主要伴奏乐器，20世纪70年代后又加入四胡、二胡、扬琴等以加强表现力，大大增进了演奏效果。
山东大鼓一人多角，形式简单，一桌一凳即可演唱，多出现在庙会、堂会、集市等场合，深受广大群众欢迎。主要传统书目有《杨金花夺印》、《刘大哥劝老婆》、《丝绒记》等。冀南的三个主要流派各具特色，其中“老北口”派唱腔粗犷豪放，速度慢，尾音长，板起板落，咬字狠，吐字真，落音重，字密声促，擅用顿音，俗称“老牛大摔缰”；“小北口”派较为巧俏，委婉细腻，擅演“文书”，唱中夹叙；“南口”派婉转悠扬，字少腔繁，节奏舒缓，娓娓道来，且在演唱中加入了一些曲牌体唱腔，分快慢两种，更显得丰富多变。
山东大鼓历史悠久，唱腔独特，书目丰富，地方色彩浓郁，具有很高的历史文化价值。目前，一些传承大鼓表演技艺的老艺人相继离世，许多珍贵资料没能及时保留下来，急需采取措施，积极开展抢救保护工作。",[],[]
