项目名称,项目类别,申报地区或单位,详情链接,官网描述,传承人信息,相关文章
春节,民俗,文化部,https://www.ihchina.cn/project_details/14904.html,"春节是中国民间传统节日,新年指夏历(农历)正月初一，是一年中最隆重的节日。汉、壮、布依、侗、朝鲜、仡佬、瑶、畲、京、达斡尔等民族都过这个节日。
春节历史悠久，起源于殷商时期年头岁尾的祭神活动。有关传说很多，其中以“年”兽传说、熬年传说和万年创建历法说等最具代表性。自汉武帝改用农历以后，中国历代都以二十四节气中的立春日为春节，农历正月初一为新年。立春最早是祭天、祭农神和祭春神、鞭春牛、祈丰年的日子。《史记》、《汉书》称正月初一为“四始”（岁之始、时之始、日之始、月之始）和“三朝”（岁之朝、月之朝、日之朝，朝亦始也）。古人常在此时举行朝贺，进行各种娱乐活动，迎神祭祖，占卜气候，祈求丰收，后来逐渐形成内容丰富的新春佳节。
辛亥革命之后，改农历正月初一为春节，立春逐渐淡化。
春节又叫阴历(农历)年，俗称“过年”，相关民俗活动要持续一个月。正月初一前有祭灶、祭祖等仪式；节中有给儿童压岁钱、向亲友拜年等习俗；节后半月又是元宵节，其时花灯满城，游人满街。元宵节过后，春节才算结束。
春节是一种综合性的民俗文化，其中包括崇尚、仪式、节日装饰、饮食和相关的娱乐活动。春节期间的主要活动有：腊月初八喝腊八粥；二十三日祭灶，吃关东糖和糖粥等；除夕夜以家庭为单位包饺子、包汤圆、做年糕，吃团圆饭守岁，另外还贴春联、年画、剪纸和放爆竹；正月初一迎神、拜年；初五开小市；十五日元宵节开大市、迎财神、吃元宵、游灯会、猜灯谜等。燃放鞭炮是春节期间辞旧迎新的一项民俗活动。
春节是体现和谐亲情与和睦人际关系的重要平台。其内容丰富多彩，具有重要的历史、艺术和文化价值。过好春节是提升亲情关系、增强社会凝聚力、构建和谐社会的重要途径之一，对文化产业的发展也有积极的促进作用。
我国城乡地区因所处环境不同，过春节的方式也有所差异。目前广大农村仍按照传统方式过春节，但崇尚和仪式的内容淡化，而送礼品、请客吃饭之风日盛；城市过春节的形式与农村地区相比，显得更为简单。",[],[]
春节（怀仁旺火习俗）,民俗,山西省怀仁县,https://www.ihchina.cn/project_details/14905.html,"怀仁旺火，俗称“拢火龙”，又称“大旺火”，是春节、元宵节期间流行于山西省怀仁县的一种社火民俗活动。怀仁地区煤炭资源丰富，清代已形成燃煤旺火祈福迎春民俗，清乾隆《大同府志》记载：“元旦，垒炽炭于门，状若小浮图，名曰‘旺火’。”
其主要形式是用大块煤炭垒成一个塔状，名曰旺火，以图吉利，祝贺全年兴旺之意。里面放柴，外面贴上大红字条，上写“旺气冲天”等字。旺火形成时，火苗从无数小孔中喷出，状若浮图，景象壮观。旺火规模宏大，造型讲究，由掌握高超技艺的师傅完成。方圆百里的人潮涌来观看，人们围着最大的旺火堆转圈祈求“旺运”。
怀仁旺火是古老的傩祭与社火表演结合的遗存，具有重要的民俗学研究价值。由于经济社会的转型，一些有造诣的老艺人年事已高，后继乏人，面临传承困境，急需采取有力措施保护。",[],[]
春节（查干萨日）,民俗,吉林省前郭尔罗斯蒙古族自治县,https://www.ihchina.cn/project_details/14906.html,"蒙古语中“查干”含有白色和开始之义，“查干萨日”意为“白色的新年”。蒙古族以白色为纯洁、吉祥之色，故称这一节日为“白节”。自元朝起，蒙古族开始使用中原历算法，由此，蒙古族白月与汉族春节节期相合。
“郭尔罗斯”是蒙古族古老的部落，明嘉庆年间迁至嫩江、松花江汇合流域以后，逐渐形成了以农历春节为“查干萨日”的传统习俗，吉林省前郭尔罗斯蒙古族自治县蒙古族同胞传承至今。
查干萨日内容包括“庆小年”、“度除夕”、“迎初一”、“闹十五”、“终二月二”等与汉族春节节庆习俗类似的内容，同时，仍保留萨满“祭火”、除夕吃“手把肉”等蒙古族传统习俗，体现出蒙古族传统节日习俗特色。
查干萨日不仅有着重要的民族学、民俗学、历史学研究价值，同时对于增强民族团结、促进各民族文化交流亦有重大意义。",[],[]
春节（娘子关跑马排春节习俗）,民俗,山西省阳泉市平定县,https://www.ihchina.cn/project_details/23859.html,,[],[]
春节（行花街）,民俗,广东省广州市越秀区,https://www.ihchina.cn/project_details/23860.html,,[],[]
春节（六盘山区春官送福）,民俗,宁夏回族自治区固原市西吉县,https://www.ihchina.cn/project_details/23861.html,,[],[]
清明节,民俗,文化部,https://www.ihchina.cn/project_details/14907.html,"清明节是我国重要的传统节日之一，至今仍是中华民族包括海外华人的重要节日之一。清明节古时也称三月节，已有两千多年历史。公历4月5日前后为清明节，原为二十四节气之一。全国汉族和部分少数民族地区过此节日。
在中国农历二十四个节气中，既是节气又是节日的只有清明。由于二十四节气比较客观地反映了一年四季气温、降雨、物候等方面的变化，所以古代劳动人民据此来安排农事活动。《淮南子·天文训》云:“春分后十五日，斗指乙，则清明风至。”《岁时百问》：“万物生长此时，皆清洁而明净，故谓之清明。”清明一到，气温升高，雨量增多，正是春耕春种的大好时节,故有“清明前后，点瓜种豆”、“植树造林，莫过清明”的农谚，可见这个节气与农业生产有着十分密切的关系。
但是，清明作为节日，与纯粹的节气又有所不同，它包含着丰富的风俗活动内容。
清明节是纪念祖先的节日，主要活动仪式是祭祖、扫墓，这是人们慎终追远、敦亲睦族及行孝的具体表现。秦汉时代，墓祭已成为人们重要的礼俗活动之一。扫墓原是清明节前一天寒食节的内容。寒食节相传起于晋文公对介子推的悼念。唐玄宗开元二十年诏令天下，“寒食上墓”。后来，由于寒食与清明日子接近，这个民间禁火扫墓的日子就逐渐与清明合二为一了。寒食既成为清明的别称，也变成为清明时节的一个习俗，清明之日不动烟火，只吃凉的食品。
除了禁火、扫墓，还有踏青、放风筝、荡秋千、娱乐游戏等活动，江南还有蚕花会和祭祀蚕神等活动。因此，清明时节既有祭扫坟墓的悲酸之泪，又有踏青游玩的欢笑之声，是一个富有特色的节日。中华人民共和国成立后，各地群众多在清明节前后前往革命烈士陵园扫墓，表达对先烈的缅怀之情。
清明节的文化意义非同寻常。它可以满足人们追思先人的情感需要，强化亲情关系。通过祭祀祖先可以追根溯源，吸取历史教训，从而更好地教育后代。寻根祭祖，怀念先烈，又能团结海内外华人华侨，心向祖国，增进中华民族的凝聚力。",[],[]
清明节（溱潼会船）,民俗,江苏省姜堰市,https://www.ihchina.cn/project_details/14908.html,"溱潼会船民俗活动又称“水上清明节”，至今已有八百多年的历史。每年的清明时节，江苏省姜堰市溱潼镇及周边两百多个村庄家家户户都要祭奠自己的祖先。清明第二天，各家撑船划桨前往乱坟地祭祀无名阵亡将士，而后千余只供船、龙船、篙船、划船、拐妇船汇聚溱湖，共同参加表演、竞技活动，参与者和闻风而来的观众多达十万人。活动由多个环节组成，其程序依次为选船、试水、铺船、祭祀、赴会、赛船、水上文艺表演、送头篙、酒会、唱夜戏等。
溱潼会船起源于南宋时期，据史料记载，南宋名将岳飞及义民张荣、贾虎曾多次在溱湖大败金兵，激战之下，宋兵也是伤亡惨重，由此时起，每年清明的第二天当地百姓都要祭奠阵亡将士，天长日久，逐渐演变成会船习俗。
清明节溱潼会船是一种独具特色的水上民俗活动，集中反映了里下河地区的风俗民情，堪称动态的珍贵历史文化遗产，具有民俗学等方面的研究价值。",[],[]
清明节（介休寒食清明习俗）,民俗,山西省介休市,https://www.ihchina.cn/project_details/14909.html,"介休市清明习俗是流传于介休市及晋中广大地区的历史悠久、内涵丰富又独具特色的民间习俗。
介休地处汾河中游，其地名由春秋时期著名隐士介子推卒于此地而来。民间广为流传：介子推死于清明前一日，晋文公下令这一天禁火寒食，后演变为寒食节。自唐代起，寒食节传说、上巳祓禊与清明节习俗融为一体，形成了以祭祖扫墓为中心的介休寒食清明习俗，传承至今。
主要活动有：禁烟火、吃冷食、祭祀、扫墓、插柳、踏春、踢蹴鞠、荡秋千、放风筝、斗鸡、赏花、咏诗，发黑豆芽、采柳芽、蒸面塑、戴柳圈、扫房顶、挂红兰兰纸、唱大戏等。
该项目存续着中华民族深厚的历史文化记忆，有重大的历史学、民俗学价值。",[],[]
清明节（茅山会船）,民俗,江苏省兴化市,https://www.ihchina.cn/project_details/14910.html,,[],[]
