项目名称,项目类别,申报地区或单位,详情链接,官网描述,传承人信息,相关文章
  木版水印技艺,传统技艺,北京市荣宝斋,https://www.ihchina.cn/project_details/14404.html,"荣宝斋位于北京市宣武区琉璃厂西街十九号，其木版水印技艺堪称一绝。荣宝斋木版水印源于中国古代雕版印刷的“饾版”套印，所谓“饾版”套印，是根据画稿笔迹的粗细长短、曲直方圆、刚柔枯润，设色的深浅、浓淡、冷暖及色相的向背阴阳分版勾摹，刻成若干板块，然后对照原作，由深至浅，逐笔依次叠印，力求逼肖原作，精确无误，达到乱真的程度。木版水印这种纯手工印刷工艺有勾（分版）、刻（制版）、印（印刷）等基本工艺程序和刻、剔、掸、描等特殊技巧，它以笔、刀、刷子、耙子、国画颜料、水等材料为基础工具，以追求复原传统书画的艺术形态、笔墨、神采为目的。
我国最早的雕版印刷，有确切纪年的是隋代。荣宝斋于1896年设帖套作，延聘刻、印高手，印制了大量精美的诗笺、信笺。民国期间荣宝斋重刊《十竹斋笺谱》，使彩色套印和拱花术获得了延续和发展。中华人民共和国成立后，荣宝斋木版水印由原来只能印大不及尺的诗笺、信笺发展到能惟妙惟肖、神形兼备地印制笔墨淋漓、气势豪放的《奔马图》及唐代周的《簪花侍女图》、宋代马远的《踏歌图》等大幅艺术作品，标志着雕版印刷术已发展到了巅峰，也说明荣宝斋木版水印技术已真正成熟。
荣宝斋木版水印继承了中国传统的雕版印刷技术并将之发扬光大，其技艺过程具有观赏价值，应该加以保护和传承。现在木版水印正经历着后继乏人和市场运营成本高的考验，需要有关方面施以援手，帮助解决困难，走出低谷。","[{'name': '肖刚', 'gender': '男', 'birth_date': '1959.5', 'ethnicity': '汉族'}, {'name': '高文英', 'gender': '女', 'birth_date': '1955.10', 'ethnicity': ''}, {'name': '王丽菊', 'gender': '女', 'birth_date': '1959.05.30', 'ethnicity': '汉族'}, {'name': '崇德福', 'gender': '男', 'birth_date': '1954.11.11', 'ethnicity': '满族'}]",[]
一得阁墨汁制作技艺 ,传统技艺,北京市西城区,https://www.ihchina.cn/project_details/14749.html,,[],[]
刀剑锻制技艺（七台河刀剑锻制技艺）,传统技艺,黑龙江省七台河市,https://www.ihchina.cn/project_details/23565.html,,[],[]
万安罗盘制作技艺,传统技艺,安徽省休宁县,https://www.ihchina.cn/project_details/14356.html,"罗盘是广泛运用于天文、地理、军事、航海和居屋、墓葬选址的重要仪器，是中国古代四大发明之一指南针的沿续和发展。万安罗盘是现存的全国惟一以传统技艺手工制作的罗盘，产地在今天的安徽省休宁县万安镇万安老街。
万安罗盘制作业至迟兴起于元末，在明代得到发展，清代中叶进入鼎盛时期，清末一度衰败，民国初年重振辉煌并延续至20世纪60年代初，停顿近20年后，1982年又恢复生产。
万安罗盘继承了中国传统的罗盘制作技艺，在长期生产过程中形成了自己的特点，对技艺流程和技艺手法有严格的要求。制成一具罗盘，一般要经过6道工序，首先要精选特等木料“虎骨树”（学名重阳木），锯成罗盘毛坯，然后将毛坯车圆磨光并挖好装磁针的圆孔，随后在上面画格和书写盘面，接着熬炼桐油并往罗盘上上油。安装磁针是最后也是最关键的工序，由店主在密室内单独操作，其工作包括磁化钢针、测定磁针重心、装针等。
万安罗盘按盘式可分三合盘、三元盘和综合盘三种，按直径分约有11种规格。万安所产罗盘设计独特、选材考究、制作精良、品种齐全，被奉为罗盘正宗，享有“徽罗”、“徽盘”的美誉。1915年，万安罗盘和日晷曾在巴拿马万国博览会上展出，获得金奖。
万安罗盘承载着中国古代天文学、地理学、环境学、哲学、易学、建筑学等方面的文化信息，传承着磁性指南技术及相关技艺，为研究中国古代科技史、社会史、人居环境及古徽州的历史文化提供了宝贵资料。
但是，在现代社会中，万安罗盘的实用功能逐步退化，市场需求萎缩，老艺人先后离世，后继传人缺乏，罗盘制作技艺濒于消亡，亟待保护利用。","[{'name': '吴水森', 'gender': '男', 'birth_date': '1949.06', 'ethnicity': ''}]",[]
烟火爆竹制作技艺（万载花炮制作技艺）,传统技艺,江西省万载县,https://www.ihchina.cn/project_details/14429.html,"我国是世界上最早发明火药的国家，以火药制作的烟火爆竹也同样有着悠久的历史，在世界上享有盛誉。爆竹记载始见于南北朝时期梁朝宗懔的《荆楚岁时记》，书中描写了鸡鸣而起时，先在庭前爆竹，以避恶鬼的习俗。当时所谓的爆竹其实是燃烧竹筒，导致筒内空气发热而爆裂发声。隋唐后，改为将火药装入竹筒。宋代废弃竹筒，改为用纸包裹火药燃爆。南宋都城杭州已出现成串的小爆竹，俗称“鞭炮”。据《武林旧事》记载，这种鞭炮点燃后连响到底，“一爇连百余不绝”。明清两代，爆竹发展出繁多的花样，出现了双响震天雷、升高三级浪、二踢脚、飞天十响等著名品种。现代爆竹在类型和工艺上进一步发展完善，形成了完备的生产体系，有单响、双响、连环响、鞭炮、排炮等多个品种和卷筒、切筒、糊底、灌泥、引火药、封眼等多种工艺技术。
烟火又名“焰火”、“礼花”等，始于隋唐，盛于宋代，明清两代普遍流行。唐代已出现“火药什戏烟火”，可呈现瓜果、动物、鬼怪等各种图样。南宋时，架子烟火极为盛行。据《宛署杂记》记载，明代北京烟火品类极多，纸函者称为“花筒”，泥函者称为“沙锅”，竹筐函者称为“花盒”，可以显现出绶带鸟、葡萄架、珍珠帘、长明灯等各种图样。清代《帝京岁时纪胜》称当时京师的烟火“锦盒内装成数（出）故事，人物像生、翎毛、花草曲尽妆颜之妙”。烟火的色彩主要由火药加上不同的化学药物制成，如加钠盐呈显黄色，加钾盐呈显紫色，加锶盐呈显红色，加钡盐呈显绿色，加铜盐呈显蓝色等。
我国的烟火爆竹主要产于湖南的浏阳，江西的万载、萍乡，广东的东莞和陕西的蒲城、洋县等地，其中架子烟火在宋代即已负盛名，目前较少施放，急需保护传承，以促进其延续发展。
江西省万载县是我国传统的烟花爆竹产区，大约从18世纪中叶起，当地即已开始烟花爆竹的生产。清代道光年间，万载的烟花爆竹已“通行南北”。光绪年间，当地“男妇大小均借此以资工作”。
清末民初，万载花炮从业人员日益增多，达到数万人，爆竹庄有近千家，在全国各地从事花炮经营的著名爆竹庄有在赣州的赣庄、在浙江的浙庄、在广州的广庄等。20世纪80年代，万载烟花爆竹业的从业人员达15万，产品销往全国二十多个省、市、自治区及美国、日本等二十多个国家和地区。
万载烟花爆竹品种繁多，有全红礼炮、大小彩炮、鸡公炮、雷鸣炮等六十多种。以响声而言，就有六响、一百响等19种；以纸之长短、厚薄而言，有三裁、四裁、九裁等规格；以结鞭形式而言，有平边、立边（俗称“顿边”）之分。万载烟花爆竹生产所用的原料土纸、火药均为本地所产，土纸为表芯纸，纸质细嫩柔软，带有韧性，火药质量也属上乘。从原料加工到成品制作的整个生产过程由七十多道工序组成，均以手工操作，技术含量高，流程复杂。万载烟花爆竹产品无杂质且有香味，响率高，响声清脆悦耳，是人们节日庆典、婚丧嫁娶、祭祖拜佛时喜用的佳品。","[{'name': '张巍岱', 'gender': '男', 'birth_date': '1956.09.14', 'ethnicity': ''}]",[]
上海本帮菜肴传统烹饪技艺 ,传统技艺,上海市黄浦区,https://www.ihchina.cn/project_details/14754.html,,"[{'name': '任德峰', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '周元昌', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}]",[]
梨膏糖制作技艺（上海梨膏糖制作技艺）,传统技艺,上海市黄浦区,https://www.ihchina.cn/project_details/23590.html,,"[{'name': '吴生忠', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}]",[]
民族乐器制作技艺（上海民族乐器制作技艺）,传统技艺,上海市闵行区,https://www.ihchina.cn/project_details/14537.html,"上海的民族乐器制作技艺可追溯到清代乾隆、嘉庆年间。20世纪初，城隍庙大街（今方浜中路）、五马路（今广东路）、六马路（现北海路）一带集聚了几十家乐器作坊。1956年，上海民族乐器业全行业实行合作化，其中86家民族乐器制作坊合并成为上海民族乐器合作社。1958年7月，合作社组建为集体所有制的上海民族乐器一厂。
民族乐器制作技艺融入了历史、色彩、美学等元素，结合了造型、雕刻、彩绘、镶嵌等多种工艺手法，具有突出的文化和艺术价值。民乐一厂聘请民乐界著名人士作顾问，对产品工艺、音质等方面进行指导、鉴定，使产品等级有了实质性提高。制作技艺的精湛，也让上海的民族乐器屡获殊荣，曾多次荣获国家轻工业优质产品和上海市优质产品奖。
民族乐器制作因技术难度大，习艺周期长，工作较辛苦，面临制作人员年龄偏大，后继乏人的状况，现已采取了一些保护措施，仍需进一步努力。","[{'name': '龚耀宗', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '李素芳', 'gender': '女', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '高占春', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '徐振高', 'gender': '男', 'birth_date': '1933.11', 'ethnicity': '汉族'}]",[]
青铜器修复及复制技艺（上海青铜器修复技艺）,传统技艺,上海市,https://www.ihchina.cn/project_details/23806.html,,"[{'name': '张珮琛', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}]",[]
印泥制作技艺（上海鲁庵印泥）,传统技艺,上海市静安区,https://www.ihchina.cn/project_details/14564.html,"印泥是图章盖印所使用的一种涂料，因其中的主要原料朱砂呈鲜红色，古代又称之为“丹泥”、“印朱”等。印泥源于春秋战国时代的封泥，当时无纸，人们以简牍（用来书写的竹板）为书写材料。传递公文时，书函外覆以空白简牍，用绳系扎后外敷以泥，再于泥上加盖印章，以为封缄的标志，此泥即是封泥，又称“印泥”。纸张发明后，简牍、封泥俱废。但人们仍仿封泥之法，在公告、信札等之上加盖图章，而以印泥作为涂料。
印泥以朱砂为主要制作原料，先将艾叶捣如棉绒状，再和陈蓖麻油加朱砂等反复搅拌，这样制成的印泥色泽鲜丽夺目，久不褪色。南朝梁代（502—557）的《文心雕龙》中已出现关于印泥的记载。唐宋时期，随着书画艺术的兴盛，印泥制作技艺不断进步。至明清两代，传统书画艺术在各地普遍发展，印泥的制作亦相应有了很大提高，相关的制作技艺一直传承至今。
鲁庵印泥系20世纪初上海印泥名家张鲁庵所创，其制作技艺别具特色，在上海乃至整个江南地区独树一帜。
张鲁庵是清末民初上海的印泥大师，也是当时全国篆刻资料最丰富的收藏家之一，他收藏的印谱有《十钟山房印举》等四百余种。鲁庵印泥的创制与上海书画的发展休戚相关。著名书画家吴湖帆、贺天健、高振霄、王福厂等都专门使用这种印泥。用此印泥，即便连续盖印十方，印文也不走样。因此，当时鲁庵印泥备受江南和上海书画名家的青睐，名声大噪。
鲁庵印泥制作中需经过一个自然氧化的过程，其生产主要包括研朱、搓艾、制油三道工序。鲁庵印泥有特定的配方和制作技艺，成品质薄匀净，细腻而黏稠度高，热天不烂，寒天不硬，永不褪色，按在纸上不渗油、不跑色，色彩鲜艳沉着，呈现出一种堆积的厚实感。
目前，鲁庵印泥的传承人仅有两位，都年事已高，继续从事印泥生产有一定的困难。由于这种印泥制作成本高，市场需求有限，发展前景不容乐观。印泥是中国书画艺术创作中不可或缺的用品，是传统文化的物质载体之一，保护印泥制作技艺对于弘扬传统文化具有重要意义。处于后继无人状态的上海鲁庵印泥制作技艺迫切需要保护传承，有关方面应将之当作一个重要的任务来完成。","[{'name': '符海贤', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}, {'name': '符骥良', 'gender': '男', 'birth_date': '1926.03', 'ethnicity': ''}, {'name': '高式熊', 'gender': '男', 'birth_date': '1921.04', 'ethnicity': ''}]",[]
