项目名称,项目类别,申报地区或单位,详情链接,官网描述,传承人信息,相关文章
笑话（万荣笑话）,民间文学,山西省万荣县,https://www.ihchina.cn/project_details/12324.html,"万荣笑话是流传于山西省的民间文学形式之一，万荣人以幽默、诙谐的性格演绎着对生活的理解与热爱，创造了为人所津津乐道的万荣笑话。
自明末清初以来，万荣民间创造、传播了众多的笑话，且不断加以丰富、完善。万荣笑话最大的特点是一个“挣”字，笑话中的主人公都有一股“挣劲”，表现为爱舌辩、讲偏理或处事执拗、倔强、争强好胜。诙谐、认死理、不服输、犟到底等表现手法构成了万荣笑话的突出特点，如《七个痴虫光知道吃》、《爸，回》、《门保险没不了》、《前面不下雨》、《咱下工了》、《扔夜壶》、《财主请高才》等。万荣笑话好笑，且富有哲理，它是民众生活智慧的集中展示，不仅极大地丰富了人们的文化生活，对于研究山西地域文化心理也具有重要的资料价值。近年来，由于老艺人相继谢世，加之现代传媒的影响，万荣笑话已濒临失传和消亡，亟待保护。","[{'name': '解放', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}]",[]
三国传说,民间文学,湖北省,https://www.ihchina.cn/project_details/12388.html,,"[{'name': '熊远桂', 'gender': '男', 'birth_date': '', 'ethnicity': '汉族'}]",[]
下堡坪民间故事,民间文学,湖北省宜昌市夷陵区,https://www.ihchina.cn/project_details/12214.html,"湖北省宜昌市夷陵区下堡坪乡位于长江西陵峡北岸的崇山峻岭间，自古以来，这里富庶稳定，教育文化事业相对兴旺，但交通却十分不便。特殊的地理、经济、文化和历史条件构成了当地民俗民间文化生长和承传的特殊环境，因而民间文化积淀十分丰厚。
据调查，下堡坪乡及周边流传的民间故事有两千多个。这里能讲50个故事以上的有一百多人，其中能讲100个故事以上的有二十多人，能讲200个故事以上的有4人。现年67岁的谭家坪村农民刘德方能讲四百多个故事，且能传唱一百多万字的山歌、薅草锣鼓歌、丧鼓歌、花鼓戏和皮影戏。2005年6月8日，中国民间文艺家协会把他命名为“中国民间故事家”。
下堡坪乡民间故事原生态作品多，大都具有鲜明的本地特色，故事的文化品位较高。如在刘德方传讲的故事中，就有一百多个含有诗词对联等文学形式，高雅而精致。长工董国天的故事系列和陈瓦匠的故事系列分开讲是数百则小故事，合起来看是两部鸿篇巨制，实为民间故事中所罕见。
近几年，中国社科院、中国文联、中国民协及湖北省文联、宜昌市文联先后8次调查并开展学术研讨，认为以刘德方民间故事集《野山笑林》为代表的下堡坪乡民间故事是三峡坝区——宜昌市夷陵区以及整个三峡地区民间文学的缩影，有较高的学术价值和鉴赏价值。
但是，目前杰出的下堡坪民间故事传承人大多年事较高，年轻一代对故事的兴趣越来越小，因而下堡坪民间故事的传承正濒临消亡。","[{'name': '刘德方', 'gender': '男', 'birth_date': '1938.08', 'ethnicity': '汉族'}]",[]
东海孝妇传说,民间文学,江苏省连云港市,https://www.ihchina.cn/project_details/12377.html,,[],[]
亚鲁王,民间文学,贵州省紫云苗族布依族自治县,https://www.ihchina.cn/project_details/12366.html,"《亚鲁王》是苗族的一部英雄史诗，长约两万六千余行，涉及古代人物一万余人，四百余个古苗语地名，二十余个古战场的细腻描述，至今口头传承于麻山苗族地区的三千多名歌师中。这部史诗，常在麻山一带苗族丧葬仪式中运用，它是对亡灵返回亚鲁王国时代历史的神圣唱诵。史诗的吟唱，用的是西部苗族语言，表现形式灵活多变。有时用叙事形式朗读吟唱，有时用道白形式问答，大量出现反复重叠和比兴的表现手法，诗以散文诗为主，歌唱的曲调低沉悲凉。
公元前2033年至公元前1562年，苗族史诗《亚鲁王》就有了雏形，史诗唱述亚鲁王国十七代王创世、立国、创业及其发展的故事。还唱述在公元前221年至公元前202年，亚鲁王带领王国的苗民迁徙到贵州，先后开发定都在“商都卜”（贵阳）和“阿代卜”（安顺），最后定都麻山的历史。“史诗”描述亚鲁王国二百余个王族后裔的谱系及其迁徙征战的故事。
《亚鲁王》是在当地非物质文化遗产普查中新发现的一部苗族史诗。传承人多已年迈，继续传承和记录整理工作迫在眉睫。紫云县有关部门正组织力量进行笔录、录音、录像、整理和翻译。首先用国际音标记音，再用汉语对译，最后整理成汉语书写的文本。麻江是贵州贫困县，资金投入受限；史诗又是用西部苗语讲述，且夹杂了许多古苗语，后继人才匮乏，急需加以保护。","[{'name': '陈兴华', 'gender': '男', 'birth_date': '1945.12.15', 'ethnicity': '苗族'}]",[]
仓颉传说,民间文学,"['陕西省洛南县', '陕西省白水县']",https://www.ihchina.cn/project_details/12394.html,,[],[]
仫佬族古歌,民间文学,广西壮族自治区河池市罗城仫佬族自治县,https://www.ihchina.cn/project_details/23445.html,,[],[]
仰阿莎,民间文学,贵州省黔东南苗族侗族自治州,https://www.ihchina.cn/project_details/12294.html,"仰阿莎是流传于贵州省黔东南苗族侗族自治州及毗邻地区的苗族长篇叙事歌，长达万余行，是迄今为止发现的苗族最长的叙事歌。它的内容是关于一个热情、善良、智慧，出生在水中里的苗族姑娘的凄美爱情故事。以盘歌形式演唱，具有鲜明的民族特色，在苗族文学史上居于较高的地位，对苗族的歌谣特别是叙事歌的发展有重大的促进作用。
仰阿莎不同的口头版本有不同的唱法，各版本的演唱曲调与演唱习俗直接相关，这大大丰富了苗族音乐的内容和形式，仰阿莎也因此被称为苗族“最美的歌”，在民族学、民俗学、历史学等方面具有重要的研究价值。现在仰阿莎流传面越来越小，能演唱完整仰阿莎的绝大多数是老年人，对仰阿莎的抢救保护工作迫在眉睫。","[{'name': '龙再成', 'gender': '男', 'birth_date': '', 'ethnicity': '苗族'}]",[]
伍家沟民间故事,民间文学,湖北省丹江口市,https://www.ihchina.cn/project_details/12213.html,"伍家沟村系湖北省丹江口市西部六里坪镇的一个行政村落，毗邻丹江库区，素有“九沟十八洼，一百单八岔，岔岔有人家”之说。伍家沟故事种类齐全，内容丰富，分神话、传说、故事、寓言、童话和笑话等六大类别，已经出版《伍家沟村民间故事集》一、二集，共76万字。20世纪80年代，在伍家沟村已发现民间故事一千多个，民歌千余首，该村因此被相关机构命名为“民间故事村”。
伍家沟民间故事传承状况与河北耿村齐名，民间文艺界有“北有耿村，南有伍家沟村”的赞誉。伍家沟地处武当山的褶皱里，较为封闭，故而原生态的作品较多，如武当山的传说、陈世美的传说和有关本乡本土的传说等，都是当地所独有的“土产”。这些传说源远流长，如《人狗成亲》这类神话首次在伍家沟故事中发现，从中可见原始社会荒火为害和以狗为图腾的状况；《挖断岗》则传达出了关于生殖崇拜的信息；李自成到过武当山地区的传说为外界闻所未闻；《秦朝的书生今日死》虽是当代作品，但它浓郁的传统色彩是了解该地区故事发展的一道道鲜明“年轮”。伍家沟民间故事生态鲜活，有的老人至今仍把幻想故事如《林家庄遇鬼》、《狐狸精偷鸡》、《吃过鸡蛋捏碎壳》等当成实有其事，讲者生动传神，听者兴趣盎然。这就使得这些故事文化表现形式的传承有了一定的群众性。
虽然伍家沟的故事文化空间受到社会的广泛关注，一些学者的相关研究成果亦已发表，但随着人们生活方式的改变，文化生活出现多样性选择，伍家沟民间故事生存的社会环境受到了强烈冲击。如何保持这一优秀民族文化空间的有序发展是传承人和社会各界必须思考的问题。","[{'name': '罗成贵', 'gender': '男', 'birth_date': '1942.07.03', 'ethnicity': '汉族'}]",[]
伯牙子期传说,民间文学,湖北省武汉市,https://www.ihchina.cn/project_details/12389.html,,[],[]
