项目名称,项目类别,申报地区或单位,详情链接
吴桥杂技,传统体育、游艺与杂技,河北省吴桥县,https://www.ihchina.cn/project_details/13774.html
聊城杂技,传统体育、游艺与杂技,山东省聊城市,https://www.ihchina.cn/project_details/13775.html
天桥中幡,传统体育、游艺与杂技,北京市,https://www.ihchina.cn/project_details/13776.html
中幡（安头屯中幡）,传统体育、游艺与杂技,河北省香河县,https://www.ihchina.cn/project_details/13778.html
中幡（正定高照）,传统体育、游艺与杂技,河北省正定县,https://www.ihchina.cn/project_details/13777.html
中幡（建瓯挑幡）,传统体育、游艺与杂技,福建省建瓯市,https://www.ihchina.cn/project_details/13779.html
抖空竹,传统体育、游艺与杂技,北京市宣武区,https://www.ihchina.cn/project_details/13780.html
维吾尔族达瓦孜,传统体育、游艺与杂技,新疆维吾尔自治区,https://www.ihchina.cn/project_details/13781.html
宁德霍童线狮,传统体育、游艺与杂技,福建省宁德市,https://www.ihchina.cn/project_details/13782.html
线狮（九狮图）,传统体育、游艺与杂技,浙江省永康市,https://www.ihchina.cn/project_details/13783.html
线狮（九狮图）,传统体育、游艺与杂技,浙江省仙居县,https://www.ihchina.cn/project_details/13784.html
线狮（草塔抖狮子）,传统体育、游艺与杂技,浙江省诸暨市,https://www.ihchina.cn/project_details/13785.html
少林功夫,传统体育、游艺与杂技,河南省登封市,https://www.ihchina.cn/project_details/13786.html
武当武术,传统体育、游艺与杂技,湖北省十堰市,https://www.ihchina.cn/project_details/13787.html
回族重刀武术,传统体育、游艺与杂技,天津市,https://www.ihchina.cn/project_details/13788.html
沧州武术,传统体育、游艺与杂技,河北省沧州市,https://www.ihchina.cn/project_details/13789.html
沧州武术（劈挂拳）,传统体育、游艺与杂技,河北省沧州市,https://www.ihchina.cn/project_details/13790.html
沧州武术（燕青拳）,传统体育、游艺与杂技,河北省沧州市,https://www.ihchina.cn/project_details/13791.html
沧州武术（孟村八极拳）,传统体育、游艺与杂技,河北省沧州市,https://www.ihchina.cn/project_details/13792.html
沧州武术（六合拳）,传统体育、游艺与杂技,河北省泊头市,https://www.ihchina.cn/project_details/13793.html
太极拳（杨氏太极拳）,传统体育、游艺与杂技,河北省永年县,https://www.ihchina.cn/project_details/13794.html
太极拳（陈氏太极拳）,传统体育、游艺与杂技,河南省焦作市,https://www.ihchina.cn/project_details/13795.html
太极拳（武氏太极拳）,传统体育、游艺与杂技,河北省永年县,https://www.ihchina.cn/project_details/13796.html
太极拳（吴氏太极拳）,传统体育、游艺与杂技,北京市大兴区,https://www.ihchina.cn/project_details/13797.html
太极拳（李氏太极拳）,传统体育、游艺与杂技,天津市武清区,https://www.ihchina.cn/project_details/13798.html
太极拳（王其和太极拳）,传统体育、游艺与杂技,河北省任县,https://www.ihchina.cn/project_details/13799.html
太极拳（和氏太极拳）,传统体育、游艺与杂技,河南省温县,https://www.ihchina.cn/project_details/13800.html
太极拳（孙氏太极拳）,传统体育、游艺与杂技,北京市西城区,https://www.ihchina.cn/project_details/23690.html
太极拳（孙氏太极拳）,传统体育、游艺与杂技,河北省保定市,https://www.ihchina.cn/project_details/23691.html
太极拳（吴氏太极拳）,传统体育、游艺与杂技,上海市,https://www.ihchina.cn/project_details/23692.html
邢台梅花拳,传统体育、游艺与杂技,河北省邢台市,https://www.ihchina.cn/project_details/13801.html
梅花拳,传统体育、游艺与杂技,河北省威县,https://www.ihchina.cn/project_details/13803.html
梅花拳（梁山梅花拳）,传统体育、游艺与杂技,山东省济宁市梁山县,https://www.ihchina.cn/project_details/23693.html
沙河藤牌阵,传统体育、游艺与杂技,河北省沙河市,https://www.ihchina.cn/project_details/13804.html
朝鲜族跳板、秋千,传统体育、游艺与杂技,吉林省延边朝鲜族自治州,https://www.ihchina.cn/project_details/13805.html
达斡尔族传统曲棍球竞技,传统体育、游艺与杂技,内蒙古自治区莫力达瓦达斡尔族自治旗,https://www.ihchina.cn/project_details/13806.html
蒙古族搏克,传统体育、游艺与杂技,内蒙古自治区,https://www.ihchina.cn/project_details/13807.html
蒙古族搏克,传统体育、游艺与杂技,内蒙古自治区东乌珠穆沁旗,https://www.ihchina.cn/project_details/13808.html
蒙古族搏克,传统体育、游艺与杂技,新疆维吾尔自治区乌苏市,https://www.ihchina.cn/project_details/13809.html
蹴鞠,传统体育、游艺与杂技,山东省淄博市,https://www.ihchina.cn/project_details/13810.html
围棋,传统体育、游艺与杂技,中国棋院,https://www.ihchina.cn/project_details/13811.html
围棋,传统体育、游艺与杂技,北京棋院,https://www.ihchina.cn/project_details/13812.html
象棋,传统体育、游艺与杂技,中国棋院,https://www.ihchina.cn/project_details/13813.html
象棋,传统体育、游艺与杂技,北京棋院,https://www.ihchina.cn/project_details/13814.html
蒙古族象棋,传统体育、游艺与杂技,内蒙古自治区阿拉善盟,https://www.ihchina.cn/project_details/13815.html
天桥摔跤,传统体育、游艺与杂技,北京市宣武区,https://www.ihchina.cn/project_details/13816.html
摔跤（朝鲜族摔跤）,传统体育、游艺与杂技,吉林省延吉市,https://www.ihchina.cn/project_details/13817.html
摔跤（彝族摔跤）,传统体育、游艺与杂技,云南省石林彝族自治县,https://www.ihchina.cn/project_details/13818.html
摔跤（维吾尔族且力西）,传统体育、游艺与杂技,新疆维吾尔自治区岳普湖县,https://www.ihchina.cn/project_details/13819.html
摔跤（沈阳北市摔跤）,传统体育、游艺与杂技,辽宁省沈阳市,https://www.ihchina.cn/project_details/23694.html
沙力搏尔式摔跤,传统体育、游艺与杂技,内蒙古自治区阿拉善左旗,https://www.ihchina.cn/project_details/13820.html
峨眉武术,传统体育、游艺与杂技,四川省峨眉山市,https://www.ihchina.cn/project_details/13821.html
红拳,传统体育、游艺与杂技,陕西省,https://www.ihchina.cn/project_details/13822.html
八卦掌,传统体育、游艺与杂技,河北省廊坊市,https://www.ihchina.cn/project_details/13823.html
八卦掌,传统体育、游艺与杂技,北京市西城区,https://www.ihchina.cn/project_details/13824.html
八卦掌,传统体育、游艺与杂技,河北省固安县,https://www.ihchina.cn/project_details/13825.html
形意拳,传统体育、游艺与杂技,河北省深州市,https://www.ihchina.cn/project_details/13826.html
形意拳,传统体育、游艺与杂技,山西省太谷县,https://www.ihchina.cn/project_details/13827.html
鹰爪翻子拳,传统体育、游艺与杂技,河北省雄县,https://www.ihchina.cn/project_details/13828.html
八极拳（月山八极拳）,传统体育、游艺与杂技,河南省博爱县,https://www.ihchina.cn/project_details/13829.html
八极拳,传统体育、游艺与杂技,北京市朝阳区,https://www.ihchina.cn/project_details/23695.html
心意拳,传统体育、游艺与杂技,山西省晋中市,https://www.ihchina.cn/project_details/13830.html
心意拳,传统体育、游艺与杂技,山西省祁县,https://www.ihchina.cn/project_details/13831.html
心意拳（卢氏心意拳）,传统体育、游艺与杂技,上海市普陀区,https://www.ihchina.cn/project_details/23696.html
心意六合拳,传统体育、游艺与杂技,河南省漯河市,https://www.ihchina.cn/project_details/13832.html
心意六合拳,传统体育、游艺与杂技,河南省周口市,https://www.ihchina.cn/project_details/13833.html
五祖拳,传统体育、游艺与杂技,福建省泉州市,https://www.ihchina.cn/project_details/13834.html
查拳,传统体育、游艺与杂技,山东省冠县,https://www.ihchina.cn/project_details/13835.html
螳螂拳,传统体育、游艺与杂技,山东省莱阳市,https://www.ihchina.cn/project_details/13836.html
螳螂拳,传统体育、游艺与杂技,山东省栖霞市,https://www.ihchina.cn/project_details/13838.html
螳螂拳,传统体育、游艺与杂技,山东省青岛市崂山区,https://www.ihchina.cn/project_details/13837.html
螳螂拳,传统体育、游艺与杂技,山东省青岛市市南区,https://www.ihchina.cn/project_details/13839.html
苌家拳,传统体育、游艺与杂技,河南省荥阳市,https://www.ihchina.cn/project_details/13840.html
岳家拳,传统体育、游艺与杂技,湖北省武穴市,https://www.ihchina.cn/project_details/13841.html
岳家拳,传统体育、游艺与杂技,湖北省黄梅县,https://www.ihchina.cn/project_details/13842.html
蔡李佛拳,传统体育、游艺与杂技,广东省江门市新会区,https://www.ihchina.cn/project_details/13843.html
