项目名称,项目类别,申报地区或单位,详情链接
中医生命与疾病认知方法,传统医药,中国中医科学院,https://www.ihchina.cn/project_details/14767.html
中医诊法,传统医药,中国中医科学院,https://www.ihchina.cn/project_details/14768.html
中医诊法（葛氏捏筋拍打疗法）,传统医药,北京市海淀区,https://www.ihchina.cn/project_details/14770.html
中医诊法（王氏脊椎疗法）,传统医药,北京市西城区,https://www.ihchina.cn/project_details/14769.html
中医诊法（道虎壁王氏中医妇科）,传统医药,山西省平遥县,https://www.ihchina.cn/project_details/14771.html
中医诊法（朱氏推拿疗法）,传统医药,上海市,https://www.ihchina.cn/project_details/14772.html
中医诊法（张一帖内科疗法）,传统医药,安徽省黄山市,https://www.ihchina.cn/project_details/14773.html
中医诊疗法（清华池传统修脚术）,传统医药,北京市西城区,https://www.ihchina.cn/project_details/14774.html
中医诊疗法（中医络病诊疗方法）,传统医药,河北省石家庄市,https://www.ihchina.cn/project_details/14775.html
中医诊疗法（脏腑推拿疗法）,传统医药,河北省保定市,https://www.ihchina.cn/project_details/14776.html
中医诊疗法（顾氏外科疗法）,传统医药,上海市,https://www.ihchina.cn/project_details/14777.html
中医诊疗法（古本易筋经十二势导引法）,传统医药,上海市,https://www.ihchina.cn/project_details/14778.html
中医诊疗法（丁氏痔科医术）,传统医药,江苏省南京市秦淮区,https://www.ihchina.cn/project_details/14779.html
中医诊疗法（扬州传统修脚术）,传统医药,江苏省扬州市,https://www.ihchina.cn/project_details/14780.html
中医诊疗法（董氏儿科医术）,传统医药,浙江省宁波市海曙区,https://www.ihchina.cn/project_details/14781.html
中医诊疗法（西园喉科医术）,传统医药,安徽省歙县,https://www.ihchina.cn/project_details/14782.html
中医诊疗法（买氏中医外治法）,传统医药,河南省周口市川汇区,https://www.ihchina.cn/project_details/14783.html
中医诊疗法（毛氏济世堂脱骨疽疗法）,传统医药,河南省新蔡县,https://www.ihchina.cn/project_details/14784.html
中医诊疗法（镇氏风湿病马钱子疗法）,传统医药,湖北省咸宁市咸安区,https://www.ihchina.cn/project_details/14785.html
中医诊疗法（一指禅推拿）,传统医药,广东省珠海市,https://www.ihchina.cn/project_details/14787.html
中医诊疗法（贾氏点穴疗法）,传统医药,广东省深圳市,https://www.ihchina.cn/project_details/14786.html
中医诊疗法（孔伯华中医世家医术）,传统医药,北京市朝阳区,https://www.ihchina.cn/project_details/23814.html
中医诊疗法（津沽脏腑推拿）,传统医药,天津市南开区,https://www.ihchina.cn/project_details/23815.html
中医诊疗法（摸骨正脊术）,传统医药,山西省晋中市灵石县,https://www.ihchina.cn/project_details/23816.html
中医诊疗法（丁氏推拿疗法）,传统医药,上海市,https://www.ihchina.cn/project_details/23817.html
中医诊疗法（朱氏妇科疗法）,传统医药,上海市,https://www.ihchina.cn/project_details/23818.html
中医诊疗法（绍派伤寒）,传统医药,浙江省绍兴市,https://www.ihchina.cn/project_details/23819.html
中医诊疗法（祁门蛇伤疗法）,传统医药,安徽省黄山市祁门县,https://www.ihchina.cn/project_details/23820.html
中医诊疗法（南少林理筋整脊疗法）,传统医药,福建省,https://www.ihchina.cn/project_details/23821.html
中医诊疗法（张氏经络收放疗法）,传统医药,河南省新乡市红旗区,https://www.ihchina.cn/project_details/23822.html
中医诊疗法（宋氏中医外科疗法）,传统医药,河南省平顶山市汝州市,https://www.ihchina.cn/project_details/23823.html
中医诊疗法（陈氏蜂疗法）,传统医药,湖南省郴州市,https://www.ihchina.cn/project_details/23824.html
中医诊疗法（李仲愚杵针疗法）,传统医药,四川省,https://www.ihchina.cn/project_details/23825.html
中医诊疗法（海西民间青盐药用技艺）,传统医药,青海省海西蒙古族藏族自治州,https://www.ihchina.cn/project_details/23826.html
中医诊疗法（应氏奇穴疗法）,传统医药,中国民族医药学会,https://www.ihchina.cn/project_details/23827.html
中药炮制技术,传统医药,中国中医科学院,https://www.ihchina.cn/project_details/14788.html
中药炮制技术,传统医药,中国中药协会,https://www.ihchina.cn/project_details/14789.html
中药炮制技术（四大怀药种植与炮制）,传统医药,河南省焦作市,https://www.ihchina.cn/project_details/14790.html
中药炮制技术（中药炮制技艺）,传统医药,四川省成都市,https://www.ihchina.cn/project_details/14791.html
中药炮制技艺（人参炮制技艺）,传统医药,吉林省通化市,https://www.ihchina.cn/project_details/14792.html
中药炮制技艺（人参炮制技艺）,传统医药,吉林省通化市,https://www.ihchina.cn/project_details/14793.html
中药炮制技艺（武义寿仙谷中药炮制技艺）,传统医药,浙江省武义县,https://www.ihchina.cn/project_details/14794.html
中药炮制技艺（樟树中药炮制技艺）,传统医药,江西省樟树市,https://www.ihchina.cn/project_details/14795.html
中药炮制技艺（汉派彭银亭中药炮制技艺）,传统医药,湖北省武汉市江岸区,https://www.ihchina.cn/project_details/23828.html
中药炮制技艺（新会陈皮炮制技艺）,传统医药,广东省江门市新会区,https://www.ihchina.cn/project_details/23829.html
中药炮制技艺（岷县当归加工技艺）,传统医药,甘肃省定西市岷县,https://www.ihchina.cn/project_details/23830.html
中医传统制剂方法,传统医药,中国中医科学院,https://www.ihchina.cn/project_details/14796.html
中医传统制剂方法,传统医药,中国中药协会,https://www.ihchina.cn/project_details/14797.html
中医传统制剂方法（龟龄集传统制作技艺）,传统医药,山西省太谷县,https://www.ihchina.cn/project_details/14798.html
中医传统制剂方法（雷允上六神丸制作技艺）,传统医药,江苏省苏州市,https://www.ihchina.cn/project_details/14799.html
中医传统制剂方法（东阿阿胶制作技艺）,传统医药,山东省东阿县,https://www.ihchina.cn/project_details/14801.html
中医传统制剂方法（东阿阿胶制作技艺）,传统医药,山东省平阴县,https://www.ihchina.cn/project_details/14800.html
中医传统制剂方法（廖氏化风丹制作技艺）,传统医药,贵州省遵义市红花岗区,https://www.ihchina.cn/project_details/14802.html
中医传统制剂方法（廖氏化风丹制作技艺）,传统医药,贵州省遵义市汇川区,https://www.ihchina.cn/project_details/14803.html
