项目名称,项目类别,申报地区或单位,详情链接
昆曲,传统戏剧,北京市,https://www.ihchina.cn/project_details/13133.html
昆曲,传统戏剧,上海市,https://www.ihchina.cn/project_details/13135.html
昆曲,传统戏剧,江苏省,https://www.ihchina.cn/project_details/13136.html
昆曲,传统戏剧,浙江省,https://www.ihchina.cn/project_details/13138.html
昆曲,传统戏剧,湖南省,https://www.ihchina.cn/project_details/13139.html
昆曲,传统戏剧,中国艺术研究院,https://www.ihchina.cn/project_details/13134.html
梨园戏,传统戏剧,福建省泉州市,https://www.ihchina.cn/project_details/13140.html
莆仙戏,传统戏剧,福建省莆田市,https://www.ihchina.cn/project_details/13141.html
潮剧,传统戏剧,广东省潮州市,https://www.ihchina.cn/project_details/13143.html
潮剧,传统戏剧,广东省汕头市,https://www.ihchina.cn/project_details/13142.html
潮剧,传统戏剧,广东省揭阳市,https://www.ihchina.cn/project_details/13144.html
潮剧,传统戏剧,福建省云霄县,https://www.ihchina.cn/project_details/13145.html
弋阳腔,传统戏剧,江西省弋阳县,https://www.ihchina.cn/project_details/13146.html
青阳腔,传统戏剧,安徽省青阳县 ,https://www.ihchina.cn/project_details/13147.html
青阳腔,传统戏剧,江西省湖口县,https://www.ihchina.cn/project_details/13148.html
高腔（西安高腔）,传统戏剧,浙江省衢州市,https://www.ihchina.cn/project_details/13149.html
高腔（松阳高腔）,传统戏剧,浙江省松阳县,https://www.ihchina.cn/project_details/13150.html
高腔（岳西高腔）,传统戏剧,安徽省岳西县,https://www.ihchina.cn/project_details/13151.html
高腔（辰河高腔）,传统戏剧,湖南省辰溪县,https://www.ihchina.cn/project_details/13153.html
高腔（辰河高腔）,传统戏剧,湖南省泸溪县,https://www.ihchina.cn/project_details/13154.html
高腔（常德高腔）,传统戏剧,湖南省常德市,https://www.ihchina.cn/project_details/13152.html
新昌调腔,传统戏剧,浙江省新昌县,https://www.ihchina.cn/project_details/13155.html
宁海平调,传统戏剧,浙江省宁海县,https://www.ihchina.cn/project_details/13156.html
永安大腔戏,传统戏剧,福建省永安市,https://www.ihchina.cn/project_details/13157.html
四平戏,传统戏剧,福建省屏南县,https://www.ihchina.cn/project_details/13159.html
四平戏,传统戏剧,福建省政和县,https://www.ihchina.cn/project_details/13158.html
川剧,传统戏剧,重庆市,https://www.ihchina.cn/project_details/13160.html
川剧,传统戏剧,四川省,https://www.ihchina.cn/project_details/13161.html
湘剧,传统戏剧,湖南省衡阳市,https://www.ihchina.cn/project_details/13162.html
湘剧（涟源湘剧）,传统戏剧,湖南省娄底市涟源市,https://www.ihchina.cn/project_details/23670.html
广昌孟戏,传统戏剧,江西省广昌县,https://www.ihchina.cn/project_details/13163.html
正字戏,传统戏剧,广东省陆丰市,https://www.ihchina.cn/project_details/13164.html
秦腔,传统戏剧,陕西省,https://www.ihchina.cn/project_details/13165.html
秦腔,传统戏剧,甘肃省秦剧团,https://www.ihchina.cn/project_details/13167.html
秦腔 ,传统戏剧,宁夏回族自治区,https://www.ihchina.cn/project_details/13168.html
秦腔 ,传统戏剧,新疆生产建设兵团 ,https://www.ihchina.cn/project_details/13169.html
汉调桄桄,传统戏剧,陕西省汉中市,https://www.ihchina.cn/project_details/13170.html
晋剧,传统戏剧,山西省,https://www.ihchina.cn/project_details/13171.html
晋剧,传统戏剧,河北省张家口市,https://www.ihchina.cn/project_details/13172.html
晋剧,传统戏剧,山西省太原市,https://www.ihchina.cn/project_details/13173.html
晋剧,传统戏剧,河北省井陉县,https://www.ihchina.cn/project_details/13174.html
晋剧,传统戏剧,内蒙古自治区呼和浩特市,https://www.ihchina.cn/project_details/13175.html
晋剧 ,传统戏剧,山西省晋中市 ,https://www.ihchina.cn/project_details/13176.html
蒲州梆子,传统戏剧,山西省临汾市,https://www.ihchina.cn/project_details/13178.html
蒲州梆子,传统戏剧,山西省运城市,https://www.ihchina.cn/project_details/13177.html
北路梆子,传统戏剧,山西省忻州市,https://www.ihchina.cn/project_details/13179.html
北路梆子,传统戏剧,山西省大同市,https://www.ihchina.cn/project_details/13180.html
上党梆子,传统戏剧,山西省晋城市,https://www.ihchina.cn/project_details/13181.html
上党梆子,传统戏剧,山西省长治市,https://www.ihchina.cn/project_details/13182.html
河北梆子,传统戏剧,河北省,https://www.ihchina.cn/project_details/13183.html
河北梆子,传统戏剧,北京市河北梆子剧团,https://www.ihchina.cn/project_details/13184.html
河北梆子,传统戏剧,天津河北梆子剧院,https://www.ihchina.cn/project_details/13185.html
豫剧,传统戏剧,河南省,https://www.ihchina.cn/project_details/13186.html
豫剧（桑派）,传统戏剧,河北省邯郸市,https://www.ihchina.cn/project_details/13187.html
豫剧,传统戏剧,新疆生产建设兵团,https://www.ihchina.cn/project_details/23671.html
宛梆,传统戏剧,河南省内乡县,https://www.ihchina.cn/project_details/13188.html
怀梆,传统戏剧,河南省沁阳市,https://www.ihchina.cn/project_details/13189.html
大平调,传统戏剧,河南省濮阳县,https://www.ihchina.cn/project_details/13192.html
大平调,传统戏剧,河南省滑县,https://www.ihchina.cn/project_details/13190.html
大平调,传统戏剧,河南省延津县,https://www.ihchina.cn/project_details/13191.html
大平调,传统戏剧,山东省东明县,https://www.ihchina.cn/project_details/13194.html
大平调,传统戏剧,山东省菏泽市牡丹区,https://www.ihchina.cn/project_details/13193.html
