项目名称,项目类别,申报地区或单位,详情链接
宜兴紫砂陶制作技艺,传统技艺,江苏省宜兴市,https://www.ihchina.cn/project_details/14261.html
界首彩陶烧制技艺,传统技艺,安徽省界首市,https://www.ihchina.cn/project_details/14262.html
石湾陶塑技艺,传统技艺,广东省佛山市,https://www.ihchina.cn/project_details/14263.html
黎族原始制陶技艺,传统技艺,海南省昌江黎族自治县,https://www.ihchina.cn/project_details/14264.html
傣族慢轮制陶技艺,传统技艺,云南省西双版纳傣族自治州,https://www.ihchina.cn/project_details/14265.html
维吾尔族模制法土陶烧制技艺,传统技艺,新疆维吾尔自治区英吉沙县,https://www.ihchina.cn/project_details/14268.html
维吾尔族模制法土陶烧制技艺,传统技艺,新疆维吾尔自治区喀什市,https://www.ihchina.cn/project_details/14267.html
维吾尔族模制法土陶烧制技艺,传统技艺,新疆维吾尔自治区吐鲁番地区,https://www.ihchina.cn/project_details/14266.html
维吾尔族模制法土陶烧制技艺,传统技艺,新疆生产建设兵团,https://www.ihchina.cn/project_details/14269.html
景德镇手工制瓷技艺,传统技艺,江西省景德镇市,https://www.ihchina.cn/project_details/14270.html
耀州窑陶瓷烧制技艺,传统技艺,陕西省铜川市,https://www.ihchina.cn/project_details/14271.html
龙泉青瓷烧制技艺,传统技艺,浙江省龙泉市,https://www.ihchina.cn/project_details/14272.html
磁州窑烧制技艺,传统技艺,河北省峰峰矿区,https://www.ihchina.cn/project_details/14273.html
德化瓷烧制技艺,传统技艺,福建省德化县,https://www.ihchina.cn/project_details/14274.html
澄城尧头陶瓷烧制技艺,传统技艺,陕西省澄城县,https://www.ihchina.cn/project_details/14275.html
南京云锦木机妆花手工织造技艺,传统技艺,江苏省南京市,https://www.ihchina.cn/project_details/14276.html
南京云锦木机妆花手工织造技艺,传统技艺,江苏汉唐织锦科技有限公司,https://www.ihchina.cn/project_details/14277.html
宋锦织造技艺,传统技艺,江苏省苏州市,https://www.ihchina.cn/project_details/14278.html
苏州缂丝织造技艺,传统技艺,江苏省苏州市,https://www.ihchina.cn/project_details/14279.html
蜀锦织造技艺,传统技艺,四川省成都市,https://www.ihchina.cn/project_details/14280.html
乌泥泾手工棉纺织技艺,传统技艺,上海市徐汇区,https://www.ihchina.cn/project_details/14281.html
土家族织锦技艺,传统技艺,湖南省湘西土家族苗族自治州,https://www.ihchina.cn/project_details/14282.html
黎族传统纺染织绣技艺,传统技艺,海南省五指山市,https://www.ihchina.cn/project_details/14283.html
黎族传统纺染织绣技艺,传统技艺,海南省白沙黎族自治县,https://www.ihchina.cn/project_details/14285.html
黎族传统纺染织绣技艺,传统技艺,海南省保亭黎族苗族自治县,https://www.ihchina.cn/project_details/14287.html
黎族传统纺染织绣技艺,传统技艺,海南省乐东黎族自治县,https://www.ihchina.cn/project_details/14286.html
黎族传统纺染织绣技艺,传统技艺,海南省东方市,https://www.ihchina.cn/project_details/14284.html
壮族织锦技艺,传统技艺,广西壮族自治区靖西县,https://www.ihchina.cn/project_details/14288.html
藏族邦典、卡垫织造技艺,传统技艺,西藏自治区山南地区,https://www.ihchina.cn/project_details/14289.html
藏族邦典、卡垫织造技艺,传统技艺,西藏自治区日喀则地区,https://www.ihchina.cn/project_details/14290.html
加牙藏族织毯技艺,传统技艺,青海省湟中县,https://www.ihchina.cn/project_details/14291.html
维吾尔族花毡、印花布织染技艺,传统技艺,新疆维吾尔自治区吐鲁番地区,https://www.ihchina.cn/project_details/14292.html
花毡、印花布织染技艺,传统技艺,新疆维吾尔自治区且末县,https://www.ihchina.cn/project_details/14293.html
花毡、印花布织染技艺,传统技艺,新疆维吾尔自治区塔城地区,https://www.ihchina.cn/project_details/14295.html
花毡、印花布织染技艺,传统技艺,新疆维吾尔自治区英吉沙县,https://www.ihchina.cn/project_details/14294.html
南通蓝印花布印染技艺,传统技艺,江苏省南通市,https://www.ihchina.cn/project_details/14296.html
蓝印花布印染技艺,传统技艺,湖南省凤凰县,https://www.ihchina.cn/project_details/14298.html
蓝印花布印染技艺,传统技艺,湖南省邵阳县,https://www.ihchina.cn/project_details/14297.html
蓝印花布印染技艺 ,传统技艺,浙江省桐乡市 ,https://www.ihchina.cn/project_details/14299.html
苗族蜡染技艺,传统技艺,贵州省丹寨县,https://www.ihchina.cn/project_details/14300.html
蜡染技艺,传统技艺,贵州省安顺市,https://www.ihchina.cn/project_details/14301.html
蜡染技艺（苗族蜡染技艺）,传统技艺,四川省珙县,https://www.ihchina.cn/project_details/14302.html
蜡染技艺（黄平蜡染技艺）,传统技艺,贵州省黄平县,https://www.ihchina.cn/project_details/14303.html
蜡染技艺（织金苗族蜡染）,传统技艺,贵州省毕节市织金县,https://www.ihchina.cn/project_details/23744.html
白族扎染技艺,传统技艺,云南省大理市,https://www.ihchina.cn/project_details/14304.html
扎染技艺（自贡扎染技艺）,传统技艺,四川省自贡市,https://www.ihchina.cn/project_details/14305.html
香山帮传统建筑营造技艺,传统技艺,"江苏省苏州市
",https://www.ihchina.cn/project_details/14306.html
客家土楼营造技艺,传统技艺,福建省龙岩市,https://www.ihchina.cn/project_details/14307.html
客家土楼营造技艺,传统技艺,福建省南靖县,https://www.ihchina.cn/project_details/14308.html
客家土楼营造技艺,传统技艺,福建省华安县,https://www.ihchina.cn/project_details/14309.html
客家民居营造技艺（赣南客家围屋营造技艺） ,传统技艺,江西省龙南县,https://www.ihchina.cn/project_details/14310.html
景德镇传统瓷窑作坊营造技艺,传统技艺,江西省,https://www.ihchina.cn/project_details/14311.html
侗族木构建筑营造技艺,传统技艺,广西壮族自治区柳州市,https://www.ihchina.cn/project_details/14312.html
侗族木构建筑营造技艺,传统技艺,广西壮族自治区三江侗族自治县,https://www.ihchina.cn/project_details/14313.html
侗族木构建筑营造技艺,传统技艺,贵州省黎平县,https://www.ihchina.cn/project_details/14314.html
侗族木构建筑营造技艺,传统技艺,贵州省从江县,https://www.ihchina.cn/project_details/14315.html
侗族木构建筑营造技艺（通道侗族木构建筑营造技艺）,传统技艺,湖南省怀化市通道侗族自治县,https://www.ihchina.cn/project_details/23745.html
苗寨吊脚楼营造技艺,传统技艺,贵州省雷山县,https://www.ihchina.cn/project_details/14316.html
苏州御窑金砖制作技艺,传统技艺,江苏省苏州市,https://www.ihchina.cn/project_details/14317.html
苗族芦笙制作技艺,传统技艺,贵州省雷山县,https://www.ihchina.cn/project_details/14318.html
苗族芦笙制作技艺,传统技艺,云南省大关县,https://www.ihchina.cn/project_details/14319.html
玉屏箫笛制作技艺,传统技艺,贵州省玉屏侗族自治县,https://www.ihchina.cn/project_details/14320.html
阳城生铁冶铸技艺,传统技艺,山西省阳城县,https://www.ihchina.cn/project_details/14321.html
生铁冶铸技艺（干模铸造技艺）,传统技艺,河北省泊头市,https://www.ihchina.cn/project_details/14322.html
生铁冶铸技艺 ,传统技艺,甘肃省永靖县 ,https://www.ihchina.cn/project_details/14323.html
南京金箔锻制技艺,传统技艺,江苏省南京市,https://www.ihchina.cn/project_details/14324.html
龙泉宝剑锻制技艺,传统技艺,浙江省龙泉市,https://www.ihchina.cn/project_details/14325.html
宝剑锻制技艺（棠溪宝剑锻制技艺） ,传统技艺,河南省西平县 ,https://www.ihchina.cn/project_details/14326.html
张小泉剪刀锻制技艺,传统技艺,浙江省杭州市,https://www.ihchina.cn/project_details/14327.html
剪刀锻制技艺（王麻子剪刀锻制技艺）,传统技艺,北京市,https://www.ihchina.cn/project_details/14328.html
