项目名称,项目类别,申报地区或单位,详情链接
杨柳青木版年画,传统美术,天津市,https://www.ihchina.cn/project_details/13899.html
武强木版年画,传统美术,河北省武强县,https://www.ihchina.cn/project_details/13901.html
桃花坞木版年画,传统美术,江苏省苏州市,https://www.ihchina.cn/project_details/13902.html
漳州木版年画,传统美术,福建省漳州市,https://www.ihchina.cn/project_details/13903.html
杨家埠木版年画,传统美术,山东省潍坊市,https://www.ihchina.cn/project_details/13904.html
高密扑灰年画,传统美术,山东省高密市,https://www.ihchina.cn/project_details/13905.html
朱仙镇木版年画,传统美术,河南省开封市,https://www.ihchina.cn/project_details/13906.html
滩头木版年画,传统美术,湖南省隆回县,https://www.ihchina.cn/project_details/13907.html
佛山木版年画,传统美术,广东省佛山市,https://www.ihchina.cn/project_details/13908.html
梁平木版年画,传统美术,重庆市梁平县,https://www.ihchina.cn/project_details/13909.html
绵竹木版年画,传统美术,四川省德阳市,https://www.ihchina.cn/project_details/13910.html
凤翔木版年画,传统美术,陕西省凤翔县,https://www.ihchina.cn/project_details/13911.html
纳西族东巴画,传统美术,云南省丽江市,https://www.ihchina.cn/project_details/13912.html
藏族唐卡（噶玛嘎孜画派）,传统美术,四川省甘孜藏族自治州,https://www.ihchina.cn/project_details/13913.html
藏族唐卡（勉唐画派）,传统美术,西藏自治区,https://www.ihchina.cn/project_details/13914.html
藏族唐卡（钦泽画派）,传统美术,西藏自治区,https://www.ihchina.cn/project_details/13915.html
藏族唐卡（昌都嘎玛嘎赤画派）,传统美术,西藏自治区昌都县,https://www.ihchina.cn/project_details/13917.html
藏族唐卡（墨竹工卡直孔刺绣唐卡）,传统美术,西藏自治区墨竹工卡县,https://www.ihchina.cn/project_details/13916.html
藏族唐卡（甘南藏族唐卡）,传统美术,甘肃省夏河县,https://www.ihchina.cn/project_details/13918.html
藏族唐卡（勉萨画派）,传统美术,西藏自治区,https://www.ihchina.cn/project_details/13919.html
藏族唐卡（郎卡杰唐卡）,传统美术,四川省甘孜藏族自治州,https://www.ihchina.cn/project_details/23705.html
藏族唐卡（齐吾岗派）,传统美术,西藏自治区,https://www.ihchina.cn/project_details/23706.html
藏族唐卡（拉萨堆绣唐卡）,传统美术,西藏自治区拉萨市,https://www.ihchina.cn/project_details/23707.html
藏族唐卡（康勉萨唐卡）,传统美术,西藏自治区昌都市,https://www.ihchina.cn/project_details/23708.html
藏族唐卡（天祝唐卡）,传统美术,甘肃省武威市天祝藏族自治县,https://www.ihchina.cn/project_details/23709.html
藏族唐卡（化隆唐卡）,传统美术,青海省海东市化隆县,https://www.ihchina.cn/project_details/23710.html
藏族唐卡（班玛马尾钉线绣唐卡）,传统美术,青海省果洛藏族自治州班玛县,https://www.ihchina.cn/project_details/23711.html
藏族唐卡（藏娘唐卡）,传统美术,青海省玉树藏族自治州,https://www.ihchina.cn/project_details/23712.html
衡水内画,传统美术,河北省衡水市,https://www.ihchina.cn/project_details/13920.html
内画（北京内画鼻烟壶）,传统美术,北京市西城区,https://www.ihchina.cn/project_details/13921.html
内画（广东内画）,传统美术,广东省汕头市,https://www.ihchina.cn/project_details/13922.html
内画（鲁派内画）,传统美术,山东省淄博市张店区,https://www.ihchina.cn/project_details/13923.html
剪纸（蔚县剪纸）,传统美术,河北省蔚县,https://www.ihchina.cn/project_details/13924.html
剪纸（丰宁满族剪纸）,传统美术,河北省丰宁满族自治县,https://www.ihchina.cn/project_details/13925.html
剪纸（中阳剪纸）,传统美术,山西省中阳县,https://www.ihchina.cn/project_details/13926.html
剪纸（医巫闾山满族剪纸）,传统美术,辽宁省锦州市,https://www.ihchina.cn/project_details/13927.html
剪纸（扬州剪纸）,传统美术,江苏省扬州市,https://www.ihchina.cn/project_details/13928.html
剪纸（乐清细纹刻纸）,传统美术,浙江省乐清市,https://www.ihchina.cn/project_details/13929.html
剪纸（广东剪纸）,传统美术,广东省佛山市,https://www.ihchina.cn/project_details/13931.html
剪纸（广东剪纸）,传统美术,广东省汕头市,https://www.ihchina.cn/project_details/13930.html
剪纸（广东剪纸）,传统美术,广东省潮州市,https://www.ihchina.cn/project_details/13932.html
剪纸（傣族剪纸）,传统美术,云南省潞西市,https://www.ihchina.cn/project_details/13933.html
剪纸（安塞剪纸）,传统美术,陕西省安塞县,https://www.ihchina.cn/project_details/13934.html
剪纸（广灵染色剪纸）,传统美术,山西省广灵县,https://www.ihchina.cn/project_details/13935.html
剪纸（和林格尔剪纸）,传统美术,内蒙古自治区和林格尔县,https://www.ihchina.cn/project_details/13936.html
剪纸（庄河剪纸）,传统美术,辽宁省庄河市,https://www.ihchina.cn/project_details/13937.html
剪纸（岫岩满族剪纸）,传统美术,辽宁省岫岩满族自治县,https://www.ihchina.cn/project_details/13938.html
剪纸（建平剪纸）,传统美术,辽宁省建平县,https://www.ihchina.cn/project_details/13940.html
剪纸（新宾满族剪纸）,传统美术,辽宁省新宾满族自治县,https://www.ihchina.cn/project_details/13939.html
剪纸（长白山满族剪纸）,传统美术,吉林省通化市,https://www.ihchina.cn/project_details/13941.html
剪纸（方正剪纸）,传统美术,黑龙江省方正县,https://www.ihchina.cn/project_details/13942.html
剪纸（上海剪纸）,传统美术,上海市徐汇区,https://www.ihchina.cn/project_details/13943.html
剪纸（南京剪纸）,传统美术,江苏省南京市,https://www.ihchina.cn/project_details/13944.html
剪纸（徐州剪纸）,传统美术,江苏省徐州市,https://www.ihchina.cn/project_details/13945.html
剪纸（金坛刻纸）,传统美术,江苏省金坛市,https://www.ihchina.cn/project_details/13946.html
剪纸（浦江剪纸）,传统美术,浙江省浦江县,https://www.ihchina.cn/project_details/13947.html
剪纸（阜阳剪纸）,传统美术,安徽省阜阳市,https://www.ihchina.cn/project_details/13948.html
剪纸（漳浦剪纸）,传统美术,福建省漳浦县,https://www.ihchina.cn/project_details/13950.html
剪纸（泉州（李尧宝）刻纸）,传统美术,福建省泉州市,https://www.ihchina.cn/project_details/13949.html
剪纸（柘荣剪纸）,传统美术,福建省柘荣县,https://www.ihchina.cn/project_details/13951.html
剪纸（瑞昌剪纸）,传统美术,江西省瑞昌市,https://www.ihchina.cn/project_details/13952.html
剪纸（莒县过门笺）,传统美术,山东省莒县,https://www.ihchina.cn/project_details/13955.html
剪纸（滨州民间剪纸）,传统美术,山东省滨州市,https://www.ihchina.cn/project_details/13956.html
