项目名称,项目类别,申报地区或单位,详情链接
京西太平鼓,传统舞蹈,北京市门头沟区,https://www.ihchina.cn/project_details/12809.html
京西太平鼓（石景山太平鼓）,传统舞蹈,北京市石景山区,https://www.ihchina.cn/project_details/12811.html
京西太平鼓（怪村太平鼓）,传统舞蹈,北京市丰台区,https://www.ihchina.cn/project_details/12810.html
秧歌（昌黎地秧歌）,传统舞蹈,河北省昌黎县,https://www.ihchina.cn/project_details/12812.html
秧歌（抚顺地秧歌）,传统舞蹈,辽宁省抚顺市,https://www.ihchina.cn/project_details/12813.html
秧歌（鼓子秧歌）,传统舞蹈,山东省商河县,https://www.ihchina.cn/project_details/12814.html
秧歌（胶州秧歌）,传统舞蹈,山东省胶州市,https://www.ihchina.cn/project_details/12815.html
秧歌（海阳大秧歌）,传统舞蹈,"山东省海阳市
",https://www.ihchina.cn/project_details/12816.html
秧歌（陕北秧歌）,传统舞蹈,陕西省绥德县,https://www.ihchina.cn/project_details/12817.html
秧歌（济阳鼓子秧歌）,传统舞蹈,山东省济阳县,https://www.ihchina.cn/project_details/12821.html
秧歌（临县伞头秧歌）,传统舞蹈,山西省临县,https://www.ihchina.cn/project_details/12819.html
秧歌（原平凤秧歌）,传统舞蹈,山西省原平市,https://www.ihchina.cn/project_details/12818.html
秧歌（汾阳地秧歌）,传统舞蹈,山西省汾阳市,https://www.ihchina.cn/project_details/12820.html
秧歌（小红门地秧歌）,传统舞蹈,北京市朝阳区,https://www.ihchina.cn/project_details/12822.html
秧歌（乐亭地秧歌）,传统舞蹈,河北省乐亭县,https://www.ihchina.cn/project_details/12823.html
秧歌（阳信鼓子秧歌）,传统舞蹈,山东省阳信县,https://www.ihchina.cn/project_details/12824.html
秧歌（延庆旱船）,传统舞蹈,北京市延庆县,https://www.ihchina.cn/project_details/12825.html
秧歌（西码头百忍京秧歌高跷）,传统舞蹈,天津市红桥区,https://www.ihchina.cn/project_details/23651.html
秧歌（滦州地秧歌）,传统舞蹈,河北省唐山市滦州市,https://www.ihchina.cn/project_details/23652.html
秧歌（乌拉满族秧歌）,传统舞蹈,吉林省吉林市,https://www.ihchina.cn/project_details/23653.html
井陉拉花,传统舞蹈,河北省井陉县,https://www.ihchina.cn/project_details/12826.html
龙舞（铜梁龙舞）,传统舞蹈,重庆市,https://www.ihchina.cn/project_details/12832.html
龙舞（湛江人龙舞）,传统舞蹈,广东省湛江市,https://www.ihchina.cn/project_details/12830.html
龙舞（汕尾滚地金龙）,传统舞蹈,广东省汕尾市,https://www.ihchina.cn/project_details/12831.html
龙舞（浦江板凳龙）,传统舞蹈,浙江省浦江县,https://www.ihchina.cn/project_details/12829.html
