项目名称,项目类别,申报地区或单位,详情链接
左权开花调,传统音乐,山西省左权县 ,https://www.ihchina.cn/project_details/12408.html
河曲民歌,传统音乐,山西省河曲县 ,https://www.ihchina.cn/project_details/12409.html
蒙古族长调民歌,传统音乐,内蒙古自治区,https://www.ihchina.cn/project_details/12410.html
蒙古族长调民歌,传统音乐,新疆维吾尔自治区巴音郭楞蒙古自治州,https://www.ihchina.cn/project_details/12411.html
蒙古族长调民歌,传统音乐,新疆维吾尔自治区和布克赛尔蒙古自治县,https://www.ihchina.cn/project_details/12412.html
蒙古族长调民歌（巴尔虎长调）,传统音乐,内蒙古自治区新巴尔虎左旗,https://www.ihchina.cn/project_details/12413.html
蒙古族长调民歌（乌珠穆沁长调）,传统音乐,内蒙古自治区锡林郭勒盟西乌珠穆沁旗,https://www.ihchina.cn/project_details/23641.html
蒙古族呼麦,传统音乐,内蒙古自治区,https://www.ihchina.cn/project_details/12414.html
蒙古族呼麦,传统音乐,新疆维吾尔自治区阿勒泰地区,https://www.ihchina.cn/project_details/12415.html
当涂民歌 ,传统音乐,安徽省马鞍山市,https://www.ihchina.cn/project_details/12416.html
巢湖民歌,传统音乐,安徽省巢湖市,https://www.ihchina.cn/project_details/12417.html
畲族民歌,传统音乐,福建省宁德市,https://www.ihchina.cn/project_details/12418.html
畲族民歌,传统音乐,浙江省景宁畲族自治县,https://www.ihchina.cn/project_details/12419.html
畲族民歌,传统音乐,浙江省泰顺县,https://www.ihchina.cn/project_details/12420.html
兴国山歌,传统音乐,"江西省兴国县　
",https://www.ihchina.cn/project_details/12421.html
兴山民歌,传统音乐,湖北省兴山县 ,https://www.ihchina.cn/project_details/12422.html
桑植民歌,传统音乐,湖南省桑植县,https://www.ihchina.cn/project_details/12423.html
梅州客家山歌,传统音乐,广东省梅州市,https://www.ihchina.cn/project_details/12424.html
中山咸水歌,传统音乐,广东省中山市,https://www.ihchina.cn/project_details/12425.html
崖州民歌,传统音乐,海南省三亚市,https://www.ihchina.cn/project_details/12426.html
崖州民歌,传统音乐,海南省乐东黎族自治县,https://www.ihchina.cn/project_details/12427.html
儋州调声,传统音乐,海南省儋州市,https://www.ihchina.cn/project_details/12428.html
石柱土家啰儿调　,传统音乐,重庆市石柱土家族自治县,https://www.ihchina.cn/project_details/12429.html
巴山背二歌,传统音乐,四川省巴中市,https://www.ihchina.cn/project_details/12430.html
傈僳族民歌,传统音乐,云南省怒江傈僳族自治州,https://www.ihchina.cn/project_details/12431.html
傈僳族民歌,传统音乐,云南省泸水县,https://www.ihchina.cn/project_details/12432.html
紫阳民歌 ,传统音乐,陕西省紫阳县,https://www.ihchina.cn/project_details/12433.html
裕固族民歌,传统音乐,甘肃省肃南裕固族自治县,https://www.ihchina.cn/project_details/12434.html
花儿（莲花山花儿会）,传统音乐,甘肃省康乐县,https://www.ihchina.cn/project_details/12436.html
花儿（松鸣岩花儿会）,传统音乐,甘肃省和政县,https://www.ihchina.cn/project_details/12437.html
花儿（二郎山花儿会）,传统音乐,甘肃省岷县,https://www.ihchina.cn/project_details/12435.html
花儿（老爷山花儿会）,传统音乐,青海省大通回族土族自治县,https://www.ihchina.cn/project_details/12438.html
花儿（丹麻土族花儿会）,传统音乐,青海省互助土族自治县,https://www.ihchina.cn/project_details/12441.html
花儿（瞿昙寺花儿会）,传统音乐,青海省乐都县,https://www.ihchina.cn/project_details/12439.html
花儿（七里寺花儿会）,传统音乐,青海省民和回族土族自治县,https://www.ihchina.cn/project_details/12440.html
花儿（宁夏回族山花儿）,传统音乐,宁夏回族自治区,https://www.ihchina.cn/project_details/12442.html
花儿（新疆花儿）,传统音乐,新疆维吾尔自治区昌吉回族自治州,https://www.ihchina.cn/project_details/12443.html
花儿（新疆花儿）,传统音乐,新疆维吾尔自治区巴音郭楞蒙古自治州,https://www.ihchina.cn/project_details/12444.html
