项目名称,项目类别,申报地区或单位,详情链接
苏州评弹（苏州评话、苏州弹词）,曲艺,江苏省苏州市,https://www.ihchina.cn/project_details/13581.html
苏州评弹（苏州评话、苏州弹词）,曲艺,上海市书场工作者协会,https://www.ihchina.cn/project_details/13582.html
苏州评弹（苏州评话、苏州弹词）,曲艺,江苏省演艺集团,https://www.ihchina.cn/project_details/13583.html
苏州评弹（苏州评话、苏州弹词）,曲艺,浙江曲艺杂技总团,https://www.ihchina.cn/project_details/13584.html
扬州评话,曲艺,江苏省扬州市,https://www.ihchina.cn/project_details/13585.html
扬州评话,曲艺,江苏省演艺集团,https://www.ihchina.cn/project_details/13586.html
福州评话,曲艺,福建省福州市,https://www.ihchina.cn/project_details/13587.html
山东大鼓,曲艺,山东省,https://www.ihchina.cn/project_details/13588.html
山东大鼓（梨花大鼓）,曲艺,河北省鸡泽县,https://www.ihchina.cn/project_details/13589.html
山东大鼓（梨花大鼓）,曲艺,河北省威县,https://www.ihchina.cn/project_details/13590.html
西河大鼓,曲艺,河北省河间市,https://www.ihchina.cn/project_details/13591.html
西河大鼓,曲艺,河北省廊坊市,https://www.ihchina.cn/project_details/13592.html
西河大鼓,曲艺,天津市,https://www.ihchina.cn/project_details/13593.html
东北大鼓,曲艺,辽宁省沈阳市,https://www.ihchina.cn/project_details/13594.html
东北大鼓,曲艺,黑龙江省,https://www.ihchina.cn/project_details/13595.html
东北大鼓,曲艺,辽宁省锦州市,https://www.ihchina.cn/project_details/13598.html
东北大鼓,曲艺,辽宁省瓦房店市,https://www.ihchina.cn/project_details/13596.html
东北大鼓,曲艺,辽宁省岫岩满族自治县,https://www.ihchina.cn/project_details/13597.html
东北大鼓,曲艺,吉林省榆树市,https://www.ihchina.cn/project_details/13599.html
东北大鼓,曲艺,黑龙江省五常市,https://www.ihchina.cn/project_details/13600.html
木板大鼓,曲艺,河北省沧县,https://www.ihchina.cn/project_details/13601.html
乐亭大鼓,曲艺,河北省乐亭县,https://www.ihchina.cn/project_details/13602.html
乐亭大鼓,曲艺,河北省唐山市滦南县,https://www.ihchina.cn/project_details/23688.html
潞安大鼓,曲艺,山西省长治市,https://www.ihchina.cn/project_details/13603.html
京东大鼓,曲艺,天津市宝坻区,https://www.ihchina.cn/project_details/13604.html
京东大鼓,曲艺,河北省廊坊市,https://www.ihchina.cn/project_details/13605.html
胶东大鼓,曲艺,山东省烟台市,https://www.ihchina.cn/project_details/13606.html
胶东大鼓,曲艺,山东省青岛市,https://www.ihchina.cn/project_details/13607.html
河洛大鼓,曲艺,河南省洛阳市,https://www.ihchina.cn/project_details/13608.html
温州鼓词,曲艺,浙江省瑞安市,https://www.ihchina.cn/project_details/13609.html
温州鼓词,曲艺,浙江省平阳县,https://www.ihchina.cn/project_details/13610.html
陕北说书,曲艺,陕西省延安市,https://www.ihchina.cn/project_details/13611.html
福州伬艺,曲艺,福建省福州市,https://www.ihchina.cn/project_details/13612.html
南平南词,曲艺,福建省南平市,https://www.ihchina.cn/project_details/13613.html
