项目名称,相关介绍,历史渊源,传承人物,status
笑话（万荣笑话）,,,,Failed
三国传说,,,,Failed
下堡坪民间故事,"下堡坪民间故事，湖北省宜昌市夷陵区地方传统民间文学，国家级非物质文化遗产之一。

下堡坪乡民间故事，融合了荆楚文化与巴蜀文文化，原生态作品多，有鲜明本地特色。下堡坪乡民间故事流传在乡村田野，是三峡地区传统民间文学的缩影，有较高的学术价值和鉴赏价值。

2006年5月20日，下堡坪民间故事经国务院批准列入第一批国家级非物质文化遗产名录，遗产编号为Ⅰ-16。",下堡坪乡位于长江西陵峡北岸的崇山峻岭间。正是由于这种特殊的地理、经济、文化和历史条件，构成了适宜传统民俗民间文化生长和传承的特殊环境。下堡坪乡与三峡毗邻，同时也是三国古战场之一，这里流传着相当丰富的三国文化遗址及传说。下堡坪乡的马宗岭村、青山坡村、关庙河村曾是巴国和楚囤的国界，传说关云长兵败麦城之后便来到马宗岭村竖营驻军。下堡坪乡大部分区域在古代楚国的国界内，所以楚文化也比较浓厚。下堡坪乡人文荟萃，这里传统民间文学历史悠久，经历了古代荆楚文化与巴蜀文化的融合期，千百年来，劳动人民围绕峡江山水，在生产生活中创造了动听的民间故事。,刘德方，男，汉族，1938年生，湖北宜昌人。2006年，入选为第一批国家级非物质文化遗产代表性项目下堡坪民间故事代表性传承人，申报地区：湖北省宜昌市夷陵区。,Success
东海孝妇传说,,,,Failed
亚鲁王,"《亚鲁王》是有史以来第一部苗族长篇英雄史诗，一般在苗族送灵仪式上唱诵，仅靠口头流传，没有文字记录。传唱的是西部苗人创世与迁徙征战的历史，其主角苗人首领亚鲁王是被苗族世代颂扬的民族英雄。

《亚鲁王》于2009年成为中国民间文化遗产抢救工程的重点项目，并被文化部列为2009年中国文化的重大发现之一，随后被纳入中国非物质文化遗产名录。苗族英雄史诗《亚鲁王》2012年2月由中华书局出版。

2011年5月23日，贵州省紫云苗族布依族自治县申报的“亚鲁王”经国务院批准列入第三批国家级非物质文化遗产名录。

2019年11月，亚鲁王列入国家级非物质文化遗产代表性项目保护单位名单，保护单位为紫云苗族布依族自治县亚鲁王文化研究中心。","苗族是我国古老的少数民族，由于历史上没有本民族文字，苗族文化主要靠口耳相传。在丰富的苗族口传文化中，尤以苗族史诗最具有代表性和影响力。以1896年前后英国传教士和当地苗族布道员在贵州省黄平、凯里等地进行零星记录和译介苗族史诗为标志，一百多年来，中外学者搜集、整理、翻译了不少史诗资料，其中不乏精品力作。但多数学者的关注点都在中部苗人聚居的黔东南地区，西部苗人聚居的麻山地区几乎无人关注。

2009年春天,麻山地区苗人世世代代传唱的史诗《亚鲁王》开始进入文化人的视野，改变了苗族没有长篇史诗的印象。《亚鲁王》的主角——苗人首领亚鲁王，是苗人世代颂扬的英雄，史诗生动讲述了西部方言区苗人的由来和迁徙过程中波澜壮阔的场景，是上古时期中华民族曲折融合的见证。苗族通史、迁徙史中关于苗族是如何从长江中下游、黄河下游迁徙到贵州，又如何征战定居开发的，描述极为简略。因而，史诗《亚鲁王》填补了两千多年前这段苗族口述历史的空白。

亚鲁王”与“杨鲁”“牙鲁”是同一个人，“亚”“杨”“牙”都不是姓氏，而是祖先的意思。2009年在贵州紫云县发现的《亚鲁王》英雄史诗有26000行，是极为完整的传唱。《亚鲁王》描述到，苗族部落在两千多年前的先秦时期曾经生活在东方，在部族战争中，亚鲁王带领苗人进行了悲壮惨烈的征战，失败后又艰难迁徙到贵州高原。史诗对亚鲁王之前的17代王，每一代都作了简略的、约300行的描述，史诗着力描述的是两次大的战役。

亚鲁并非人名，而是祖先的意思，因而，史诗记述的是历代苗王的传奇。史诗中每代王的故事有300余行，详细描述了每一代王的创世故事，有开天辟地、万物起源、宗教习俗等历史与神话传说，描述了麻山苗族对故国故事的记忆，堪称研究苗族古代社会的“百科全书”

《亚鲁王》是有史以来第一部苗族长篇英雄史诗，其创作年代与《诗经》处于同一个时代。它多数时候只用于丧葬仪式中对亡灵唱诵。数千年来《亚鲁王》一直在民间流传，没有进行过系统的整理。

2009年，中国贵州省安顺市紫云苗族布依族自治县对《亚鲁王》进行非物质文化遗产申报，中国民协专门立项派出专家调查组深入贵州采集信息，这部作品才真正进入当代文化界的视野。《亚鲁王》意外现身，被文化部列为2009年中国文化重大发现之一，并被纳入中国非物质文化遗产名录。

经过三年的采集整理，《亚鲁王》第一部于2012年2月出版，第二部仍在采集整理中。",,Success
仓颉传说,"仓颉[jié]造字，是中国古代神话传说之一，仓颉造字的地方叫“凤凰衔书台”。出自《淮南子·本经训》：“昔者仓颉作书，而天雨粟，鬼夜哭。”仓颉，称仓颉，复姓侯刚，号史皇氏，曾把流传于先民中的文字加以搜集、整理、规范和使用，在创造汉字的过程中起了重要作用，为中华民族文明的传承做出了不朽的功绩。但普遍认为汉字由仓颉一人创造只是传说，不过他可能是汉字的整理者，被后人尊为“造字圣人”。

仓颉的籍贯，据《万姓统谱·卷五十二》：记载，“上古仓颉，南乐吴村人，生而齐圣，有四目，观鸟迹虫文始制文字以代结绳之政，乃轩辕黄帝之史官也”。 《明一统志·人物上古》亦记载：“仓颉，南乐吴村人，生而齐圣，有四目，观鸟迹虫文始制文字以代结绳之政，乃轩辕黄帝之史官也”。

全国有多处纪念仓颉的遗迹，有仓颉造字、造字台、仓颉陵、仓颉庙等。在众多仓颉及遗迹中，始建于汉代者有四处：河南南乐、虞城、开封和陕西洛南、白水。仓颉是通过鸟的足迹来造字的。","原始版本：仓颉造字，出自《荀子》《吕氏春秋》《淮南子》等著作。《淮南子·本经训》：“昔者苍颉作书，而天雨粟，鬼夜哭。”汉代高诱注：“苍颉始视鸟迹之文造书契，则诈伪萌生；诈伪萌生，则去本趋末，弃耕作之业，而务锥刀之利。天知其将饿，故为雨粟；鬼恐为书文所劾，故夜哭也。鬼或作兔，兔恐见取豪（毫）作笔，害及其躯，故夜哭。”《荀子·解蔽》：“好书者众矣，而仓颉独传者壹也。”《吕氏春秋》：“奚仲作车，仓颉作书”。

演化版本：黄帝时期，有一个史官叫仓颉，他观察鸟兽的足迹并从而受到启发，就创造了文字。传说他创制文字时，天上降下粟米，鬼在夜间哭泣。因为天担心人们学会文字后，都去从事商业而放弃农耕，造成饥荒。鬼怕人们学会文字后，会作疏文弹劾它们，因此才在夜间哭泣。还有一种说法，兔子在夜间哭泣。因为兔子害怕人们学会文字后，取它们身上的毫毛做笔，从而危及它们的性命，因此才在夜间哭泣。",,Success
仫佬族古歌,,,,Failed
仰阿莎,"仰阿莎，流传于贵州省黔东南苗族侗族自治州及毗邻地区的民间文学、苗族长篇叙事歌，长达万余行，是迄今为止发现的苗族最长的叙事歌，国家级非物质文化遗产之一。

仰阿莎的原始形态是一则天象成因的解释性神话，后来加入了一个女性仰阿莎，发展成为苗族“贾理”中典型的争妻案例，之后又演化成神话叙事歌。《仰阿莎》描述的苗族故事，反映了苗族人民对自由和爱情的向往和追求，《仰阿莎》被称为苗族“最美的歌”，仰阿莎则是苗族人心中“最漂亮的姑娘”，是苗族神话里的美神。作品以神话故事为蓝本、采用比兴的诗体语言手法，讲诉了一个叫仰阿莎的苗族美神和太阳、月亮之间的故事，并借此歌颂苗族人民对美好生活的向往和真挚爱情的追求，在苗族族群中享有较高声誉。《仰阿莎》的艺术成就在于生动、贴切和形象地刻画了主要人物的形象，使得人物的性格在故事情节中得到合理的展开，构成完整的故事情节，并借助拟人化手法反映了社会生活。

2008年6月7日，贵州省黔东南苗族侗族自治州申报的“仰阿莎”经中华人民共和国国务院批准列入第二批国家级非物质文化遗产名录，项目编号：Ⅰ-61。","仰阿莎的原始形态是一则天象成因的解释性神话，它解释月出日落和日月蚀的成因。后来加入了一个女性仰阿莎，发展成为苗族“贾理”中典型的争妻案例，以后又演化成神话叙事歌。 

“仰阿莎”的苗语是“清水姑娘”，水本来是自然界普遍存在的物质。由水到夜晚形成露水白天又蒸发的现象，这与日月活动关系密切的自然现象，激发了苗族先民的想象，加入了苗族的伦理观便发挥成为爱情故事。 

苗族没有文字，《仰阿莎》只依靠在山野田间的传唱传承，不同的歌者不断加入自己的诠释，使其版本众多。其叙述的故事梗概基本一致，但细节各有千秋，且烙印着历史的传变。据说清以前的《仰阿莎》是以解释天象为主的创世故事，到了清朝则偏重描绘爱情。1958年2月，唐春芳、武略等人搜集整理的汉语版《仰阿莎》发表在文学杂志《山花》上，成为《仰阿莎》的现代范本。",,Success
伍家沟民间故事,,,,Failed
伯牙子期传说,,,,Failed
